+--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
| Bin#   |          ZZ           |          ttZ          | Other  |        Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         | 0 ± 0  |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    17.91 ± 0.08031    |         0 ± 0         | 0 ± 0  |   17.91 ± 0.08031    | 11 ± 3.317  | 0.6144 ± 0.1853  |
| Bin2   |    43.42 ± 0.1251     | -0.001436 ± 0.001436  | 0 ± 0  |    43.42 ± 0.1251    | 26 ± 5.099  | 0.5989 ± 0.1175  |
| Bin3   |    48.91 ± 0.1326     |  0.002872 ± 0.002031  | 0 ± 0  |    48.91 ± 0.1326    | 43 ± 6.557  | 0.8791 ± 0.1341  |
| Bin4   |    40.36 ± 0.1203     |  0.004308 ± 0.002487  | 0 ± 0  |    40.36 ± 0.1204    | 30 ± 5.477  | 0.7433 ± 0.1357  |
| Bin5   |    27.82 ± 0.09983    |  0.004308 ± 0.003211  | 0 ± 0  |   27.83 ± 0.09988    | 33 ± 5.745  |  1.186 ± 0.2065  |
| Bin6   |    17.13 ± 0.07832    |  0.004308 ± 0.003211  | 0 ± 0  |   17.13 ± 0.07838    | 19 ± 4.359  |  1.109 ± 0.2545  |
| Bin7   |    9.509 ± 0.05828    |  0.007181 ± 0.003211  | 0 ± 0  |   9.516 ± 0.05836    | 11 ± 3.317  |  1.156 ± 0.3486  |
| Bin8   |    4.875 ± 0.04168    |  0.002872 ± 0.003518  | 0 ± 0  |   4.878 ± 0.04183    |  6 ± 2.449  |  1.23 ± 0.5022   |
| Bin9   |    2.425 ± 0.02945    |  0.007181 ± 0.004308  | 0 ± 0  |   2.432 ± 0.02977    |  3 ± 1.732  |  1.234 ± 0.7124  |
| Bin10  |    1.119 ± 0.01994    |  0.01005 ± 0.004308   | 0 ± 0  |    1.129 ± 0.0204    |    4 ± 2    |  3.542 ± 1.772   |
| Bin11  |   0.4741 ± 0.01299    | -0.002872 ± 0.003518  | 0 ± 0  |   0.4713 ± 0.01346   |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.2275 ± 0.009023   | -0.002872 ± 0.003518  | 0 ± 0  |  0.2247 ± 0.009685   |    1 ± 1    |  4.451 ± 4.455   |
| Bin13  |   0.1059 ± 0.006179   |  0.002872 ± 0.002031  | 0 ± 0  |  0.1088 ± 0.006505   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.04618 ± 0.004116   |  0.004308 ± 0.003211  | 0 ± 0  |  0.05049 ± 0.00522   |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.02963 ± 0.003351   |  0.002872 ± 0.002031  | 0 ± 0  |  0.0325 ± 0.003919   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.01164 ± 0.002078   |  0.001436 ± 0.002487  | 0 ± 0  |  0.01307 ± 0.003241  |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.007728 ± 0.001689  |  0.001436 ± 0.002487  | 0 ± 0  | 0.009164 ± 0.003007  |    0 ± 0    |      0 ± 0       |
| Bin18  |  0.005498 ± 0.001477  |         0 ± 0         | 0 ± 0  | 0.005498 ± 0.001477  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.002136 ± 0.0009165  |  0.004308 ± 0.003211  | 0 ± 0  |  0.006444 ± 0.00334  |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.002453 ± 0.001001  |  0.001436 ± 0.002487  | 0 ± 0  | 0.003889 ± 0.002681  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.002681 ± 0.001019  |  0.01293 ± 0.005178   | 0 ± 0  |  0.01561 ± 0.005277  |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
