+--------+----------------------+-----------------------+--------+----------------------+-------------+-------------------+
| Bin#   |          ZZ          |          ttZ          | Other  |        Total         |    data     |       Ratio       |
|--------+----------------------+-----------------------+--------+----------------------+-------------+-------------------+
| Bin0   |        0 ± 0         |         0 ± 0         | 0 ± 0  |        0 ± 0         |    0 ± 0    |       0 ± 0       |
| Bin1   |    74.71 ± 0.164     |  0.004308 ± 0.004308  | 0 ± 0  |    74.71 ± 0.164     |  53 ± 7.28  | 0.7094 ± 0.09745  |
| Bin2   |    56.69 ± 0.1427    |  0.01005 ± 0.004763   | 0 ± 0  |    56.7 ± 0.1428     | 50 ± 7.071  |  0.8818 ± 0.1247  |
| Bin3   |    36.75 ± 0.1148    |   0.007181 ± 0.0038   | 0 ± 0  |    36.76 ± 0.1149    | 34 ± 5.831  |  0.9249 ± 0.1586  |
| Bin4   |   21.43 ± 0.08762    |  0.008617 ± 0.004541  | 0 ± 0  |   21.44 ± 0.08774    | 27 ± 5.196  |  1.259 ± 0.2424   |
| Bin5   |   11.74 ± 0.06482    |   0.004308 ± 0.0038   | 0 ± 0  |   11.75 ± 0.06493    | 12 ± 3.464  |   1.022 ± 0.295   |
| Bin6   |   6.288 ± 0.04749    |  0.005745 ± 0.004541  | 0 ± 0  |   6.293 ± 0.04771    |  5 ± 2.236  |  0.7945 ± 0.3554  |
| Bin7   |   3.163 ± 0.03361    |  0.008617 ± 0.004062  | 0 ± 0  |   3.171 ± 0.03385    |  2 ± 1.414  |  0.6306 ± 0.446   |
| Bin8   |   1.603 ± 0.02394    |  -0.001436 ± 0.0038   | 0 ± 0  |   1.601 ± 0.02424    |  2 ± 1.414  |  1.249 ± 0.8833   |
| Bin9   |   0.8463 ± 0.0174    |  0.002872 ± 0.003518  | 0 ± 0  |   0.8492 ± 0.01775   |    1 ± 1    |   1.178 ± 1.178   |
| Bin10  |   0.4863 ± 0.01325   |  0.005745 ± 0.003518  | 0 ± 0  |   0.4921 ± 0.01371   |    1 ± 1    |   2.032 ± 2.033   |
| Bin11  |  0.2639 ± 0.009737   |  0.004308 ± 0.002487  | 0 ± 0  |   0.2682 ± 0.01005   |    0 ± 0    |       0 ± 0       |
| Bin12  |  0.1444 ± 0.007179   |  0.001436 ± 0.001436  | 0 ± 0  |  0.1459 ± 0.007321   |    0 ± 0    |       0 ± 0       |
| Bin13  |  0.08429 ± 0.005497  |  0.002872 ± 0.002031  | 0 ± 0  |  0.08716 ± 0.00586   |    0 ± 0    |       0 ± 0       |
| Bin14  |  0.04905 ± 0.004191  |         0 ± 0         | 0 ± 0  |  0.04905 ± 0.004191  |    0 ± 0    |       0 ± 0       |
| Bin15  |  0.04087 ± 0.003872  | -0.002872 ± 0.002031  | 0 ± 0  |   0.038 ± 0.004372   |    0 ± 0    |       0 ± 0       |
| Bin16  |  0.02055 ± 0.00272   |  0.001436 ± 0.001436  | 0 ± 0  |  0.02198 ± 0.003076  |    0 ± 0    |       0 ± 0       |
| Bin17  |  0.01687 ± 0.002423  |         0 ± 0         | 0 ± 0  |  0.01687 ± 0.002423  |    0 ± 0    |       0 ± 0       |
| Bin18  |  0.01377 ± 0.002277  |         0 ± 0         | 0 ± 0  |  0.01377 ± 0.002277  |    0 ± 0    |       0 ± 0       |
| Bin19  | 0.008546 ± 0.001786  |         0 ± 0         | 0 ± 0  | 0.008546 ± 0.001786  |    0 ± 0    |       0 ± 0       |
| Bin20  | 0.004592 ± 0.001283  |         0 ± 0         | 0 ± 0  | 0.004592 ± 0.001283  |    0 ± 0    |       0 ± 0       |
| Bin21  |  0.02086 ± 0.002825  |  0.004308 ± 0.002487  | 0 ± 0  |  0.02517 ± 0.003764  |    0 ± 0    |       0 ± 0       |
+--------+----------------------+-----------------------+--------+----------------------+-------------+-------------------+
