+--------+------------------+-----------------------+--------+------------------+-------------+------------------+
| Bin#   |        ZZ        |          ttZ          | Other  |      Total       |    data     |      Ratio       |
|--------+------------------+-----------------------+--------+------------------+-------------+------------------+
| Bin0   |      0 ± 0       |         0 ± 0         | 0 ± 0  |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |      0 ± 0       |         0 ± 0         | 0 ± 0  |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin2   |      0 ± 0       |         0 ± 0         | 0 ± 0  |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin3   |      0 ± 0       |         0 ± 0         | 0 ± 0  |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin4   | 2.324 ± 0.02826  |  0.001436 ± 0.001436  | 0 ± 0  |  2.326 ± 0.0283  |    0 ± 0    |      0 ± 0       |
| Bin5   | 8.197 ± 0.05345  |  0.002872 ± 0.002031  | 0 ± 0  |  8.2 ± 0.05349   |  7 ± 2.646  | 0.8536 ± 0.3227  |
| Bin6   |  19.71 ± 0.0835  |  0.002872 ± 0.002872  | 0 ± 0  | 19.71 ± 0.08355  | 19 ± 4.359  | 0.9639 ± 0.2212  |
| Bin7   |  36.8 ± 0.1152   |  0.004308 ± 0.004308  | 0 ± 0  |  36.8 ± 0.1153   | 27 ± 5.196  | 0.7336 ± 0.1412  |
| Bin8   |  35.09 ± 0.1128  |  0.01723 ± 0.005374   | 0 ± 0  |  35.11 ± 0.1129  | 32 ± 5.657  | 0.9114 ± 0.1611  |
| Bin9   | 27.23 ± 0.09923  |  0.004308 ± 0.004308  | 0 ± 0  | 27.23 ± 0.09932  | 18 ± 4.243  | 0.6609 ± 0.1558  |
| Bin10  | 20.36 ± 0.08567  |  0.002872 ± 0.004541  | 0 ± 0  | 20.37 ± 0.08579  | 19 ± 4.359  |  0.933 ± 0.2141  |
| Bin11  | 14.96 ± 0.07324  |  0.007181 ± 0.004308  | 0 ± 0  | 14.96 ± 0.07337  | 17 ± 4.123  |  1.136 ± 0.2756  |
| Bin12  | 11.06 ± 0.06285  |  0.005745 ± 0.004062  | 0 ± 0  | 11.07 ± 0.06298  | 12 ± 3.464  |  1.084 ± 0.3131  |
| Bin13  | 8.124 ± 0.05387  |  0.001436 ± 0.002487  | 0 ± 0  | 8.125 ± 0.05393  | 12 ± 3.464  |  1.477 ± 0.4265  |
| Bin14  | 6.174 ± 0.04689  |  0.004308 ± 0.002487  | 0 ± 0  | 6.178 ± 0.04696  |    4 ± 2    | 0.6475 ± 0.3238  |
| Bin15  | 4.688 ± 0.04092  |  0.002872 ± 0.002872  | 0 ± 0  |  4.69 ± 0.04102  |    4 ± 2    | 0.8528 ± 0.4265  |
| Bin16  | 3.648 ± 0.03615  |  0.004308 ± 0.002487  | 0 ± 0  | 3.652 ± 0.03624  |  5 ± 2.236  |  1.369 ± 0.6125  |
| Bin17  |  2.807 ± 0.0317  | -0.001436 ± 0.001436  | 0 ± 0  | 2.805 ± 0.03173  |  3 ± 1.732  |  1.069 ± 0.6176  |
| Bin18  |  2.163 ± 0.0279  |  0.002872 ± 0.002031  | 0 ± 0  | 2.166 ± 0.02798  |    0 ± 0    |      0 ± 0       |
| Bin19  | 1.702 ± 0.02475  |     0 ± 0.002031      | 0 ± 0  | 1.702 ± 0.02484  |    1 ± 1    | 0.5875 ± 0.5875  |
| Bin20  | 1.396 ± 0.02237  |  0.001436 ± 0.001436  | 0 ± 0  | 1.397 ± 0.02242  |  2 ± 1.414  |  1.431 ± 1.012   |
| Bin21  |  7.95 ± 0.05389  |  0.002872 ± 0.004062  | 0 ± 0  | 7.953 ± 0.05404  |  5 ± 2.236  | 0.6287 ± 0.2812  |
+--------+------------------+-----------------------+--------+------------------+-------------+------------------+
