+--------+------------------------+-----------------------+--------+-----------------------+-------------+------------------+
| Bin#   |           ZZ           |          ttZ          | Other  |         Total         |    data     |      Ratio       |
|--------+------------------------+-----------------------+--------+-----------------------+-------------+------------------+
| Bin0   |         0 ± 0          |         0 ± 0         | 0 ± 0  |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    8.179 ± 0.05427     |         0 ± 0         | 0 ± 0  |    8.179 ± 0.05427    |  2 ± 1.414  | 0.2445 ± 0.1729  |
| Bin2   |    22.32 ± 0.08969     |         0 ± 0         | 0 ± 0  |    22.32 ± 0.08969    | 17 ± 4.123  | 0.7618 ± 0.1848  |
| Bin3   |     30.83 ± 0.1054     | -0.001436 ± 0.001436  | 0 ± 0  |    30.83 ± 0.1054     | 18 ± 4.243  | 0.5839 ± 0.1376  |
| Bin4   |     33.11 ± 0.1092     |  0.001436 ± 0.001436  | 0 ± 0  |    33.11 ± 0.1092     | 33 ± 5.745  | 0.9965 ± 0.1735  |
| Bin5   |     30.57 ± 0.1047     |  0.001436 ± 0.001436  | 0 ± 0  |    30.57 ± 0.1048     | 17 ± 4.123  | 0.5562 ± 0.1349  |
| Bin6   |     25.59 ± 0.0958     |  0.004308 ± 0.002487  | 0 ± 0  |    25.59 ± 0.09583    | 23 ± 4.796  | 0.8987 ± 0.1874  |
| Bin7   |    19.93 ± 0.08451     |  0.001436 ± 0.002487  | 0 ± 0  |    19.93 ± 0.08454    | 27 ± 5.196  |  1.355 ± 0.2608  |
| Bin8   |    14.63 ± 0.07238     |  0.007181 ± 0.003211  | 0 ± 0  |    14.64 ± 0.07246    | 17 ± 4.123  |  1.161 ± 0.2817  |
| Bin9   |    10.39 ± 0.06098     |     0 ± 0.002031      | 0 ± 0  |    10.39 ± 0.06102    |  8 ± 2.828  | 0.7701 ± 0.2723  |
| Bin10  |    6.999 ± 0.05002     |  0.002872 ± 0.002031  | 0 ± 0  |    7.002 ± 0.05006    |  7 ± 2.646  | 0.9997 ± 0.3779  |
| Bin11  |    4.542 ± 0.04022     |  0.005745 ± 0.003518  | 0 ± 0  |    4.547 ± 0.04037    |  5 ± 2.236  |   1.1 ± 0.4918   |
| Bin12  |    2.844 ± 0.03184     |  0.001436 ± 0.002487  | 0 ± 0  |    2.845 ± 0.03194    |  5 ± 2.236  |  1.757 ± 0.7861  |
| Bin13  |    1.818 ± 0.02552     |  0.002872 ± 0.003518  | 0 ± 0  |    1.821 ± 0.02576    |  2 ± 1.414  |  1.098 ± 0.7766  |
| Bin14  |     1.08 ± 0.01962     |  0.007181 ± 0.003211  | 0 ± 0  |    1.087 ± 0.01988    |    1 ± 1    | 0.9201 ± 0.9202  |
| Bin15  |    0.6456 ± 0.01513    |   0.007181 ± 0.0038   | 0 ± 0  |    0.6528 ± 0.0156    |    4 ± 2    |  6.127 ± 3.067   |
| Bin16  |    0.3708 ± 0.01151    | -0.002872 ± 0.002872  | 0 ± 0  |    0.368 ± 0.01187    |    0 ± 0    |      0 ± 0       |
| Bin17  |    0.204 ± 0.008492    | -0.001436 ± 0.002487  | 0 ± 0  |   0.2025 ± 0.008849   |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.1269 ± 0.006746    | -0.001436 ± 0.003211  | 0 ± 0  |   0.1254 ± 0.007471   |    1 ± 1    |  7.971 ± 7.986   |
| Bin19  |   0.08137 ± 0.005437   |  0.001436 ± 0.001436  | 0 ± 0  |  0.08281 ± 0.005624   |    0 ± 0    |      0 ± 0       |
| Bin20  |   0.04474 ± 0.003989   |  0.001436 ± 0.001436  | 0 ± 0  |  0.04618 ± 0.004239   |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.02595 ± 0.003107   |  0.004308 ± 0.003211  | 0 ± 0  |  0.03026 ± 0.004468   |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.0215 ± 0.002831    |         0 ± 0         | 0 ± 0  |   0.0215 ± 0.002831   |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.01313 ± 0.002259   |  0.004308 ± 0.002487  | 0 ± 0  |   0.01744 ± 0.00336   |    0 ± 0    |      0 ± 0       |
| Bin24  |  0.006637 ± 0.001559   |     0 ± 0.002031      | 0 ± 0  |  0.006637 ± 0.002561  |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.004864 ± 0.001335   |     0 ± 0.002031      | 0 ± 0  |  0.004864 ± 0.00243   |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.004954 ± 0.001382   |  0.001436 ± 0.001436  | 0 ± 0  |  0.00639 ± 0.001993   |    0 ± 0    |      0 ± 0       |
| Bin27  |  0.003408 ± 0.001159   |         0 ± 0         | 0 ± 0  |  0.003408 ± 0.001159  |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.001727 ± 0.0008202  |  0.002872 ± 0.002872  | 0 ± 0  |  0.004599 ± 0.002987  |    0 ± 0    |      0 ± 0       |
| Bin29  | 0.0004089 ± 0.0004089  |     0 ± 0.002031      | 0 ± 0  | 0.0004089 ± 0.002072  |    0 ± 0    |      0 ± 0       |
| Bin30  |  0.002453 ± 0.001001   |  0.002872 ± 0.002031  | 0 ± 0  |  0.005325 ± 0.002264  |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.002681 ± 0.001019   |  0.01293 ± 0.005178   | 0 ± 0  |  0.01561 ± 0.005277   |    0 ± 0    |      0 ± 0       |
+--------+------------------------+-----------------------+--------+-----------------------+-------------+------------------+
