+--------+-----------------------+-----------------------+--------------------+------------------------+-------------+------------------+
| Bin#   |          ZZ           |          ttZ          |       Other        |         Total          |    data     |      Ratio       |
|--------+-----------------------+-----------------------+--------------------+------------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0          |    0 ± 0    |      0 ± 0       |
| Bin1   |    9.295 ± 0.06388    | -0.001726 ± 0.001726  |       0 ± 0        |     9.294 ± 0.0639     |  8 ± 2.828  | 0.8608 ± 0.3044  |
| Bin2   |    24.82 ± 0.1042     |  0.001726 ± 0.001726  |       0 ± 0        |     24.82 ± 0.1042     | 27 ± 5.196  |  1.088 ± 0.2094  |
| Bin3   |    34.17 ± 0.1222     |  0.001726 ± 0.001726  |       0 ± 0        |     34.17 ± 0.1222     | 35 ± 5.916  |  1.024 ± 0.1732  |
| Bin4   |    36.44 ± 0.1261     |     0 ± 0.002441      |       0 ± 0        |     36.44 ± 0.1261     | 32 ± 5.657  | 0.8781 ± 0.1553  |
| Bin5   |      34 ± 0.1218      |     0 ± 0.003453      |       0 ± 0        |      34 ± 0.1218       | 37 ± 6.083  |  1.088 ± 0.1789  |
| Bin6   |    28.27 ± 0.1109     |  0.001726 ± 0.001726  |       0 ± 0        |     28.27 ± 0.1109     | 29 ± 5.385  |  1.026 ± 0.1905  |
| Bin7   |    22.01 ± 0.09778    |         0 ± 0         |       0 ± 0        |    22.01 ± 0.09778     | 27 ± 5.196  |  1.227 ± 0.2362  |
| Bin8   |    16.02 ± 0.08335    |  0.003453 ± 0.002441  |       0 ± 0        |    16.02 ± 0.08338     | 13 ± 3.606  | 0.8113 ± 0.2251  |
| Bin9   |    11.32 ± 0.07009    |  0.001726 ± 0.00299   |       0 ± 0        |    11.32 ± 0.07015     |  6 ± 2.449  | 0.5302 ± 0.2165  |
| Bin10  |    7.703 ± 0.05789    |     0 ± 0.002441      |       0 ± 0        |    7.703 ± 0.05794     |  7 ± 2.646  | 0.9087 ± 0.3435  |
| Bin11  |    4.966 ± 0.04637    |  0.005179 ± 0.00299   |       0 ± 0        |    4.972 ± 0.04646     |    4 ± 2    | 0.8046 ± 0.4024  |
| Bin12  |    3.147 ± 0.03687    |  0.01036 ± 0.004883   |       0 ± 0        |     3.158 ± 0.0372     |  2 ± 1.414  | 0.6334 ± 0.4479  |
| Bin13  |    2.041 ± 0.02984    |  0.003453 ± 0.004229  |       0 ± 0        |    2.045 ± 0.03014     |    1 ± 1    | 0.4891 ± 0.4892  |
| Bin14  |    1.264 ± 0.02342    |  0.003453 ± 0.003453  |       0 ± 0        |    1.267 ± 0.02367     |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.7447 ± 0.01796    |  0.005179 ± 0.00299   |       0 ± 0        |    0.7499 ± 0.0182     |  2 ± 1.414  |  2.667 ± 1.887   |
| Bin16  |    0.433 ± 0.01374    |  0.003453 ± 0.002441  | 0.04628 ± 0.04628  |    0.4827 ± 0.04834    |    0 ± 0    |      0 ± 0       |
| Bin17  |    0.2597 ± 0.0107    |  0.01036 ± 0.004883   |       0 ± 0        |    0.2701 ± 0.01176    |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.1517 ± 0.008109   |  0.003453 ± 0.002441  |       0 ± 0        |   0.1552 ± 0.008468    |    1 ± 1    |  6.444 ± 6.453   |
| Bin19  |  0.08727 ± 0.006116   |     0 ± 0.003453      |       0 ± 0        |   0.08727 ± 0.007023   |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.04744 ± 0.004566   |  0.003453 ± 0.003453  |       0 ± 0        |   0.0509 ± 0.005724    |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.0323 ± 0.003757   |  0.003453 ± 0.002441  |       0 ± 0        |   0.03575 ± 0.00448    |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.01706 ± 0.00275   |  0.001726 ± 0.00299   |       0 ± 0        |   0.01879 ± 0.004063   |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.01401 ± 0.00257   |  0.001726 ± 0.00299   |       0 ± 0        |   0.01574 ± 0.003943   |    0 ± 0    |      0 ± 0       |
| Bin24  |  0.008128 ± 0.001865  |  0.005179 ± 0.00299   |       0 ± 0        |   0.01331 ± 0.003524   |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.007228 ± 0.001816  | -0.001726 ± 0.001726  |       0 ± 0        |  0.005501 ± 0.002505   |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.004146 ± 0.001411  |     0 ± 0.002441      |       0 ± 0        |   0.004146 ± 0.00282   |    0 ± 0    |      0 ± 0       |
| Bin27  | 0.001527 ± 0.0007689  |  0.003453 ± 0.002441  |       0 ± 0        |   0.00498 ± 0.00256    |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.002755 ± 0.001135  |         0 ± 0         |       0 ± 0        |  0.002755 ± 0.001135   |    0 ± 0    |      0 ± 0       |
| Bin29  |  0.00105 ± 0.0007062  | -0.001726 ± 0.001726  |       0 ± 0        | -0.0006761 ± 0.001865  |    0 ± 0    |      -0 ± 0      |
| Bin30  |         0 ± 0         |  0.001726 ± 0.00299   |       0 ± 0        |   0.001726 ± 0.00299   |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.007577 ± 0.00193   |  0.02072 ± 0.006459   |       0 ± 0        |   0.02829 ± 0.006742   |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+--------------------+------------------------+-------------+------------------+
