+--------+----------------------+-----------------------+--------------------+----------------------+-------------+------------------+
| Bin#   |          ZZ          |          ttZ          |       Other        |        Total         |    data     |      Ratio       |
|--------+----------------------+-----------------------+--------------------+----------------------+-------------+------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |   14.45 ± 0.08408    |  0.001591 ± 0.001591  |       0 ± 0        |    14.45 ± 0.0841    |  6 ± 2.449  | 0.4153 ± 0.1696  |
| Bin2   |    39.26 ± 0.1387    |  0.001591 ± 0.001591  |       0 ± 0        |    39.26 ± 0.1387    | 29 ± 5.385  | 0.7387 ± 0.1372  |
| Bin3   |    56.61 ± 0.1664    |  0.003182 ± 0.00225   |       0 ± 0        |    56.61 ± 0.1664    | 52 ± 7.211  | 0.9185 ± 0.1274  |
| Bin4   |    65.42 ± 0.1789    |  0.003182 ± 0.00225   |       0 ± 0        |    65.42 ± 0.1789    | 65 ± 8.062  | 0.9936 ± 0.1233  |
| Bin5   |    65.72 ± 0.1793    |  0.003182 ± 0.003182  |       0 ± 0        |    65.73 ± 0.1793    | 72 ± 8.485  |  1.095 ± 0.1291  |
| Bin6   |    60.85 ± 0.1725    |     0 ± 0.003182      |       0 ± 0        |    60.85 ± 0.1725    | 60 ± 7.746  |  0.986 ± 0.1273  |
| Bin7   |    51.92 ± 0.1593    | -0.001591 ± 0.002756  |       0 ± 0        |    51.92 ± 0.1593    | 55 ± 7.416  |  1.059 ± 0.1429  |
| Bin8   |    42.52 ± 0.1441    |  0.006365 ± 0.003898  |       0 ± 0        |    42.52 ± 0.1442    | 50 ± 7.071  |  1.176 ± 0.1663  |
| Bin9   |    33.88 ± 0.1288    |  0.001591 ± 0.002756  |       0 ± 0        |    33.88 ± 0.1288    | 41 ± 6.403  |   1.21 ± 0.189   |
| Bin10  |    25.4 ± 0.1114     |  0.001591 ± 0.001591  |       0 ± 0        |    25.41 ± 0.1114    | 27 ± 5.196  |  1.063 ± 0.2046  |
| Bin11  |   18.62 ± 0.09531    |  0.006365 ± 0.003898  |       0 ± 0        |   18.63 ± 0.09539    | 19 ± 4.359  |  1.02 ± 0.2341   |
| Bin12  |   13.32 ± 0.08063    |   0.006365 ± 0.0045   | 0.03525 ± 0.03525  |   13.36 ± 0.08811    | 21 ± 4.583  |  1.572 ± 0.3432  |
| Bin13  |   9.335 ± 0.06747    |   0.009547 ± 0.0045   |       0 ± 0        |   9.345 ± 0.06762    |  7 ± 2.646  | 0.7491 ± 0.2832  |
| Bin14  |    6.589 ± 0.0567    |     0 ± 0.003182      |       0 ± 0        |   6.589 ± 0.05679    |  8 ± 2.828  |  1.214 ± 0.4294  |
| Bin15  |   4.401 ± 0.04632    |  0.001591 ± 0.003558  |       0 ± 0        |   4.403 ± 0.04645    |  5 ± 2.236  |  1.136 ± 0.508   |
| Bin16  |   3.021 ± 0.03847    |  0.007956 ± 0.00421   |       0 ± 0        |    3.029 ± 0.0387    |    0 ± 0    |      0 ± 0       |
| Bin17  |   1.969 ± 0.03103    |  0.003182 ± 0.003182  |       0 ± 0        |   1.972 ± 0.03119    |    1 ± 1    | 0.5071 ± 0.5072  |
| Bin18  |   1.296 ± 0.02519    |  0.009547 ± 0.003898  |       0 ± 0        |   1.305 ± 0.02549    |    4 ± 2    |  3.065 ± 1.534   |
| Bin19  |   0.8344 ± 0.02016   |     0 ± 0.003182      |       0 ± 0        |   0.8344 ± 0.02041   |    1 ± 1    |  1.199 ± 1.199   |
| Bin20  |   0.571 ± 0.01672    |  0.001591 ± 0.003558  |       0 ± 0        |   0.5725 ± 0.0171    |  2 ± 1.414  |  3.493 ± 2.472   |
| Bin21  |   0.3544 ± 0.01319   |  0.007956 ± 0.00421   |       0 ± 0        |   0.3624 ± 0.01384   |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.2399 ± 0.01081   |  0.004773 ± 0.00421   |       0 ± 0        |   0.2447 ± 0.0116    |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.163 ± 0.009017   |     0 ± 0.003182      |       0 ± 0        |   0.163 ± 0.009562   |    1 ± 1    |  6.136 ± 6.147   |
| Bin24  |  0.08714 ± 0.006529  |  0.006365 ± 0.003898  |       0 ± 0        |  0.0935 ± 0.007604   |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.05182 ± 0.005036  |  0.004773 ± 0.003558  |       0 ± 0        |  0.05659 ± 0.006166  |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.04206 ± 0.004577  |  0.001591 ± 0.002756  |       0 ± 0        |  0.04365 ± 0.005343  |  2 ± 1.414  |  45.82 ± 32.88   |
| Bin27  |  0.02076 ± 0.00319   |  0.003182 ± 0.003182  |       0 ± 0        |  0.02394 ± 0.004506  |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.01769 ± 0.003001  |  0.001591 ± 0.003558  |       0 ± 0        |  0.01928 ± 0.004654  |    0 ± 0    |      0 ± 0       |
| Bin29  | 0.006396 ± 0.001776  | -0.001591 ± 0.001591  |       0 ± 0        | 0.004805 ± 0.002384  |    0 ± 0    |      0 ± 0       |
| Bin30  | 0.005915 ± 0.001725  |  0.004773 ± 0.00421   |       0 ± 0        |  0.01069 ± 0.004549  |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.01889 ± 0.003141  |  0.01273 ± 0.007116   |       0 ± 0        |  0.03162 ± 0.007778  |    0 ± 0    |      0 ± 0       |
+--------+----------------------+-----------------------+--------------------+----------------------+-------------+------------------+
