+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin4   | 7.396 ± 0.07205  | 0.001567 ± 0.001567  |       0 ± 0        | 7.398 ± 0.07206  |  5 ± 2.236   |  0.6759 ± 0.3023  |
| Bin5   |  26.83 ± 0.1379  | 0.007834 ± 0.003504  |       0 ± 0        |  26.84 ± 0.1379  |  24 ± 4.899  |  0.8943 ± 0.1826  |
| Bin6   |   64.3 ± 0.215   | 0.009401 ± 0.005428  |       0 ± 0        |  64.31 ± 0.2151  |  63 ± 7.937  |  0.9797 ± 0.1235  |
| Bin7   |  134.5 ± 0.3126  |  0.02507 ± 0.006268  | 0.03706 ± 0.03706  |  134.5 ± 0.3149  | 134 ± 11.58  |  0.996 ± 0.08607  |
| Bin8   |   128 ± 0.3059   |  0.01254 ± 0.008582  |       0 ± 0        |   128 ± 0.306    | 128 ± 11.31  | 0.9999 ± 0.08841  |
| Bin9   |  100.1 ± 0.2702  |  0.02037 ± 0.006069  |       0 ± 0        |  100.1 ± 0.2703  |    81 ± 9    | 0.8092 ± 0.08994  |
| Bin10  |  74.44 ± 0.2328  |  0.01567 ± 0.006648  |       0 ± 0        |  74.45 ± 0.2329  |  82 ± 9.055  |  1.101 ± 0.1217   |
| Bin11  |  54.76 ± 0.1993  |  0.01724 ± 0.007834  |       0 ± 0        |  54.77 ± 0.1994  |  45 ± 6.708  |  0.8216 ± 0.1225  |
| Bin12  |  40.17 ± 0.1705  | 0.003134 ± 0.005863  |       0 ± 0        |  40.17 ± 0.1706  |  31 ± 5.568  |  0.7717 ± 0.1386  |
| Bin13  |  29.61 ± 0.1463  | 0.007834 ± 0.005197  |       0 ± 0        |  29.61 ± 0.1464  |  37 ± 6.083  |  1.249 ± 0.2055   |
| Bin14  |  22.43 ± 0.1273  |  0.0141 ± 0.005197   |       0 ± 0        |  22.44 ± 0.1274  |  19 ± 4.359  |  0.8466 ± 0.1943  |
| Bin15  |  16.79 ± 0.1103  | 0.004701 ± 0.005197  |       0 ± 0        |  16.79 ± 0.1104  |  10 ± 3.162  |  0.5954 ± 0.1883  |
| Bin16  |  12.89 ± 0.0965  | 0.009401 ± 0.004955  |       0 ± 0        | 12.89 ± 0.09662  |  20 ± 4.472  |   1.551 ± 0.347   |
| Bin17  | 9.875 ± 0.08453  | 0.003134 ± 0.003838  |       0 ± 0        | 9.879 ± 0.08462  |  10 ± 3.162  |  1.012 ± 0.3202   |
| Bin18  |  7.707 ± 0.0748  | 0.006268 ± 0.003134  |       0 ± 0        | 7.713 ± 0.07486  |    9 ± 3     |  1.167 ± 0.3891   |
| Bin19  |  6.096 ± 0.0665  | 0.004701 ± 0.004146  |       0 ± 0        |  6.1 ± 0.06663   |  7 ± 2.646   |  1.147 ± 0.4339   |
| Bin20  | 4.802 ± 0.05905  |  0.01097 ± 0.004146  |       0 ± 0        |  4.813 ± 0.0592  |  5 ± 2.236   |  1.039 ± 0.4647   |
| Bin21  |  27.69 ± 0.1426  |  0.03604 ± 0.009531  |       0 ± 0        |  27.73 ± 0.1429  |  18 ± 4.243  |  0.6491 ± 0.153   |
+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
