+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin4   | 8.344 ± 0.07675  |        0 ± 0         |       0 ± 0        | 8.344 ± 0.07675  |  11 ± 3.317  |  1.318 ± 0.3977   |
| Bin5   |  29.34 ± 0.1446  | 0.007834 ± 0.006069  |       0 ± 0        |  29.35 ± 0.1447  |  23 ± 4.796  |  0.7838 ± 0.1635  |
| Bin6   |  71.3 ± 0.2266   |  0.0188 ± 0.007007   | 0.03706 ± 0.03706  |  71.35 ± 0.2297  |  56 ± 7.483  |  0.7848 ± 0.1049  |
| Bin7   |  132.2 ± 0.3101  |  0.03134 ± 0.008291  |       0 ± 0        |  132.2 ± 0.3102  | 139 ± 11.79  |  1.051 ± 0.08919  |
| Bin8   |  125.9 ± 0.3032  |  0.02664 ± 0.008724  |       0 ± 0        |  125.9 ± 0.3033  | 127 ± 11.27  |  1.009 ± 0.08955  |
| Bin9   |  98.13 ± 0.2675  |  0.0282 ± 0.008582   |       0 ± 0        |  98.15 ± 0.2677  |  83 ± 9.11   | 0.8456 ± 0.09285  |
| Bin10  |  73.01 ± 0.2303  |  0.01567 ± 0.007007  |       0 ± 0        |  73.03 ± 0.2304  |  66 ± 8.124  |  0.9038 ± 0.1113  |
| Bin11  |  53.32 ± 0.1967  |  0.01254 ± 0.006268  |       0 ± 0        |  53.33 ± 0.1968  |  53 ± 7.28   |  0.9938 ± 0.1366  |
| Bin12  |  39.41 ± 0.1688  |  0.01567 ± 0.006268  |       0 ± 0        |  39.43 ± 0.1689  |  40 ± 6.325  |  1.014 ± 0.1605   |
| Bin13  |  29.35 ± 0.1457  | 0.003134 ± 0.004432  |       0 ± 0        |  29.35 ± 0.1458  |  28 ± 5.292  |  0.9539 ± 0.1803  |
| Bin14  |  22.07 ± 0.1264  |  0.01097 ± 0.004146  |       0 ± 0        |  22.08 ± 0.1264  |  22 ± 4.69   |  0.9965 ± 0.2125  |
| Bin15  |  16.55 ± 0.1094  |  0.01097 ± 0.004701  |       0 ± 0        |  16.56 ± 0.1095  |  13 ± 3.606  |  0.7852 ± 0.2178  |
| Bin16  | 12.82 ± 0.09638  | 0.006268 ± 0.003838  |       0 ± 0        | 12.82 ± 0.09645  |  10 ± 3.162  |  0.7798 ± 0.2467  |
| Bin17  |  9.82 ± 0.08436  | 0.007834 ± 0.003504  |       0 ± 0        | 9.828 ± 0.08444  |  12 ± 3.464  |  1.221 ± 0.3526   |
| Bin18  |  7.861 ± 0.0756  | 0.003134 ± 0.002216  |       0 ± 0        | 7.865 ± 0.07563  |  11 ± 3.317  |  1.399 ± 0.4219   |
| Bin19  | 5.965 ± 0.06586  | 0.001567 ± 0.003504  |       0 ± 0        | 5.967 ± 0.06596  |  7 ± 2.646   |  1.173 ± 0.4436   |
| Bin20  |  4.913 ± 0.0598  | 0.001567 ± 0.003504  |       0 ± 0        |  4.915 ± 0.0599  |  2 ± 1.414   |  0.407 ± 0.2878   |
| Bin21  |  28.05 ± 0.1436  |  0.007834 ± 0.00646  |       0 ± 0        |  28.06 ± 0.1437  |    25 ± 5    |  0.891 ± 0.1783   |
+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
