+--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |          ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  595.2 ± 0.5859  |    0.157 ± 0.02263    | 0.03706 ± 0.03706  |  595.4 ± 0.5875  | 527 ± 22.96  | 0.8852 ± 0.03857  |
| Bin2   |  382.3 ± 0.4673  |   0.1066 ± 0.01804    |       0 ± 0        |  382.4 ± 0.4677  | 386 ± 19.65  |  1.009 ± 0.05139  |
| Bin3   |  222.3 ± 0.356   |   0.05344 ± 0.01224   | 0.04628 ± 0.04628  |  222.4 ± 0.3592  | 213 ± 14.59  | 0.9576 ± 0.06563  |
| Bin4   |  139.1 ± 0.282   |   0.04541 ± 0.01071   |       0 ± 0        |  139.2 ± 0.2822  | 116 ± 10.77  |  0.8335 ± 0.0774  |
| Bin5   |  96.11 ± 0.2345  |  0.02718 ± 0.008571   | 0.03525 ± 0.03525  |  96.17 ± 0.2373  |  89 ± 9.434  | 0.9255 ± 0.09813  |
| Bin6   |  70.05 ± 0.2001  |  0.01636 ± 0.007529   |       0 ± 0        |  70.07 ± 0.2002  |  63 ± 7.937  |  0.8992 ± 0.1133  |
| Bin7   |  52.3 ± 0.1725   |  0.02292 ± 0.007524   |       0 ± 0        |  52.32 ± 0.1726  |  69 ± 8.307  |  1.319 ± 0.1588   |
| Bin8   |  38.9 ± 0.1483   |  0.006852 ± 0.005982  |       0 ± 0        |  38.91 ± 0.1484  |  51 ± 7.141  |  1.311 ± 0.1836   |
| Bin9   |  29.22 ± 0.1277  |  0.004909 ± 0.005125  |       0 ± 0        |  29.22 ± 0.1278  |  48 ± 6.928  |  1.643 ± 0.2372   |
| Bin10  |  21.71 ± 0.1096  |  0.006901 ± 0.003999  |       0 ± 0        |  21.71 ± 0.1097  |  24 ± 4.899  |  1.105 ± 0.2257   |
| Bin11  | 16.42 ± 0.09491  |  0.004594 ± 0.003458  |       0 ± 0        | 16.42 ± 0.09497  |  15 ± 3.873  |  0.9133 ± 0.2359  |
| Bin12  |  12.6 ± 0.08288  |  0.006185 ± 0.003807  |       0 ± 0        | 12.61 ± 0.08296  |  13 ± 3.606  |   1.031 ± 0.286   |
| Bin13  | 9.598 ± 0.07195  |  0.00457 ± 0.002641   |       0 ± 0        |  9.603 ± 0.072   |  8 ± 2.828   |  0.8331 ± 0.2946  |
| Bin14  | 7.667 ± 0.06415  |  0.005024 ± 0.003679  |       0 ± 0        | 7.672 ± 0.06426  |  14 ± 3.742  |  1.825 ± 0.4879   |
| Bin15  | 5.919 ± 0.05641  | -0.001862 ± 0.002914  |       0 ± 0        | 5.917 ± 0.05648  |    4 ± 2     |  0.676 ± 0.3381   |
| Bin16  | 4.902 ± 0.05114  |  0.001567 ± 0.001567  |       0 ± 0        | 4.904 ± 0.05116  |  3 ± 1.732   |  0.6118 ± 0.3533  |
| Bin17  | 3.928 ± 0.04562  |  0.003003 ± 0.002125  |       0 ± 0        | 3.931 ± 0.04567  |  7 ± 2.646   |  1.781 ± 0.6733   |
| Bin18  | 3.197 ± 0.04114  |         0 ± 0         |       0 ± 0        | 3.197 ± 0.04114  |  2 ± 1.414   |  0.6257 ± 0.4425  |
| Bin19  | 2.751 ± 0.03806  |  0.001726 ± 0.001726  |       0 ± 0        | 2.753 ± 0.03809  |    1 ± 1     |  0.3632 ± 0.3633  |
| Bin20  |  2.26 ± 0.0343   |         0 ± 0         |       0 ± 0        |  2.26 ± 0.0343   |    1 ± 1     |  0.4424 ± 0.4425  |
| Bin21  |  20.49 ± 0.103   |  0.009483 ± 0.004381  |       0 ± 0        |  20.5 ± 0.1031   |  20 ± 4.472  |  0.9757 ± 0.2182  |
+--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
