+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin4   |  18.94 ± 0.1023  |  0.01112 ± 0.004207  |       0 ± 0        |  18.95 ± 0.1024  |    16 ± 4    |  0.8442 ± 0.2111  |
| Bin5   |  66.3 ± 0.1925   |  0.03007 ± 0.008499  |       0 ± 0        |  66.33 ± 0.1927  |  63 ± 7.937  |  0.9498 ± 0.1197  |
| Bin6   |   161 ± 0.3017   |  0.02831 ± 0.009772  | 0.03706 ± 0.03706  |  161.1 ± 0.3042  |   144 ± 12   |  0.894 ± 0.07452  |
| Bin7   |  298.5 ± 0.4131  |  0.05755 ± 0.01329   | 0.03525 ± 0.03525  |  298.6 ± 0.4148  | 294 ± 17.15  | 0.9845 ± 0.05743  |
| Bin8   |  284.5 ± 0.4042  |  0.06537 ± 0.01374   |       0 ± 0        |  284.6 ± 0.4045  | 265 ± 16.28  | 0.9312 ± 0.05722  |
| Bin9   |  221.2 ± 0.3563  |  0.06105 ± 0.01209   |       0 ± 0        |  221.3 ± 0.3565  | 211 ± 14.53  | 0.9536 ± 0.06567  |
| Bin10  |  164.8 ± 0.3068  |  0.03513 ± 0.01115   | 0.04628 ± 0.04628  |  164.9 ± 0.3105  | 157 ± 12.53  | 0.9523 ± 0.07602  |
| Bin11  |   121 ± 0.2626   |  0.03617 ± 0.01039   |       0 ± 0        |  121.1 ± 0.2628  | 116 ± 10.77  | 0.9581 ± 0.08898  |
| Bin12  |  89.49 ± 0.2254  |  0.03641 ± 0.01106   |       0 ± 0        |  89.53 ± 0.2257  |  93 ± 9.644  |  1.039 ± 0.1078   |
| Bin13  |  66.16 ± 0.1939  | 0.006567 ± 0.007418  |       0 ± 0        |  66.17 ± 0.1941  |  69 ± 8.307  |  1.043 ± 0.1256   |
| Bin14  |  49.92 ± 0.1684  |  0.02137 ± 0.006673  |       0 ± 0        |  49.94 ± 0.1685  |  48 ± 6.928  |  0.9612 ± 0.1388  |
| Bin15  |  37.5 ± 0.1459   |  0.01052 ± 0.007207  |       0 ± 0        |  37.51 ± 0.1461  |  32 ± 5.657  |  0.853 ± 0.1508   |
| Bin16  |  29.1 ± 0.1286   |  0.02371 ± 0.006898  |       0 ± 0        |  29.12 ± 0.1288  |  32 ± 5.657  |  1.099 ± 0.1943   |
| Bin17  |  22.39 ± 0.1129  |  0.02099 ± 0.006166  |       0 ± 0        |  22.41 ± 0.113   |  29 ± 5.385  |  1.294 ± 0.2403   |
| Bin18  | 17.45 ± 0.09994  | 0.009053 ± 0.004428  |       0 ± 0        |   17.46 ± 0.1    |  22 ± 4.69   |   1.26 ± 0.2688   |
| Bin19  | 13.69 ± 0.08835  | 0.004884 ± 0.004681  |       0 ± 0        | 13.69 ± 0.08848  |  14 ± 3.742  |  1.022 ± 0.2733   |
| Bin20  | 11.17 ± 0.07991  | 0.006185 ± 0.004405  |       0 ± 0        | 11.18 ± 0.08003  |  12 ± 3.464  |   1.074 ± 0.31    |
| Bin21  |  63.8 ± 0.1919   |  0.01748 ± 0.01009   |       0 ± 0        |  63.81 ± 0.1921  |  57 ± 7.55   |  0.8932 ± 0.1183  |
+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
