+--------+-----------------------+-----------------------+-------------+------------------+
| Bin#   |          ZZ           |         Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |     31.68 ± 0.108     |     31.68 ± 0.108     | 15 ± 3.873  | 0.4735 ± 0.1223  |
| Bin2   |    57.45 ± 0.1444     |    57.45 ± 0.1444     | 48 ± 6.928  | 0.8354 ± 0.1206  |
| Bin3   |    48.41 ± 0.1315     |    48.41 ± 0.1315     | 42 ± 6.481  | 0.8677 ± 0.1339  |
| Bin4   |    33.12 ± 0.1084     |    33.12 ± 0.1084     |   36 ± 6    |  1.087 ± 0.1812  |
| Bin5   |    19.86 ± 0.08379    |    19.86 ± 0.08379    |  22 ± 4.69  |  1.108 ± 0.2362  |
| Bin6   |    11.05 ± 0.06236    |    11.05 ± 0.06236    |  7 ± 2.646  | 0.6335 ± 0.2395  |
| Bin7   |    6.124 ± 0.04646    |    6.124 ± 0.04646    |  6 ± 2.449  | 0.9798 ± 0.4001  |
| Bin8   |    3.194 ± 0.03355    |    3.194 ± 0.03355    |  7 ± 2.646  |  2.192 ± 0.8286  |
| Bin9   |    1.667 ± 0.02428    |    1.667 ± 0.02428    |  3 ± 1.732  |    1.8 ± 1.04    |
| Bin10  |   0.8516 ± 0.01732    |   0.8516 ± 0.01732    |    0 ± 0    |      0 ± 0       |
| Bin11  |   0.4521 ± 0.01268    |   0.4521 ± 0.01268    |    1 ± 1    |  2.212 ± 2.213   |
| Bin12  |   0.2388 ± 0.009243   |   0.2388 ± 0.009243   |    0 ± 0    |      0 ± 0       |
| Bin13  |   0.1256 ± 0.006735   |   0.1256 ± 0.006735   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.06416 ± 0.004742   |  0.06416 ± 0.004742   |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.0386 ± 0.003717   |   0.0386 ± 0.003717   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.02228 ± 0.002828   |  0.02228 ± 0.002828   |    0 ± 0    |      0 ± 0       |
| Bin17  |   0.01432 ± 0.00232   |   0.01432 ± 0.00232   |    0 ± 0    |      0 ± 0       |
| Bin18  |  0.006318 ± 0.001515  |  0.006318 ± 0.001515  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.001637 ± 0.0007384  | 0.001637 ± 0.0007384  |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.003316 ± 0.001157  |  0.003316 ± 0.001157  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.00618 ± 0.001545   |  0.00618 ± 0.001545   |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+-------------+------------------+
