+--------+-------------------+-------------------+-------------+------------------+
| Bin#   |        ZZ         |       Total       |    data     |      Ratio       |
|--------+-------------------+-------------------+-------------+------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |   63.8 ± 0.1511   |   63.8 ± 0.1511   | 66 ± 8.124  |  1.035 ± 0.1274  |
| Bin2   |  45.24 ± 0.1273   |  45.24 ± 0.1273   | 41 ± 6.403  | 0.9063 ± 0.1416  |
| Bin3   |  27.43 ± 0.09906  |  27.43 ± 0.09906  |  22 ± 4.69  |  0.8021 ± 0.171  |
| Bin4   |  17.12 ± 0.07842  |  17.12 ± 0.07842  | 14 ± 3.742  | 0.8177 ± 0.2186  |
| Bin5   |  11.93 ± 0.06555  |  11.93 ± 0.06555  |  6 ± 2.449  | 0.5028 ± 0.2053  |
| Bin6   |  8.834 ± 0.05643  |  8.834 ± 0.05643  | 13 ± 3.606  |  1.472 ± 0.4083  |
| Bin7   |  7.058 ± 0.05047  |  7.058 ± 0.05047  |  5 ± 2.236  | 0.7084 ± 0.3169  |
| Bin8   |  5.646 ± 0.04512  |  5.646 ± 0.04512  |  5 ± 2.236  | 0.8856 ± 0.3961  |
| Bin9   |  4.661 ± 0.04104  |  4.661 ± 0.04104  |  3 ± 1.732  | 0.6436 ± 0.3716  |
| Bin10  |  3.748 ± 0.03679  |  3.748 ± 0.03679  |  2 ± 1.414  | 0.5336 ± 0.3774  |
| Bin11  |  2.988 ± 0.03291  |  2.988 ± 0.03291  |    1 ± 1    | 0.3347 ± 0.3347  |
| Bin12  |  2.428 ± 0.02965  |  2.428 ± 0.02965  |  2 ± 1.414  | 0.8237 ± 0.5825  |
| Bin13  |  1.911 ± 0.02635  |  1.911 ± 0.02635  |    1 ± 1    | 0.5232 ± 0.5232  |
| Bin14  |  1.547 ± 0.0237   |  1.547 ± 0.0237   |    1 ± 1    | 0.6466 ± 0.6467  |
| Bin15  |  1.21 ± 0.02099   |  1.21 ± 0.02099   |    0 ± 0    |      0 ± 0       |
| Bin16  |  1.08 ± 0.01988   |  1.08 ± 0.01988   |    0 ± 0    |      0 ± 0       |
| Bin17  | 0.8646 ± 0.01772  | 0.8646 ± 0.01772  |  2 ± 1.414  |  2.313 ± 1.636   |
| Bin18  | 0.7129 ± 0.01611  | 0.7129 ± 0.01611  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.6148 ± 0.01494  | 0.6148 ± 0.01494  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.5321 ± 0.01385  | 0.5321 ± 0.01385  |    0 ± 0    |      0 ± 0       |
| Bin21  |  5.033 ± 0.04295  |  5.033 ± 0.04295  |  3 ± 1.732  |  0.596 ± 0.3442  |
+--------+-------------------+-------------------+-------------+------------------+
