+--------+---------------------+---------------------+--------------+------------------+
| Bin#   |         ZZ          |        Total        |     data     |      Ratio       |
|--------+---------------------+---------------------+--------------+------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |      0 ± 0       |
| Bin1   |   31.31 ± 0.1238    |   31.31 ± 0.1238    |  19 ± 4.359  | 0.6069 ± 0.1392  |
| Bin2   |     79 ± 0.1966     |     79 ± 0.1966     |  68 ± 8.246  | 0.8607 ± 0.1044  |
| Bin3   |   98.56 ± 0.2195    |   98.56 ± 0.2195    | 101 ± 10.05  |  1.025 ± 0.102   |
| Bin4   |   93.44 ± 0.2138    |   93.44 ± 0.2138    |  96 ± 9.798  |  1.027 ± 0.1049  |
| Bin5   |   74.43 ± 0.1907    |   74.43 ± 0.1907    |  85 ± 9.22   |  1.142 ± 0.1239  |
| Bin6   |   53.89 ± 0.1623    |   53.89 ± 0.1623    |  61 ± 7.81   |  1.132 ± 0.145   |
| Bin7   |   35.38 ± 0.1315    |   35.38 ± 0.1315    |    36 ± 6    |  1.017 ± 0.1696  |
| Bin8   |   21.96 ± 0.1035    |   21.96 ± 0.1035    |  31 ± 5.568  |  1.412 ± 0.2537  |
| Bin9   |   12.94 ± 0.07945   |   12.94 ± 0.07945   |  12 ± 3.464  |  0.927 ± 0.2677  |
| Bin10  |   7.381 ± 0.06001   |   7.381 ± 0.06001   |  8 ± 2.828   |  1.084 ± 0.3833  |
| Bin11  |   4.128 ± 0.04495   |   4.128 ± 0.04495   |    1 ± 1     | 0.2423 ± 0.2423  |
| Bin12  |   2.157 ± 0.03252   |   2.157 ± 0.03252   |    4 ± 2     |  1.854 ± 0.9276  |
| Bin13  |   1.145 ± 0.02364   |   1.145 ± 0.02364   |  2 ± 1.414   |  1.747 ± 1.236   |
| Bin14  |  0.6148 ± 0.01737   |  0.6148 ± 0.01737   |    1 ± 1     |  1.627 ± 1.627   |
| Bin15  |  0.3313 ± 0.01273   |  0.3313 ± 0.01273   |    0 ± 0     |      0 ± 0       |
| Bin16  |  0.1587 ± 0.008876  |  0.1587 ± 0.008876  |    1 ± 1     |  6.302 ± 6.311   |
| Bin17  | 0.07816 ± 0.006203  | 0.07816 ± 0.006203  |    1 ± 1     |  12.79 ± 12.84   |
| Bin18  | 0.03649 ± 0.004244  | 0.03649 ± 0.004244  |    1 ± 1     |  27.41 ± 27.59   |
| Bin19  |  0.02227 ± 0.00336  |  0.02227 ± 0.00336  |    0 ± 0     |      0 ± 0       |
| Bin20  | 0.007732 ± 0.00196  | 0.007732 ± 0.00196  |    0 ± 0     |      0 ± 0       |
| Bin21  | 0.01889 ± 0.003141  | 0.01889 ± 0.003141  |    0 ± 0     |      0 ± 0       |
+--------+---------------------+---------------------+--------------+------------------+
