+--------+------------------------+------------------------+-------------+------------------+
| Bin#   |           ZZ           |         Total          |    data     |      Ratio       |
|--------+------------------------+------------------------+-------------+------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |    0 ± 0    |      0 ± 0       |
| Bin1   |    6.124 ± 0.05344     |    6.124 ± 0.05344     |    4 ± 2    | 0.6532 ± 0.3266  |
| Bin2   |     438.6 ± 0.463      |     438.6 ± 0.463      | 445 ± 21.1  |  1.015 ± 0.0481  |
| Bin3   |     51.48 ± 0.1586     |     51.48 ± 0.1586     | 59 ± 7.681  |  1.146 ± 0.1492  |
| Bin4   |    11.92 ± 0.07705     |    11.92 ± 0.07705     | 12 ± 3.464  |  1.007 ± 0.2906  |
| Bin5   |    4.885 ± 0.04972     |    4.885 ± 0.04972     |  5 ± 2.236  |  1.024 ± 0.4579  |
| Bin6   |    2.065 ± 0.03238     |    2.065 ± 0.03238     |  2 ± 1.414  |  0.9685 ± 0.685  |
| Bin7   |    0.8961 ± 0.02135    |    0.8961 ± 0.02135    |    1 ± 1    |  1.116 ± 1.116   |
| Bin8   |    0.4569 ± 0.01528    |    0.4569 ± 0.01528    |    0 ± 0    |      0 ± 0       |
| Bin9   |    0.234 ± 0.01094     |    0.234 ± 0.01094     |    0 ± 0    |      0 ± 0       |
| Bin10  |    0.133 ± 0.008237    |    0.133 ± 0.008237    |    0 ± 0    |      0 ± 0       |
| Bin11  |   0.07594 ± 0.006241   |   0.07594 ± 0.006241   |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.03741 ± 0.004366   |   0.03741 ± 0.004366   |    0 ± 0    |      0 ± 0       |
| Bin13  |   0.01815 ± 0.003062   |   0.01815 ± 0.003062   |    0 ± 0    |      0 ± 0       |
| Bin14  |   0.01522 ± 0.002801   |   0.01522 ± 0.002801   |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.004351 ± 0.001503   |  0.004351 ± 0.001503   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.005411 ± 0.001679   |  0.005411 ± 0.001679   |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.002232 ± 0.001066   |  0.002232 ± 0.001066   |    0 ± 0    |      0 ± 0       |
| Bin18  | 0.0004593 ± 0.0004593  | 0.0004593 ± 0.0004593  |    0 ± 0    |      0 ± 0       |
| Bin19  |  0.00159 ± 0.0009177   |  0.00159 ± 0.0009177   |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.0005298 ± 0.0005298  | 0.0005298 ± 0.0005298  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.00159 ± 0.0009177   |  0.00159 ± 0.0009177   |    0 ± 0    |      0 ± 0       |
+--------+------------------------+------------------------+-------------+------------------+
