+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    47.01 ± 0.185    |    47.01 ± 0.185    |  34 ± 5.831  |  0.7233 ± 0.1241  |
| Bin2   |     119 ± 0.294     |     119 ± 0.294     |  94 ± 9.695  | 0.7902 ± 0.08153  |
| Bin3   |   147.8 ± 0.3276    |   147.8 ± 0.3276    | 155 ± 12.45  |  1.049 ± 0.08427  |
| Bin4   |   138.9 ± 0.3175    |   138.9 ± 0.3175    | 118 ± 10.86  | 0.8496 ± 0.07824  |
| Bin5   |    111.2 ± 0.284    |    111.2 ± 0.284    |  84 ± 9.165  | 0.7556 ± 0.08246  |
| Bin6   |   79.84 ± 0.2407    |   79.84 ± 0.2407    |  78 ± 8.832  |  0.9769 ± 0.1107  |
| Bin7   |   51.95 ± 0.1941    |   51.95 ± 0.1941    |  67 ± 8.185  |   1.29 ± 0.1576   |
| Bin8   |   31.93 ± 0.1522    |   31.93 ± 0.1522    |  38 ± 6.164  |   1.19 ± 0.1931   |
| Bin9   |   18.77 ± 0.1167    |   18.77 ± 0.1167    |  26 ± 5.099  |  1.385 ± 0.2717   |
| Bin10  |   10.62 ± 0.0878    |   10.62 ± 0.0878    |  21 ± 4.583  |  1.977 ± 0.4317   |
| Bin11  |   5.616 ± 0.0639    |   5.616 ± 0.0639    |    9 ± 3     |  1.602 ± 0.5345   |
| Bin12  |   2.865 ± 0.04563   |   2.865 ± 0.04563   |    1 ± 1     |  0.3491 ± 0.3491  |
| Bin13  |   1.442 ± 0.03241   |   1.442 ± 0.03241   |    0 ± 0     |       0 ± 0       |
| Bin14  |  0.7128 ± 0.02274   |  0.7128 ± 0.02274   |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.3588 ± 0.01616   |  0.3588 ± 0.01616   |  2 ± 1.414   |   5.574 ± 3.95    |
| Bin16  |  0.1892 ± 0.01172   |  0.1892 ± 0.01172   |    1 ± 1     |   5.287 ± 5.297   |
| Bin17  | 0.09333 ± 0.008273  | 0.09333 ± 0.008273  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.03977 ± 0.005471  | 0.03977 ± 0.005471  |    0 ± 0     |       0 ± 0       |
| Bin19  | 0.02787 ± 0.004566  | 0.02787 ± 0.004566  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.01299 ± 0.003164  | 0.01299 ± 0.003164  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.02509 ± 0.004363  | 0.02509 ± 0.004363  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
