+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   116.3 ± 0.2546    |   116.3 ± 0.2546    |  84 ± 9.165  |  0.7221 ± 0.0788  |
| Bin2   |   289.6 ± 0.4023    |   289.6 ± 0.4023    | 238 ± 15.43  |  0.822 ± 0.05329  |
| Bin3   |   349.3 ± 0.4435    |   349.3 ± 0.4435    | 348 ± 18.65  | 0.9964 ± 0.05343  |
| Bin4   |   317.4 ± 0.4248    |   317.4 ± 0.4248    | 293 ± 17.12  | 0.9231 ± 0.05394  |
| Bin5   |   244.1 ± 0.3746    |   244.1 ± 0.3746    | 239 ± 15.46  |  0.979 ± 0.06334  |
| Bin6   |   169.5 ± 0.3138    |   169.5 ± 0.3138    | 167 ± 12.92  | 0.9853 ± 0.07627  |
| Bin7   |   107.3 ± 0.2508    |   107.3 ± 0.2508    | 124 ± 11.14  |  1.155 ± 0.1038   |
| Bin8   |    64.1 ± 0.1948    |    64.1 ± 0.1948    |  78 ± 8.832  |  1.217 ± 0.1378   |
| Bin9   |   36.92 ± 0.1484    |   36.92 ± 0.1484    |  42 ± 6.481  |  1.138 ± 0.1756   |
| Bin10  |    20.4 ± 0.1107    |    20.4 ± 0.1107    |  35 ± 5.916  |  1.716 ± 0.2902   |
| Bin11  |   10.81 ± 0.0808    |   10.81 ± 0.0808    |  10 ± 3.162  |  0.9254 ± 0.2927  |
| Bin12  |   5.507 ± 0.05774   |   5.507 ± 0.05774   |  7 ± 2.646   |  1.271 ± 0.4807   |
| Bin13  |   2.811 ± 0.04121   |   2.811 ± 0.04121   |  2 ± 1.414   |  0.7115 ± 0.5032  |
| Bin14  |   1.423 ± 0.02927   |   1.423 ± 0.02927   |    1 ± 1     |  0.7027 ± 0.7029  |
| Bin15  |  0.7467 ± 0.02113   |  0.7467 ± 0.02113   |  2 ± 1.414   |   2.679 ± 1.896   |
| Bin16  |  0.3718 ± 0.01503   |  0.3718 ± 0.01503   |  2 ± 1.414   |    5.38 ± 3.81    |
| Bin17  |  0.1879 ± 0.01067   |  0.1879 ± 0.01067   |    1 ± 1     |   5.321 ± 5.33    |
| Bin18  | 0.08594 ± 0.007209  | 0.08594 ± 0.007209  |    1 ± 1     |   11.64 ± 11.68   |
| Bin19  | 0.05508 ± 0.005854  | 0.05508 ± 0.005854  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.02417 ± 0.003918  | 0.02417 ± 0.003918  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.05424 ± 0.005802  | 0.05424 ± 0.005802  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
