+--------+------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |      Total       |     data     |       Ratio       |
|--------+------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  595.2 ± 0.5859  |  595.2 ± 0.5859  | 527 ± 22.96  | 0.8855 ± 0.03858  |
| Bin2   |  382.3 ± 0.4673  |  382.3 ± 0.4673  | 386 ± 19.65  |   1.01 ± 0.0514   |
| Bin3   |  222.3 ± 0.356   |  222.3 ± 0.356   | 213 ± 14.59  | 0.9581 ± 0.06566  |
| Bin4   |  139.1 ± 0.282   |  139.1 ± 0.282   | 116 ± 10.77  | 0.8338 ± 0.07743  |
| Bin5   |  96.11 ± 0.2345  |  96.11 ± 0.2345  |  89 ± 9.434  | 0.9261 ± 0.09819  |
| Bin6   |  70.05 ± 0.2001  |  70.05 ± 0.2001  |  63 ± 7.937  |  0.8994 ± 0.1133  |
| Bin7   |  52.3 ± 0.1725   |  52.3 ± 0.1725   |  69 ± 8.307  |  1.319 ± 0.1589   |
| Bin8   |  38.9 ± 0.1483   |  38.9 ± 0.1483   |  51 ± 7.141  |  1.311 ± 0.1836   |
| Bin9   |  29.22 ± 0.1277  |  29.22 ± 0.1277  |  48 ± 6.928  |  1.643 ± 0.2373   |
| Bin10  |  21.71 ± 0.1096  |  21.71 ± 0.1096  |  24 ± 4.899  |  1.106 ± 0.2258   |
| Bin11  | 16.42 ± 0.09491  | 16.42 ± 0.09491  |  15 ± 3.873  |  0.9136 ± 0.236   |
| Bin12  |  12.6 ± 0.08288  |  12.6 ± 0.08288  |  13 ± 3.606  |  1.031 ± 0.2862   |
| Bin13  | 9.598 ± 0.07195  | 9.598 ± 0.07195  |  8 ± 2.828   |  0.8335 ± 0.2948  |
| Bin14  | 7.667 ± 0.06415  | 7.667 ± 0.06415  |  14 ± 3.742  |  1.826 ± 0.4882   |
| Bin15  | 5.919 ± 0.05641  | 5.919 ± 0.05641  |    4 ± 2     |  0.6758 ± 0.338   |
| Bin16  | 4.902 ± 0.05114  | 4.902 ± 0.05114  |  3 ± 1.732   |  0.612 ± 0.3534   |
| Bin17  | 3.928 ± 0.04562  | 3.928 ± 0.04562  |  7 ± 2.646   |  1.782 ± 0.6738   |
| Bin18  | 3.197 ± 0.04114  | 3.197 ± 0.04114  |  2 ± 1.414   |  0.6257 ± 0.4425  |
| Bin19  | 2.751 ± 0.03806  | 2.751 ± 0.03806  |    1 ± 1     |  0.3635 ± 0.3635  |
| Bin20  |  2.26 ± 0.0343   |  2.26 ± 0.0343   |    1 ± 1     |  0.4424 ± 0.4425  |
| Bin21  |  20.49 ± 0.103   |  20.49 ± 0.103   |  20 ± 4.472  |  0.9762 ± 0.2183  |
+--------+------------------+------------------+--------------+-------------------+
