+--------+----------------------+-----------------------+-----------------------+---------------------+--------------------+---------------------+-------------+-------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ          |       Other        |        Total        |    data     |       Ratio       |
|--------+----------------------+-----------------------+-----------------------+---------------------+--------------------+---------------------+-------------+-------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |    0 ± 0    |       0 ± 0       |
| Bin1   |    21.46 ± 0.125     |         0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |    21.46 ± 0.125    | 13 ± 3.606  |  0.6058 ± 0.168   |
| Bin2   |    59.15 ± 0.2074    |         0 ± 0         |    0.1915 ± 0.1354    |        0 ± 0        |       0 ± 0        |   59.34 ± 0.2477    | 46 ± 6.782  |  0.7752 ± 0.1143  |
| Bin3   |    85.35 ± 0.249     |  0.007834 ± 0.004146  |    0.2873 ± 0.1659    |        0 ± 0        |       0 ± 0        |   85.65 ± 0.2992    | 69 ± 8.307  | 0.8056 ± 0.09703  |
| Bin4   |    98.02 ± 0.2668    |  0.003134 ± 0.003838  |    0.1915 ± 0.1354    |        0 ± 0        |       0 ± 0        |   98.21 ± 0.2992    | 96 ± 9.798  | 0.9775 ± 0.09981  |
| Bin5   |    98.43 ± 0.2673    |  0.004701 ± 0.002714  |    0.1915 ± 0.1354    |        0 ± 0        |       0 ± 0        |   98.63 ± 0.2997    |  100 ± 10   |  1.014 ± 0.1014   |
| Bin6   |    90.23 ± 0.2559    |  0.003134 ± 0.003134  |   0.09576 ± 0.09576   | -0.04086 ± 0.04086  |       0 ± 0        |   90.29 ± 0.2763    | 77 ± 8.775  | 0.8528 ± 0.09722  |
| Bin7   |    77.75 ± 0.2375    |  0.006268 ± 0.003838  |      0 ± 0.1354       |        0 ± 0        |       0 ± 0        |   77.76 ± 0.2734    | 56 ± 7.483  | 0.7202 ± 0.09627  |
| Bin8   |    63.47 ± 0.2146    |  0.01097 ± 0.004701   |   0.08639 ± 0.09622   |     0 ± 0.05779     | 0.03706 ± 0.03706  |    63.61 ± 0.245    | 65 ± 8.062  |  1.022 ± 0.1268   |
| Bin9   |    49.79 ± 0.1901    |  0.003134 ± 0.003134  |  -0.08639 ± 0.09622   |        0 ± 0        |       0 ± 0        |   49.71 ± 0.2131    | 41 ± 6.403  |  0.8248 ± 0.1289  |
| Bin10  |    37.3 ± 0.1645     |   0.0141 ± 0.006069   |         0 ± 0         |        0 ± 0        |       0 ± 0        |   37.31 ± 0.1646    | 45 ± 6.708  |  1.206 ± 0.1799   |
| Bin11  |    27.15 ± 0.1403    |  0.01097 ± 0.005197   |    0.1915 ± 0.1354    |        0 ± 0        |       0 ± 0        |    27.35 ± 0.195    |   36 ± 6    |  1.316 ± 0.2196   |
| Bin12  |    19.44 ± 0.1188    |     0 ± 0.003838      |         0 ± 0         |        0 ± 0        |       0 ± 0        |   19.44 ± 0.1189    | 24 ± 4.899  |  1.235 ± 0.2521   |
| Bin13  |   13.62 ± 0.09943    |  0.01254 ± 0.005863   |   0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |   13.73 ± 0.1382    | 18 ± 4.243  |  1.311 ± 0.3094   |
| Bin14  |   9.402 ± 0.08257    |   0.0141 ± 0.00565    |  -0.09576 ± 0.09576   |  0.04086 ± 0.04086  |       0 ± 0        |    9.361 ± 0.133    | 17 ± 4.123  |  1.816 ± 0.4412   |
| Bin15  |   6.376 ± 0.06804    |  0.01567 ± 0.005428   |         0 ± 0         |        0 ± 0        |       0 ± 0        |   6.391 ± 0.06826   | 12 ± 3.464  |  1.878 ± 0.5424   |
| Bin16  |   4.163 ± 0.05502    |  0.009401 ± 0.004432  |  -0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |   4.076 ± 0.1105    |  7 ± 2.646  |  1.717 ± 0.6507   |
| Bin17  |   2.655 ± 0.04399    |  0.001567 ± 0.003504  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   2.657 ± 0.04413   |  2 ± 1.414  |  0.7528 ± 0.5325  |
| Bin18  |   1.663 ± 0.03469    |  0.003134 ± 0.004955  | -0.009372 ± 0.009372  |        0 ± 0        |       0 ± 0        |   1.657 ± 0.03628   |    1 ± 1    |  0.6035 ± 0.6037  |
| Bin19  |   1.065 ± 0.02783    |  0.009401 ± 0.004432  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   1.075 ± 0.02818   |    0 ± 0    |       0 ± 0       |
| Bin20  |   0.6844 ± 0.02235   |  0.004701 ± 0.004701  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.6891 ± 0.02284   |    0 ± 0    |       0 ± 0       |
| Bin21  |   0.4052 ± 0.01713   |  0.001567 ± 0.002714  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.4067 ± 0.01734   |    0 ± 0    |       0 ± 0       |
| Bin22  |   0.2601 ± 0.01381   |  0.003134 ± 0.003838  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.2633 ± 0.01433   |  2 ± 1.414  |   7.597 ± 5.387   |
| Bin23  |   0.1828 ± 0.01146   |  0.006268 ± 0.003134  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1891 ± 0.01188   |    1 ± 1    |    5.289 ± 5.3    |
| Bin24  |   0.105 ± 0.008746   |  0.007834 ± 0.004701  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1128 ± 0.009929  |    0 ± 0    |       0 ± 0       |
| Bin25  |  0.06917 ± 0.007133  |  0.004701 ± 0.003504  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.07387 ± 0.007947  |    0 ± 0    |       0 ± 0       |
| Bin26  |  0.03911 ± 0.005341  |     0 ± 0.003134      |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.03911 ± 0.006192  |    0 ± 0    |       0 ± 0       |
| Bin27  |  0.02482 ± 0.004355  |  0.003134 ± 0.002216  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.02795 ± 0.004886  |    0 ± 0    |       0 ± 0       |
| Bin28  |  0.01846 ± 0.003725  | -0.001567 ± 0.002714  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.01689 ± 0.004609  |    0 ± 0    |       0 ± 0       |
| Bin29  |  0.01354 ± 0.00318   |  0.01097 ± 0.004146   |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.02451 ± 0.005225  |    0 ± 0    |       0 ± 0       |
| Bin30  | 0.008861 ± 0.002621  |  0.003134 ± 0.002216  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.01199 ± 0.003432  |    0 ± 0    |       0 ± 0       |
| Bin31  |  0.02509 ± 0.004363  |   0.03604 ± 0.01051   |         0 ± 0         |  0.04086 ± 0.04086  |       0 ± 0        |   0.102 ± 0.04242   |    0 ± 0    |       0 ± 0       |
+--------+----------------------+-----------------------+-----------------------+---------------------+--------------------+---------------------+-------------+-------------------+
