+--------+---------------------+-----------------------+----------------------+---------------------+--------------------+--------------------+--------------+-------------------+
| Bin#   |         ZZ          |          ttZ          |        Higgs         |         WZ          |       Other        |       Total        |     data     |       Ratio       |
|--------+---------------------+-----------------------+----------------------+---------------------+--------------------+--------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |        0 ± 0         |        0 ± 0        |       0 ± 0        |       0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   544.6 ± 0.5545    |   0.02788 ± 0.01137   |    1.577 ± 0.4035    |     0 ± 0.03808     |       0 ± 0        |   546.2 ± 0.6869   | 489 ± 22.11  |  0.8953 ± 0.0405  |
| Bin2   |   435.5 ± 0.4972    |  0.03427 ± 0.009923   |   0.1781 ± 0.1897    | 0.007922 ± 0.04767  |       0 ± 0        |   435.8 ± 0.5344   |  388 ± 19.7  | 0.8904 ± 0.04522  |
| Bin3   |   304.3 ± 0.4169    |   0.04244 ± 0.01218   |   0.2968 ± 0.2816    |  0.01299 ± 0.0676   |       0 ± 0        |   304.6 ± 0.5078   | 314 ± 17.72  |  1.031 ± 0.05819  |
| Bin4   |   192.3 ± 0.3328    |   0.05539 ± 0.01212   |   0.2008 ± 0.2273    |  0.0108 ± 0.02205   | 0.03525 ± 0.03525  |   192.6 ± 0.4053   | 197 ± 14.04  |  1.023 ± 0.07289  |
| Bin5   |   114.6 ± 0.2578    |   0.0445 ± 0.009946   |   0.1737 ± 0.1864    |  0.05699 ± 0.05011  | 0.04628 ± 0.04628  |   114.9 ± 0.3255   | 131 ± 11.45  |  1.14 ± 0.09962   |
| Bin6   |   65.31 ± 0.1952    |   0.05855 ± 0.01213   |   0.102 ± 0.09687    |  0.02718 ± 0.01922  | 0.03706 ± 0.03706  |   65.54 ± 0.2222   |  66 ± 8.124  |   1.007 ± 0.124   |
| Bin7   |   35.78 ± 0.1447    |   0.04246 ± 0.01058   |   0.0964 ± 0.0962    |        0 ± 0        |       0 ± 0        |   35.92 ± 0.1741   |  37 ± 6.083  |   1.03 ± 0.1694   |
| Bin8   |   19.54 ± 0.1073    |   0.03906 ± 0.01097   |  0.08563 ± 0.08563   | -0.01613 ± 0.02901  |       0 ± 0        |   19.65 ± 0.1407   |  20 ± 4.472  |  1.018 ± 0.2277   |
| Bin9   |   10.68 ± 0.07925   |  0.03274 ± 0.009811   |   -0.1915 ± 0.1354   | -0.00279 ± 0.01736  |       0 ± 0        |   10.52 ± 0.1582   |  12 ± 3.464  |  1.141 ± 0.3298   |
| Bin10  |   5.913 ± 0.05897   |   0.0241 ± 0.008552   |  -0.08563 ± 0.08563  |  0.04086 ± 0.04086  |       0 ± 0        |   5.893 ± 0.112    |  12 ± 3.464  |  2.036 ± 0.5892   |
| Bin11  |   3.242 ± 0.04379   |  0.02687 ± 0.008568   | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |       0 ± 0        |  3.289 ± 0.04705   |  2 ± 1.414   |  0.6082 ± 0.4301  |
| Bin12  |    1.9 ± 0.03358    |  0.009368 ± 0.005516  |        0 ± 0         |  0.00279 ± 0.01736  |       0 ± 0        |  1.913 ± 0.03821   |    4 ± 2     |   2.091 ± 1.047   |
| Bin13  |   1.115 ± 0.02568   |  0.01553 ± 0.006331   |        0 ± 0         |        0 ± 0        |       0 ± 0        |  1.131 ± 0.02645   |    1 ± 1     |  0.8846 ± 0.8848  |
| Bin14  |  0.7236 ± 0.02072   |  0.008091 ± 0.005291  |        0 ± 0         |  0.04086 ± 0.04086  |       0 ± 0        |  0.7726 ± 0.04612  |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.4701 ± 0.01675   |  0.001828 ± 0.004745  |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.4719 ± 0.01741  |    0 ± 0     |       0 ± 0       |
| Bin16  |  0.2625 ± 0.01264   |  0.003187 ± 0.003999  |  0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |  0.3615 ± 0.09667  |    1 ± 1     |   2.766 ± 2.864   |
| Bin17  |  0.1822 ± 0.01039   |      0 ± 0.00225      |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1822 ± 0.01063  |    0 ± 0     |       0 ± 0       |
| Bin18  |  0.1311 ± 0.00889   | -0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 0.1294 ± 0.009056  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.0977 ± 0.007658  |  0.00502 ± 0.004288   |        0 ± 0         |        0 ± 0        |       0 ± 0        | 0.1027 ± 0.008777  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.06374 ± 0.006275  |  0.001567 ± 0.001567  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 0.0653 ± 0.006467  |    0 ± 0     |       0 ± 0       |
| Bin21  |  0.2154 ± 0.01131   |  0.01081 ± 0.006451   | 0.006836 ± 0.006836  |        0 ± 0        |       0 ± 0        |  0.2331 ± 0.0147   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+-----------------------+----------------------+---------------------+--------------------+--------------------+--------------+-------------------+
