+--------+------------------+----------------------+---------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |        Higgs        |         WZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+----------------------+---------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin4   | 16.51 ± 0.09531  | 0.001567 ± 0.001567  |   0.102 ± 0.09596   |        0 ± 0        |       0 ± 0        |  16.61 ± 0.1353  |  13 ± 3.606  |  0.7827 ± 0.2172  |
| Bin5   |  60.26 ± 0.1832  |  0.0133 ± 0.005597   |  0.09854 ± 0.1561   |  0.07884 ± 0.04643  |       0 ± 0        |  60.45 ± 0.2452  |  61 ± 7.81   |  1.009 ± 0.1293   |
| Bin6   |  145.3 ± 0.2863  |  0.0257 ± 0.008444   |  0.09597 ± 0.1656   |  0.01114 ± 0.05192  |       0 ± 0        |  145.4 ± 0.3349  | 141 ± 11.87  |  0.9698 ± 0.0817  |
| Bin7   |   304 ± 0.4167   |  0.04379 ± 0.009692  |   0.6488 ± 0.2793   | -0.01334 ± 0.07549  |  0.0723 ± 0.05114  |   304.8 ± 0.51   | 303 ± 17.41  | 0.9942 ± 0.05714  |
| Bin8   |  289.3 ± 0.4077  |  0.03052 ± 0.01237   |   0.6719 ± 0.2829   | -0.04086 ± 0.04086  |       0 ± 0        |  289.9 ± 0.4981  | 278 ± 16.67  | 0.9589 ± 0.05753  |
| Bin9   |  225.9 ± 0.3601  |  0.05491 ± 0.01108   |   0.1813 ± 0.2265   |  0.04052 ± 0.03016  |       0 ± 0        |  226.2 ± 0.4266  | 197 ± 14.04  | 0.8711 ± 0.06208  |
| Bin10  |  168.2 ± 0.3102  |  0.03414 ± 0.01131   |   0.2866 ± 0.1584   |  0.01892 ± 0.03381  | 0.04628 ± 0.04628  |  168.6 ± 0.3531  | 172 ± 13.11  |  1.02 ± 0.07784   |
| Bin11  |  123.7 ± 0.2656  |  0.03842 ± 0.01074   | -0.006406 ± 0.1349  |  0.05386 ± 0.03808  |       0 ± 0        |  123.8 ± 0.3005  | 103 ± 10.15  | 0.8318 ± 0.08198  |
| Bin12  |  90.89 ± 0.2274  |  0.01825 ± 0.008552  |   0.1046 ± 0.1642   |   0.0108 ± 0.0108   |       0 ± 0        |  91.02 ± 0.2808  |  89 ± 9.434  |  0.9778 ± 0.1037  |
| Bin13  |  67.19 ± 0.1953  |  0.01274 ± 0.009616  | -0.09576 ± 0.09576  |     0 ± 0.01922     |       0 ± 0        |  67.1 ± 0.2186   |  73 ± 8.544  |  1.088 ± 0.1274   |
| Bin14  |  50.36 ± 0.1692  |  0.02955 ± 0.008782  |  -0.01043 ± 0.1799  |   0.0108 ± 0.0108   |       0 ± 0        |  50.39 ± 0.2473  |  53 ± 7.28   |  1.052 ± 0.1446   |
| Bin15  |  38.26 ± 0.1474  |  0.02172 ± 0.008584  |  0.09576 ± 0.09576  |        0 ± 0        |       0 ± 0        |  38.38 ± 0.1759  |  31 ± 5.568  |  0.8078 ± 0.1451  |
| Bin16  |  29.28 ± 0.1289  |  0.02671 ± 0.007606  |  0.08563 ± 0.08563  |        0 ± 0        |       0 ± 0        |  29.39 ± 0.1549  |  32 ± 5.657  |  1.089 ± 0.1925   |
| Bin17  |  22.54 ± 0.1131  | 0.004435 ± 0.004723  |        0 ± 0        |        0 ± 0        |       0 ± 0        |  22.55 ± 0.1132  |  28 ± 5.292  |  1.242 ± 0.2348   |
| Bin18  |  17.6 ± 0.1001   |  0.02055 ± 0.006134  |  0.09213 ± 0.09213  |        0 ± 0        |       0 ± 0        |  17.71 ± 0.1362  |  19 ± 4.359  |  1.073 ± 0.2462   |
| Bin19  | 13.82 ± 0.08875  |  0.01564 ± 0.006353  |  0.09576 ± 0.09576  |  0.01359 ± 0.01359  |       0 ± 0        |  13.94 ± 0.1314  |  15 ± 3.873  |  1.076 ± 0.2779   |
| Bin20  | 10.93 ± 0.07899  |  0.01588 ± 0.00628   |        0 ± 0        |        0 ± 0        |       0 ± 0        | 10.95 ± 0.07924  |  10 ± 3.162  |  0.9134 ± 0.2889  |
| Bin21  |  63.01 ± 0.1906  |  0.07411 ± 0.01481   |  0.09576 ± 0.09576  |   0.0108 ± 0.0108   |       0 ± 0        |  63.19 ± 0.2141  |  56 ± 7.483  |  0.8861 ± 0.1185  |
+--------+------------------+----------------------+---------------------+---------------------+--------------------+------------------+--------------+-------------------+
