+--------+---------------------+------------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |          ttZ           |         Higgs         |         WZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+------------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |         0 ± 0          |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   53.38 ± 0.1724    | -0.0001352 ± 0.002348  |   0.09854 ± 0.09854   |        0 ± 0        |       0 ± 0        |   53.48 ± 0.1986    |  29 ± 5.385  |  0.5423 ± 0.1007  |
| Bin2   |   145.5 ± 0.2848    |  0.003318 ± 0.002348   |    0.4548 ± 0.2419    |  0.01359 ± 0.01359  |       0 ± 0        |     146 ± 0.374     | 119 ± 10.91  |  0.815 ± 0.07474  |
| Bin3   |    207 ± 0.3402     |   0.01131 ± 0.005224   |    0.3729 ± 0.1867    |        0 ± 0        |       0 ± 0        |   207.3 ± 0.3881    | 174 ± 13.19  | 0.8392 ± 0.06364  |
| Bin4   |    233 ± 0.3619     |  0.007752 ± 0.005274   |    0.3758 ± 0.2236    |        0 ± 0        |       0 ± 0        |   233.4 ± 0.4254    | 226 ± 15.03  | 0.9684 ± 0.06444  |
| Bin5   |   228.7 ± 0.3597    |   0.009319 ± 0.00561   |   0.08648 ± 0.2095    |   0.0108 ± 0.0108   |       0 ± 0        |   228.8 ± 0.4164    | 226 ± 15.03  | 0.9877 ± 0.06572  |
| Bin6   |   204.9 ± 0.3416    |  0.009169 ± 0.005396   |     0.28 ± 0.1617     | -0.02727 ± 0.05749  |       0 ± 0        |   205.2 ± 0.3823    | 189 ± 13.75  |  0.921 ± 0.06702  |
| Bin7   |   171.6 ± 0.3138    |   0.006113 ± 0.00534   |    0.3866 ± 0.234     |  0.03773 ± 0.02901  |       0 ± 0        |    172 ± 0.3925     | 165 ± 12.85  |  0.9591 ± 0.0747  |
| Bin8   |   136.6 ± 0.2811    |   0.02797 ± 0.007318   |   -0.005439 ± 0.129   |  0.05132 ± 0.06607  | 0.03706 ± 0.03706  |   136.8 ± 0.3185    | 145 ± 12.04  |  1.06 ± 0.08809   |
| Bin9   |   105.4 ± 0.2477    |  0.006451 ± 0.005521   |   0.01194 ± 0.1334    |        0 ± 0        |       0 ± 0        |   105.4 ± 0.2814    |  96 ± 9.798  |  0.9109 ± 0.093   |
| Bin10  |    77.4 ± 0.2129    |   0.01857 ± 0.007032   |  -0.006501 ± 0.1258   |        0 ± 0        |       0 ± 0        |   77.41 ± 0.2474    |  86 ± 9.274  |  1.111 ± 0.1198   |
| Bin11  |   55.28 ± 0.1803    |   0.02826 ± 0.00797    |    0.2901 ± 0.1675    |  0.04052 ± 0.03016  |       0 ± 0        |   55.64 ± 0.2481    |    64 ± 8    |   1.15 ± 0.1439   |
| Bin12  |   38.75 ± 0.1516    |   0.01816 ± 0.008063   |   0.09149 ± 0.09259   | -0.05386 ± 0.04103  | 0.03525 ± 0.03525  |   38.84 ± 0.1859    |  52 ± 7.211  |  1.339 ± 0.1858   |
| Bin13  |   26.81 ± 0.1264    |   0.02841 ± 0.009213   |    0.1879 ± 0.1329    |     0 ± 0.01922     |       0 ± 0        |   27.03 ± 0.1846    |  28 ± 5.292  |  1.036 ± 0.1959   |
| Bin14  |   18.33 ± 0.1047    |   0.02474 ± 0.008017   |   -0.09576 ± 0.1544   |  0.04086 ± 0.04086  |       0 ± 0        |    18.3 ± 0.1911    |  26 ± 5.099  |   1.42 ± 0.279    |
| Bin15  |   12.17 ± 0.0856    |   0.02962 ± 0.008093   |         0 ± 0         |        0 ± 0        |       0 ± 0        |   12.2 ± 0.08598    |  23 ± 4.796  |  1.886 ± 0.3934   |
| Bin16  |   7.987 ± 0.06949   |   0.01794 ± 0.007182   |  -0.09576 ± 0.09576   |   0.0108 ± 0.0108   | 0.04628 ± 0.04628  |   7.967 ± 0.1277    |  7 ± 2.646   |  0.8787 ± 0.3324  |
| Bin17  |   5.088 ± 0.05554   |   0.01367 ± 0.007241   |         0 ± 0         |        0 ± 0        |       0 ± 0        |   5.101 ± 0.05601   |  3 ± 1.732   |  0.5881 ± 0.3396  |
| Bin18  |   3.237 ± 0.04416   |   0.0147 ± 0.007484    | -0.009372 ± 0.009372  |  0.01334 ± 0.03016  |       0 ± 0        |   3.256 ± 0.0548    |  7 ± 2.646   |   2.15 ± 0.8134   |
| Bin19  |   2.068 ± 0.03533   |   0.01084 ± 0.006615   |         0 ± 0         |  -0.0108 ± 0.0108   |       0 ± 0        |   2.068 ± 0.03753   |    1 ± 1     |  0.4834 ± 0.4835  |
| Bin20  |   1.348 ± 0.02857   |   0.01118 ± 0.006981   |         0 ± 0         |  0.01359 ± 0.01359  |       0 ± 0        |   1.372 ± 0.0324    |  2 ± 1.414   |   1.457 ± 1.031   |
| Bin21  |  0.8178 ± 0.02216   |   0.01728 ± 0.006431   |         0 ± 0         |  0.01359 ± 0.01359  |       0 ± 0        |  0.8487 ± 0.02678   |    0 ± 0     |       0 ± 0       |
| Bin22  |  0.5386 ± 0.01798   |  0.009634 ± 0.006434   | -0.006836 ± 0.006836  |        0 ± 0        |       0 ± 0        |  0.5414 ± 0.02028   |  2 ± 1.414   |   3.694 ± 2.616   |
| Bin23  |  0.3729 ± 0.01498   |   0.0123 ± 0.005923    |         0 ± 0         |        0 ± 0        |       0 ± 0        |   0.3852 ± 0.0161   |  2 ± 1.414   |   5.192 ± 3.678   |
| Bin24  |  0.2069 ± 0.01118   |   0.01938 ± 0.007096   |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.2263 ± 0.01324   |    0 ± 0     |       0 ± 0       |
| Bin25  |  0.1331 ± 0.009018  |   0.007748 ± 0.00566   |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1408 ± 0.01065   |    0 ± 0     |       0 ± 0       |
| Bin26  | 0.09028 ± 0.007306  |  0.003027 ± 0.005044   |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.0933 ± 0.008878  |  2 ± 1.414   |   21.44 ± 15.29   |
| Bin27  | 0.05051 ± 0.005574  |  0.009769 ± 0.004582   |   0.09854 ± 0.09854   |        0 ± 0        |       0 ± 0        |   0.1588 ± 0.0988   |    0 ± 0     |       0 ± 0       |
| Bin28  | 0.04063 ± 0.004984  |  0.002897 ± 0.005317   |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.04353 ± 0.007288  |    0 ± 0     |       0 ± 0       |
| Bin29  |  0.0214 ± 0.003732  |  0.007651 ± 0.005179   |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.02905 ± 0.006384  |    0 ± 0     |       0 ± 0       |
| Bin30  | 0.01723 ± 0.003293  |   0.01251 ± 0.005975   |  0.006197 ± 0.006197  |        0 ± 0        |       0 ± 0        | 0.03593 ± 0.009217  |    0 ± 0     |       0 ± 0       |
| Bin31  | 0.05424 ± 0.005802  |   0.08241 ± 0.01515    |   0.02051 ± 0.01184   |  0.04086 ± 0.04086  |       0 ± 0        |   0.198 ± 0.04553   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+------------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
