+--------+------------------------+----------------------+----------------------+--------------------+------------------------+------------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |         ttZ          |        Higgs         |         WZ         |         Other          |         Total          |  data  | Ratio  |          WWZ           |
|--------+------------------------+----------------------+----------------------+--------------------+------------------------+------------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  | 0.0002796 ± 6.022e-05  |
| Bin2   |   0.006135 ± 0.00152   |  0.01436 ± 0.005374  |        0 ± 0         |       0 ± 0        |         0 ± 0          |   0.0205 ± 0.005584    | 0 ± 0  | 0 ± 0  |  0.007516 ± 0.0005311  |
| Bin3   |   0.01682 ± 0.002453   |  0.04883 ± 0.01094   |        0 ± 0         |  0.0108 ± 0.0108   |  -0.001186 ± 0.001186  |   0.07526 ± 0.01561    | 0 ± 0  | 0 ± 0  |   0.02311 ± 0.06425    |
| Bin4   |   0.02113 ± 0.002845   |  0.03447 ± 0.01149   |  0.09854 ± 0.09854   |  0.0216 ± 0.0216   |         0 ± 0          |    0.1757 ± 0.1016     | 0 ± 0  | 0 ± 0  |    0.1752 ± 0.07869    |
| Bin5   |   0.02645 ± 0.003181   |  0.06463 ± 0.01244   | 0.005248 ± 0.005248  |  0.0216 ± 0.02646  |  0.003092 ± 0.002245   |    0.121 ± 0.02996     | 0 ± 0  | 0 ± 0  |    0.1877 ± 0.07869    |
| Bin6   |   0.02227 ± 0.002876   |  0.04883 ± 0.01167   |   0.109 ± 0.09882    | 0.06135 ± 0.05169  |  0.003092 ± 0.002245   |    0.2446 ± 0.1122     | 0 ± 0  | 0 ± 0  |   0.05574 ± 0.06426    |
| Bin7   |   0.02091 ± 0.002782   |  0.03447 ± 0.01167   |        0 ± 0         |    0 ± 0.01527     |  -0.002372 ± 0.002372  |    0.053 ± 0.01957     | 0 ± 0  | 0 ± 0  |   0.09579 ± 0.04544    |
| Bin8   |   0.02763 ± 0.003217   |  0.03878 ± 0.009846  |     0 ± 0.007422     |  0.0108 ± 0.01871  | -0.0004658 ± 0.002539  |   0.07674 ± 0.02278    | 0 ± 0  | 0 ± 0  |    0.2315 ± 0.09086    |
| Bin9   |   0.02672 ± 0.003152   |  0.03447 ± 0.01036   |  0.0105 ± 0.007422   |       0 ± 0        |  0.003092 ± 0.002245   |   0.07478 ± 0.01332    | 0 ± 0  | 0 ± 0  |    0.1823 ± 0.07869    |
| Bin10  |   0.02999 ± 0.003357   |  0.02585 ± 0.008853  |     0 ± 0.007422     | 0.06135 ± 0.05602  |    0.03553 ± 0.0344    |    0.1527 ± 0.06683    | 0 ± 0  | 0 ± 0  |   0.042 ± 0.0009114    |
| Bin11  |   0.03722 ± 0.003723   |  0.02154 ± 0.00825   |        0 ± 0         |  0.0108 ± 0.01871  |    0.0379 ± 0.0344     |    0.1075 ± 0.04019    | 0 ± 0  | 0 ± 0  |   0.08695 ± 0.04543    |
| Bin12  |   0.03604 ± 0.003695   |  0.02585 ± 0.007866  |  0.0105 ± 0.007422   | 0.06135 ± 0.05602  |   0.03908 ± 0.03442    |    0.1728 ± 0.06674    | 0 ± 0  | 0 ± 0  |    0.1302 ± 0.06425    |
| Bin13  |   0.02645 ± 0.003173   |  0.01867 ± 0.007462  | 0.005248 ± 0.005248  | -0.0108 ± 0.01871  |  0.001186 ± 0.002054   |   0.04075 ± 0.02115    | 0 ± 0  | 0 ± 0  |   0.07647 ± 0.04543    |
| Bin14  |   0.01195 ± 0.002157   | 0.001436 ± 0.002487  |        0 ± 0         |  0.0108 ± 0.0108   |  -0.001186 ± 0.001186  |    0.023 ± 0.01135     | 0 ± 0  | 0 ± 0  |  0.01024 ± 0.0004454   |
| Bin15  |  0.003591 ± 0.001141   | 0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186   |  0.006213 ± 0.002184   | 0 ± 0  | 0 ± 0  |  0.003166 ± 0.0002232  |
| Bin16  | 0.0005911 ± 0.0004476  |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          | 0.0005911 ± 0.0004476  | 0 ± 0  | 0 ± 0  |  0.001108 ± 0.0001551  |
| Bin17  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |  0.000123 ± 4.032e-05  |
| Bin18  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin19  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin20  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin21  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
+--------+------------------------+----------------------+----------------------+--------------------+------------------------+------------------------+--------+--------+------------------------+
