+--------+------------------------+-----------------------+----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ         |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |   0.01631 ± 0.002508   |  0.02154 ± 0.008496   |        0 ± 0         |    0 ± 0.01527     |  0.001186 ± 0.001186  |    0.03904 ± 0.0177    | 0 ± 0  |  0 ± 0  |   0.09291 ± 0.06424    |
| Bin2   |   0.01554 ± 0.002481   |  0.01867 ± 0.007181   |   0.1038 ± 0.09868   | 0.07215 ± 0.05497  | -0.001186 ± 0.001186  |     0.209 ± 0.1132     | 0 ± 0  |  0 ± 0  |   0.04719 ± 0.04543    |
| Bin3   |   0.01472 ± 0.002392   |  0.02298 ± 0.007866   |        0 ± 0         |  0.0432 ± 0.0216   | 0.0007201 ± 0.002245  |   0.08163 ± 0.02322    | 0 ± 0  |  0 ± 0  |   -0.04353 ± 0.04543   |
| Bin4   |   0.01159 ± 0.002125   |  0.01436 ± 0.007323   |        0 ± 0         |     0 ± 0.0216     |  0.001186 ± 0.001186  |   0.02713 ± 0.02294    | 0 ± 0  |  0 ± 0  |   0.04789 ± 0.07868    |
| Bin5   |   0.09094 ± 0.005809   |  0.02441 ± 0.009417   |  0.09854 ± 0.09854   |  0.0216 ± 0.0216   |   0.03743 ± 0.03445   |    0.2729 ± 0.1072     | 0 ± 0  |  0 ± 0  |    0.1593 ± 0.06426    |
| Bin6   |   0.06508 ± 0.004919   |   0.04308 ± 0.01075   | 0.005248 ± 0.005248  | 0.07215 ± 0.05281  |  0.007115 ± 0.003354  |    0.1927 ± 0.05447    | 0 ± 0  |  0 ± 0  |    0.2638 ± 0.09086    |
| Bin7   |   0.03095 ± 0.003422   |  0.02441 ± 0.009196   |        0 ± 0         | -0.0324 ± 0.01871  |  0.001906 ± 0.002539  |   0.02487 ± 0.02128    | 0 ± 0  |  0 ± 0  |    0.1256 ± 0.04545    |
| Bin8   |   0.01927 ± 0.00265    |  0.04021 ± 0.009526   |        0 ± 0         | -0.0108 ± 0.02415  |   0.03671 ± 0.03438   |    0.0854 ± 0.04316    | 0 ± 0  |  0 ± 0  |    0.1677 ± 0.06426    |
| Bin9   |   0.01118 ± 0.002055   |   0.04021 ± 0.01036   |     0 ± 0.007422     | 0.05055 ± 0.05281  | -0.001186 ± 0.001186  |    0.1008 ± 0.05438    | 0 ± 0  |  0 ± 0  |    0.2021 ± 0.07869    |
| Bin10  |  0.006543 ± 0.001605   |   0.0359 ± 0.009846   |        0 ± 0         |  0.0216 ± 0.01527  | -0.001186 ± 0.001186  |   0.06286 ± 0.01828    | 0 ± 0  |  0 ± 0  |    0.0944 ± 0.04544    |
| Bin11  |  0.006726 ± 0.001615   |  0.04452 ± 0.009634   |  0.0105 ± 0.007422   |  0.0108 ± 0.0108   |  0.001186 ± 0.002054  |   0.07373 ± 0.01647    | 0 ± 0  |  0 ± 0  |   0.0291 ± 0.0009226   |
| Bin12  |  0.007817 ± 0.001727   |  0.02441 ± 0.007181   | 0.005248 ± 0.005248  |       0 ± 0        |  0.001906 ± 0.001906  |   0.03939 ± 0.009258   | 0 ± 0  |  0 ± 0  |   0.06079 ± 0.04543    |
| Bin13  |  0.004955 ± 0.001346   |   0.02154 ± 0.00825   | 0.005248 ± 0.005248  |       0 ± 0        |   0.03434 ± 0.03434   |   0.06608 ± 0.03573    | 0 ± 0  |  0 ± 0  |   0.05328 ± 0.04543    |
| Bin14  |  0.002864 ± 0.001023   |  0.01293 ± 0.007462   |  0.0105 ± 0.007422   |       0 ± 0        | -0.001186 ± 0.001186  |    0.0251 ± 0.01064    | 0 ± 0  |  0 ± 0  |  0.004289 ± 0.0003738  |
| Bin15  |   0.00141 ± 0.000714   |  0.01867 ± 0.006581   |     0 ± 0.007422     |       0 ± 0        |         0 ± 0         |   0.02008 ± 0.009945   | 0 ± 0  |  0 ± 0  |  0.002309 ± 0.0003274  |
| Bin16  |  0.001274 ± 0.0006365  |   0.007181 ± 0.0038   |        0 ± 0         |  0.0108 ± 0.0108   |         0 ± 0         |   0.01926 ± 0.01147    | 0 ± 0  |  0 ± 0  |  0.000996 ± 0.0001502  |
| Bin17  | 0.0006826 ± 0.0004523  |     0 ± 0.003518      |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.0006826 ± 0.003547  | 0 ± 0  |  0 ± 0  | 0.0006501 ± 0.0001742  |
| Bin18  | 4.575e-05 ± 4.575e-05  |     0 ± 0.002872      |        0 ± 0         |       0 ± 0        |         0 ± 0         |  4.575e-05 ± 0.002873  | 0 ± 0  |  0 ± 0  | 0.0002013 ± 5.245e-05  |
| Bin19  |   0.001 ± 0.0006063    | -0.002872 ± 0.002031  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  -0.001872 ± 0.00212   | 0 ± 0  | -0 ± 0  | 0.0001454 ± 4.032e-05  |
