+--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ         |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |  0.004001 ± 0.001171   |  0.004308 ± 0.002487  |         0 ± 0         |       0 ± 0        |         0 ± 0         |   0.00831 ± 0.002749   | 0 ± 0  |  0 ± 0  |  0.003628 ± 0.0003325  |
| Bin2   |   0.01727 ± 0.002507   |  -0.004308 ± 0.0038   |         0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  |   0.01415 ± 0.004704   | 0 ± 0  |  0 ± 0  |  0.009054 ± 0.0004566  |
| Bin3   |   0.02386 ± 0.003022   |  0.01723 ± 0.005374   |   0.09854 ± 0.09854   |     0 ± 0.0216     |         0 ± 0         |    0.1396 ± 0.1011     | 0 ± 0  |  0 ± 0  |  0.01895 ± 0.0007412   |
| Bin4   |   0.0169 ± 0.002548    |   0.0158 ± 0.005921   |         0 ± 0         |  -0.0108 ± 0.0108  |   0.03553 ± 0.03436   |   0.05743 ± 0.03659    | 0 ± 0  |  0 ± 0  |   0.07138 ± 0.04543    |
| Bin5   |   0.02676 ± 0.003211   |  0.01149 ± 0.006423   |   0.09854 ± 0.09854   |  0.0432 ± 0.02646  |  0.002372 ± 0.001677  |    0.1824 ± 0.1023     | 0 ± 0  |  0 ± 0  |  0.03346 ± 0.0009327   |
| Bin6   |   0.02354 ± 0.00295    |  0.01436 ± 0.007036   |         0 ± 0         | 0.07215 ± 0.05281  |         0 ± 0         |    0.1101 ± 0.05336    | 0 ± 0  |  0 ± 0  |    0.0841 ± 0.04544    |
| Bin7   |   0.01613 ± 0.002501   |  0.007181 ± 0.004308  |         0 ± 0         |    0 ± 0.01527     |  0.001186 ± 0.001186  |    0.0245 ± 0.01611    | 0 ± 0  |  0 ± 0  |    0.1323 ± 0.06425    |
| Bin8   |   0.01891 ± 0.002613   |   0.0158 ± 0.007734   |  0.005248 ± 0.005248  |  -0.0108 ± 0.0108  |     0 ± 0.002372      |   0.02915 ± 0.01471    | 0 ± 0  |  0 ± 0  |    0.1313 ± 0.06425    |
| Bin9   |   0.0144 ± 0.002363    |  0.01723 ± 0.007599   |         0 ± 0         | -0.0108 ± 0.02415  |  0.004998 ± 0.002945  |    0.02583 ± 0.0256    | 0 ± 0  |  0 ± 0  |   0.03822 ± 0.09086    |
| Bin10  |   0.01613 ± 0.002462   |  0.04165 ± 0.008496   |         0 ± 0         |  0.0432 ± 0.0216   |     0 ± 0.001677      |     0.101 ± 0.0234     | 0 ± 0  |  0 ± 0  |    0.1266 ± 0.06425    |
| Bin11  |   0.01037 ± 0.001928   |  0.02154 ± 0.007734   |  0.005248 ± 0.005248  |       0 ± 0        |  0.001186 ± 0.001186  |   0.03834 ± 0.009617   | 0 ± 0  |  0 ± 0  |   0.02996 ± 0.000921   |
| Bin12  |  0.008911 ± 0.001783   |  0.02585 ± 0.007599   |         0 ± 0         |  -0.0108 ± 0.0108  |  0.003812 ± 0.003175  |    0.02777 ± 0.0137    | 0 ± 0  |  0 ± 0  |    0.1159 ± 0.06425    |
| Bin13  |  0.009544 ± 0.001892   |  0.01867 ± 0.007734   | -0.005248 ± 0.005248  | 0.06135 ± 0.05169  |     0 ± 0.001677      |   0.08432 ± 0.05259    | 0 ± 0  |  0 ± 0  |    0.1123 ± 0.06425    |
| Bin14  |  0.008592 ± 0.001758   |  0.01293 ± 0.008496   |  0.005248 ± 0.005248  |    0 ± 0.01527     | -0.001186 ± 0.001186  |   0.02558 ± 0.01837    | 0 ± 0  |  0 ± 0  |  0.01956 ± 0.0008672   |
| Bin15  |   0.01036 ± 0.001973   |  0.02011 ± 0.006093   |         0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  |   0.03165 ± 0.006513   | 0 ± 0  |  0 ± 0  |   0.06112 ± 0.04543    |
| Bin16  |  0.007774 ± 0.001668   |  0.005745 ± 0.007866  |   0.0105 ± 0.007422   |       0 ± 0        |         0 ± 0         |   0.02401 ± 0.01094    | 0 ± 0  |  0 ± 0  |  0.01205 ± 0.0006262   |
| Bin17  |  0.009588 ± 0.001918   |  0.02441 ± 0.006581   |         0 ± 0         | 0.06135 ± 0.05169  |  0.001186 ± 0.001186  |   0.09654 ± 0.05216    | 0 ± 0  |  0 ± 0  |  0.01234 ± 0.0007722   |
| Bin18  |  0.006592 ± 0.001543   |  0.01723 ± 0.007036   |  0.005248 ± 0.005248  |  0.0108 ± 0.0108   |  0.001186 ± 0.001186  |   0.04106 ± 0.01405    | 0 ± 0  |  0 ± 0  |    0.0542 ± 0.04543    |
| Bin19  |  0.007089 ± 0.001666   |  0.01293 ± 0.007462   |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |   0.01883 ± 0.007737   | 0 ± 0  |  0 ± 0  |  0.007449 ± 0.0005176  |
