+--------+------------------------+-----------------------+----------------------+--------------------+----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ         |        Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+----------------------+--------------------+----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin2   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin3   |   0.1051 ± 0.006303    |   0.06463 ± 0.01355   |   0.109 ± 0.09882    |  0.0432 ± 0.03416  | 0.004998 ± 0.004768  |     0.327 ± 0.1057     | 0 ± 0  |  0 ± 0  |    0.2481 ± 0.06427    |
| Bin4   |   0.08122 ± 0.005466   |   0.06175 ± 0.01385   |  0.01574 ± 0.00909   | 0.05055 ± 0.06101  | 0.005463 ± 0.004036  |    0.2147 ± 0.06358    | 0 ± 0  |  0 ± 0  |    0.2669 ± 0.0787     |
| Bin5   |   0.04086 ± 0.003907   |   0.07324 ± 0.01308   |        0 ± 0         |  0.0216 ± 0.0216   |  0.03553 ± 0.03436   |    0.1712 ± 0.04282    | 0 ± 0  |  0 ± 0  |   0.07764 ± 0.001578   |
| Bin6   |   0.02854 ± 0.003296   |   0.04021 ± 0.01202   |  -0.0105 ± 0.007422  | 0.09375 ± 0.05497  | 0.001186 ± 0.001186  |    0.1532 ± 0.05687    | 0 ± 0  |  0 ± 0  |   0.08979 ± 0.07869    |
| Bin7   |   0.01727 ± 0.002556   |   0.04739 ± 0.0114    |  0.0105 ± 0.007422   |    0 ± 0.01527     |  0.03553 ± 0.03436   |    0.1107 ± 0.04007    | 0 ± 0  |  0 ± 0  |     0.12 ± 0.06425     |
| Bin8   |   0.01495 ± 0.00242    |   0.0316 ± 0.009307   |  0.0105 ± 0.007422   |       0 ± 0        |        0 ± 0         |   0.05704 ± 0.01215    | 0 ± 0  |  0 ± 0  |     0.2 ± 0.09086      |
| Bin9   |   0.005364 ± 0.00138   |  0.03734 ± 0.009307   |  0.09854 ± 0.09854   |  0.0108 ± 0.0108   | 0.001906 ± 0.001906  |    0.1539 ± 0.09959    | 0 ± 0  |  0 ± 0  |   0.05611 ± 0.04543    |
| Bin10  |  0.005543 ± 0.001486   |  0.01005 ± 0.007462   |        0 ± 0         |  -0.0108 ± 0.0108  |     0 ± 0.001677     |   0.004795 ± 0.01332   | 0 ± 0  |  0 ± 0  |    0.1889 ± 0.09085    |
| Bin11  |  0.003682 ± 0.001175   |   0.01005 ± 0.00626   |        0 ± 0         | 0.06135 ± 0.05169  |        0 ± 0         |   0.07509 ± 0.05208    | 0 ± 0  |  0 ± 0  |  0.004526 ± 0.0004221  |
| Bin12  |    0.004 ± 0.001202    |  0.02154 ± 0.005562   |        0 ± 0         |       0 ± 0        |        0 ± 0         |   0.02554 ± 0.005691   | 0 ± 0  |  0 ± 0  |  0.003801 ± 0.000438   |
| Bin13  | 0.0009092 ± 0.0005818  |  0.005745 ± 0.003518  |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.006654 ± 0.003566   | 0 ± 0  |  0 ± 0  |  0.002553 ± 0.000293   |
| Bin14  | 0.0009092 ± 0.0005818  |  0.002872 ± 0.004541  | 0.005248 ± 0.005248  |       0 ± 0        |        0 ± 0         |   0.00903 ± 0.006965   | 0 ± 0  |  0 ± 0  |    0.0472 ± 0.04543    |
| Bin15  |  0.001409 ± 0.0007313  |  0.004308 ± 0.003211  |        0 ± 0         |       0 ± 0        |  0.03434 ± 0.03434   |    0.04006 ± 0.0345    | 0 ± 0  |  0 ± 0  | 0.0008395 ± 0.0001459  |
| Bin16  | 0.0009999 ± 0.0006062  |  0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.002436 ± 0.001559   | 0 ± 0  |  0 ± 0  |   -0.04457 ± 0.04543   |
| Bin17  |  0.001409 ± 0.0007313  |  0.001436 ± 0.002487  |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.002845 ± 0.002593   | 0 ± 0  |  0 ± 0  | 0.0003467 ± 6.424e-05  |
| Bin18  | 0.0004089 ± 0.0004089  | -0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0        |        0 ± 0         |  -0.001027 ± 0.001493  | 0 ± 0  | -0 ± 0  | 0.0005263 ± 0.0001325  |
| Bin19  |         0 ± 0          |         0 ± 0         |        0 ± 0         |  -0.0108 ± 0.0108  |        0 ± 0         |    -0.0108 ± 0.0108    | 0 ± 0  | -0 ± 0  | 0.0002125 ± 5.363e-05  |
| Bin20  | 0.0004089 ± 0.0004089  |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.0004089 ± 0.0004089  | 0 ± 0  |  0 ± 0  | 0.0002125 ± 5.125e-05  |
| Bin21  | 0.0009092 ± 0.0005818  |  0.001436 ± 0.003211  |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.002345 ± 0.003264   | 0 ± 0  |  0 ± 0  |   0.04641 ± 0.04543    |
+--------+------------------------+-----------------------+----------------------+--------------------+----------------------+------------------------+--------+---------+------------------------+
