+--------+------------------------+----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+--------+-------------------------+
| Bin#   |           ZZ           |         ttZ          |         Higgs         |         WZ         |         Other         |         Total          |  data  | Ratio  |           WWZ           |
|--------+------------------------+----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+--------+-------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |          0 ± 0          |
| Bin1   |    18.99 ± 0.08316     |  0.02298 ± 0.008374  |    0.3061 ± 0.1708    |  0.0324 ± 0.01871  |    0.0379 ± 0.0344    |     19.39 ± 0.1942     | 0 ± 0  | 0 ± 0  |    0.1754 ± 0.06426     |
| Bin2   |    15.59 ± 0.07533     |  0.04596 ± 0.01016   | -0.005248 ± 0.005248  |  0.0324 ± 0.02415  | -0.001186 ± 0.002652  |    15.66 ± 0.07997     | 0 ± 0  | 0 ± 0  |     0.119 ± 0.07869     |
| Bin3   |     11.8 ± 0.06552     |  0.03734 ± 0.009083  |   0.0105 ± 0.007422   | 0.07215 ± 0.05497  |   0.03671 ± 0.03446   |    11.96 ± 0.09295     | 0 ± 0  | 0 ± 0  |   0.07489 ± 0.001598    |
| Bin4   |    8.312 ± 0.05496     |  0.02585 ± 0.008617  |  -0.09329 ± 0.09868   |  0.1119 ± 0.07699  | -0.003558 ± 0.002652  |     8.353 ± 0.137      | 0 ± 0  | 0 ± 0  |   0.07977 ± 0.001613    |
| Bin5   |    5.543 ± 0.04493     |  0.04165 ± 0.01026   |    0.0105 ± 0.0105    |  0.0324 ± 0.02415  |  0.003558 ± 0.002054  |    5.631 ± 0.05312     | 0 ± 0  | 0 ± 0  |   0.08071 ± 0.001578    |
| Bin6   |    3.556 ± 0.03597     |  0.05314 ± 0.01065   |   0.09329 ± 0.09868   | -0.0108 ± 0.02415  |  0.005929 ± 0.003558  |     3.698 ± 0.1084     | 0 ± 0  | 0 ± 0  |    0.03464 ± 0.04545    |
| Bin7   |    2.232 ± 0.02849     |  0.03878 ± 0.01084   |     0 ± 0.007422      |  0.0216 ± 0.01527  |  0.002372 ± 0.002372  |    2.294 ± 0.03498     | 0 ± 0  | 0 ± 0  |    0.1742 ± 0.06426     |
| Bin8   |     1.321 ± 0.0219     |  0.02154 ± 0.007734  |  -0.005248 ± 0.1395   |  0.0432 ± 0.0216   |  0.008301 ± 0.003933  |     1.388 ± 0.1431     | 0 ± 0  | 0 ± 0  |    0.1679 ± 0.06426     |
| Bin9   |    0.775 ± 0.01678     |  0.02872 ± 0.009083  |     0 ± 0.007422      |    0 ± 0.01527     |  0.004743 ± 0.002372  |    0.8085 ± 0.02566    | 0 ± 0  | 0 ± 0  |    0.1559 ± 0.06426     |
| Bin10  |    0.4732 ± 0.01311    |  0.03447 ± 0.009307  |  0.005248 ± 0.00909   |    0 ± 0.01527     |  0.002372 ± 0.001677  |    0.5153 ± 0.02403    | 0 ± 0  | 0 ± 0  |   0.04659 ± 0.001167    |
| Bin11  |   0.2559 ± 0.009613    |  0.04021 ± 0.009307  |  0.005248 ± 0.005248  |       0 ± 0        | -0.002372 ± 0.001677  |    0.299 ± 0.01447     | 0 ± 0  | 0 ± 0  |    0.07338 ± 0.04543    |
| Bin12  |    0.1547 ± 0.00747    |  0.02011 ± 0.007036  | -0.005248 ± 0.005248  |  0.0216 ± 0.01527  |  0.001186 ± 0.002652  |    0.1924 ± 0.01932    | 0 ± 0  | 0 ± 0  |     0.107 ± 0.06425     |
| Bin13  |   0.09927 ± 0.006026   |  0.0316 ± 0.008124   |  0.005248 ± 0.005248  |       0 ± 0        | -0.002372 ± 0.001677  |    0.1337 ± 0.01152    | 0 ± 0  | 0 ± 0  |  0.007367 ± 0.0004593   |
| Bin14  |   0.06487 ± 0.004846   | 0.005745 ± 0.007036  |         0 ± 0         |  0.0108 ± 0.0108   |  0.002372 ± 0.001677  |   0.08379 ± 0.01387    | 0 ± 0  | 0 ± 0  |  0.003787 ± 0.0003835   |
| Bin15  |   0.0355 ± 0.003603    | 0.007181 ± 0.004763  |         0 ± 0         |  0.0108 ± 0.0108   |     0 ± 0.001677      |   0.05348 ± 0.01246    | 0 ± 0  | 0 ± 0  |  0.002589 ± 0.0003471   |
| Bin16  |   0.02777 ± 0.003221   | 0.002872 ± 0.004062  | -0.005248 ± 0.005248  |       0 ± 0        |         0 ± 0         |   0.02539 ± 0.007377   | 0 ± 0  | 0 ± 0  |  0.0009409 ± 0.0001833  |
| Bin17  |   0.01955 ± 0.00268    |  0.001436 ± 0.0038   |         0 ± 0         |       0 ± 0        |         0 ± 0         |   0.02098 ± 0.00465    | 0 ± 0  | 0 ± 0  |    0.04594 ± 0.04543    |
| Bin18  |   0.01064 ± 0.001931   | 0.002872 ± 0.002031  |         0 ± 0         |       0 ± 0        |         0 ± 0         |   0.01351 ± 0.002802   | 0 ± 0  | 0 ± 0  |  0.0002915 ± 0.0001222  |
| Bin19  |  0.009863 ± 0.001915   | 0.004308 ± 0.002487  |  0.005248 ± 0.005248  |       0 ± 0        |         0 ± 0         |   0.01942 ± 0.006116   | 0 ± 0  | 0 ± 0  |  0.0002691 ± 0.0001201  |
