+--------+---------------------+-----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin#   |         ZZ          |          ttZ          |         Higgs         |         WZ         |         Other         |        Total        |  data  | Ratio  |          WWZ           |
|--------+---------------------+-----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |   5.799 ± 0.04766   |  0.001436 ± 0.001436  |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |   5.799 ± 0.0477    | 0 ± 0  | 0 ± 0  |  0.004332 ± 0.0003459  |
| Bin2   |    9.63 ± 0.0609    |  0.001436 ± 0.002487  |         0 ± 0         |  -0.0108 ± 0.0108  |         0 ± 0         |   9.62 ± 0.06191    | 0 ± 0  | 0 ± 0  |  0.01196 ± 0.0005156   |
| Bin3   |   8.552 ± 0.05672   |  0.005745 ± 0.004062  |   0.09854 ± 0.09854   |  0.0216 ± 0.01527  |  0.001186 ± 0.001186  |   8.679 ± 0.1148    | 0 ± 0  | 0 ± 0  |  0.01977 ± 0.0006547   |
| Bin4   |   7.033 ± 0.05097   |  0.005745 ± 0.002872  | -0.005248 ± 0.005248  |  0.0108 ± 0.0108   |  0.001186 ± 0.001186  |   7.045 ± 0.05245   | 0 ± 0  | 0 ± 0  |  0.02816 ± 0.0008136   |
| Bin5   |   5.614 ± 0.04514   |  0.005745 ± 0.004541  |         0 ± 0         |  0.0216 ± 0.0216   | -0.001186 ± 0.001186  |   5.64 ± 0.05026    | 0 ± 0  | 0 ± 0  |   0.03346 ± 0.000833   |
| Bin6   |   4.538 ± 0.04027   |  0.01723 ± 0.006093   | -0.005248 ± 0.005248  |  0.0432 ± 0.0216   |    0.0379 ± 0.0344    |   4.631 ± 0.05776   | 0 ± 0  | 0 ± 0  |   0.08504 ± 0.04543    |
| Bin7   |   3.815 ± 0.03678   |   0.01293 ± 0.00626   |  0.005248 ± 0.005248  |  0.0108 ± 0.01871  |  0.004743 ± 0.002372  |   3.849 ± 0.04213   | 0 ± 0  | 0 ± 0  |   0.09029 ± 0.04544    |
| Bin8   |   3.063 ± 0.03268   |  0.01867 ± 0.005178   |  0.005248 ± 0.005248  |  0.06135 ± 0.0539  |  0.004743 ± 0.002372  |   3.153 ± 0.06351   | 0 ± 0  | 0 ± 0  |   0.09112 ± 0.04544    |
| Bin9   |   2.547 ± 0.02953   |  0.01293 ± 0.004763   |  0.005248 ± 0.005248  |  -0.0108 ± 0.0108  | -0.001186 ± 0.002054  |   2.553 ± 0.0323    | 0 ± 0  | 0 ± 0  |  0.0006468 ± 0.04544   |
| Bin10  |   2.189 ± 0.02731   |  0.01005 ± 0.005562   |      0 ± 0.1394       | 0.07215 ± 0.05281  |  0.001186 ± 0.002652  |   2.272 ± 0.1516    | 0 ± 0  | 0 ± 0  |   0.04634 ± 0.001096   |
| Bin11  |   1.88 ± 0.02525    |  0.008617 ± 0.004975  |    0.109 ± 0.09882    |  0.0216 ± 0.01527  |  0.003558 ± 0.002054  |   2.023 ± 0.1033    | 0 ± 0  | 0 ± 0  |   0.08751 ± 0.04544    |
| Bin12  |   1.604 ± 0.02326   |  0.02154 ± 0.007181   | -0.005248 ± 0.005248  |  0.0324 ± 0.01871  |  0.002372 ± 0.002372  |   1.655 ± 0.03124   | 0 ± 0  | 0 ± 0  |  -0.003202 ± 0.04544   |
| Bin13  |   1.411 ± 0.02176   |  0.01436 ± 0.004975   |  -0.09329 ± 0.09868   | -0.0216 ± 0.01527  |  0.002372 ± 0.001677  |   1.312 ± 0.1023    | 0 ± 0  | 0 ± 0  |  0.03572 ± 0.0009233   |
| Bin14  |   1.22 ± 0.02022    |  0.01723 ± 0.006423   |     0 ± 0.007422      |    0 ± 0.01527     | -0.002372 ± 0.002372  |   1.234 ± 0.02728   | 0 ± 0  | 0 ± 0  |   0.0348 ± 0.001033    |
| Bin15  |   1.09 ± 0.01917    |  0.01005 ± 0.006887   |  0.005248 ± 0.00909   |  0.0216 ± 0.01527  |  0.002372 ± 0.002372  |   1.13 ± 0.02714    | 0 ± 0  | 0 ± 0  |   0.0313 ± 0.0009764   |
| Bin16  |  0.9579 ± 0.01791   |  0.02011 ± 0.006093   |         0 ± 0         |       0 ± 0        |  0.002372 ± 0.001677  |  0.9804 ± 0.01899   | 0 ± 0  | 0 ± 0  |    0.072 ± 0.04543     |
| Bin17  |  0.8511 ± 0.01689   |  0.01436 ± 0.006736   |     0 ± 0.007422      |  0.0108 ± 0.0108   |     0 ± 0.001677      |  0.8762 ± 0.02248   | 0 ± 0  | 0 ± 0  |   0.07116 ± 0.04543    |
| Bin18  |  0.7368 ± 0.01571   |  0.01723 ± 0.007323   | -0.005248 ± 0.005248  | 0.05055 ± 0.05055  |  0.002372 ± 0.002372  |  0.8017 ± 0.05375   | 0 ± 0  | 0 ± 0  |  0.02236 ± 0.0008826   |
| Bin19  |   0.671 ± 0.0151    |  0.01436 ± 0.006093   |         0 ± 0         |  0.0108 ± 0.0108   |   0.03434 ± 0.03438   |  0.7305 ± 0.03955   | 0 ± 0  | 0 ± 0  |   0.06536 ± 0.04543    |
