+--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ         |         Other         |        Total         |  data  | Ratio  |          WWZ           |
|--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |    52.07 ± 0.1375    |   0.3605 ± 0.03023    |   0.1248 ± 0.2216    |  0.1802 ± 0.07782  |   0.05331 ± 0.03519   |    52.79 ± 0.2761    | 0 ± 0  | 0 ± 0  |     1.118 ± 0.1507     |
| Bin2   |   11.32 ± 0.06427    |   0.0833 ± 0.01465    |  0.005248 ± 0.00909  |  0.0432 ± 0.02646  |  0.004743 ± 0.004108  |   11.46 ± 0.07172    | 0 ± 0  | 0 ± 0  |    0.221 ± 0.09087     |
| Bin3   |   3.137 ± 0.03394    |  0.02011 ± 0.007866   |        0 ± 0         |  0.0108 ± 0.01871  |   0.03671 ± 0.03442   |   3.204 ± 0.05243    | 0 ± 0  | 0 ± 0  |   0.07702 ± 0.04543    |
| Bin4   |   1.177 ± 0.02089    | -0.002872 ± 0.003518  |  0.09854 ± 0.09854   |  0.0216 ± 0.01527  |     0 ± 0.001677      |    1.294 ± 0.102     | 0 ± 0  | 0 ± 0  |   -0.03388 ± 0.04543   |
| Bin5   |   0.5735 ± 0.0146    |  0.004308 ± 0.003211  |        0 ± 0         |  0.0108 ± 0.0108   |  0.001186 ± 0.001186  |   0.5898 ± 0.01848   | 0 ± 0  | 0 ± 0  |  0.005847 ± 0.0004658  |
| Bin6   |   0.3202 ± 0.01092   |  0.004308 ± 0.002487  |        0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  |   0.3257 ± 0.01126   | 0 ± 0  | 0 ± 0  |  0.002484 ± 0.0002288  |
| Bin7   |  0.2035 ± 0.008721   |  0.002872 ± 0.002031  | 0.005248 ± 0.005248  |  0.0108 ± 0.0108   | -0.001186 ± 0.001186  |   0.2213 ± 0.01503   | 0 ± 0  | 0 ± 0  |  0.001376 ± 0.000129   |
| Bin8   |   0.1287 ± 0.00692   |  0.002872 ± 0.002031  |  0.09854 ± 0.09854   |       0 ± 0        |         0 ± 0         |   0.2301 ± 0.0988    | 0 ± 0  | 0 ± 0  | 0.0009178 ± 0.0001481  |
| Bin9   |  0.0835 ± 0.005571   | -0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.08206 ± 0.005754  | 0 ± 0  | 0 ± 0  | 0.0006941 ± 0.0001429  |
| Bin10  |  0.06045 ± 0.004766  |  0.001436 ± 0.001436  |        0 ± 0         |  0.0108 ± 0.0108   |  0.001186 ± 0.001186  |  0.07387 ± 0.01195   | 0 ± 0  | 0 ± 0  | 0.0004361 ± 7.333e-05  |
| Bin11  |   0.04 ± 0.003857    |  0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |  0.04025 ± 0.004283  | 0 ± 0  | 0 ± 0  | 0.0004145 ± 0.0001277  |
| Bin12  |  0.02605 ± 0.003111  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.02605 ± 0.003111  | 0 ± 0  | 0 ± 0  | 0.0002803 ± 0.0001216  |
| Bin13  |  0.02527 ± 0.003102  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.02527 ± 0.003102  | 0 ± 0  | 0 ± 0  |  0.000123 ± 4.331e-05  |
| Bin14  |  0.01591 ± 0.002388  |         0 ± 0         |        0 ± 0         | 0.05055 ± 0.05055  |         0 ± 0         |  0.06646 ± 0.05061   | 0 ± 0  | 0 ± 0  | 0.0001006 ± 3.709e-05  |
| Bin15  |  0.01214 ± 0.002113  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.01214 ± 0.002113  | 0 ± 0  | 0 ± 0  |  0.0002244 ± 0.000118  |
| Bin16  |  0.0105 ± 0.002017   |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.0105 ± 0.002017   | 0 ± 0  | 0 ± 0  | 5.592e-05 ± 2.501e-05  |
| Bin17  | 0.008272 ± 0.001768  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.008272 ± 0.001768  | 0 ± 0  | 0 ± 0  | 5.592e-05 ± 2.501e-05  |
| Bin18  | 0.006909 ± 0.001618  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.006909 ± 0.001618  | 0 ± 0  | 0 ± 0  | 8.947e-05 ± 3.163e-05  |
| Bin19  | 0.008088 ± 0.001793  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.008088 ± 0.001793  | 0 ± 0  | 0 ± 0  | 3.355e-05 ± 1.937e-05  |
| Bin20  | 0.004728 ± 0.001323  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.004728 ± 0.001323  | 0 ± 0  | 0 ± 0  | 3.355e-05 ± 1.937e-05  |
| Bin21  |  0.06508 ± 0.00495   |         0 ± 0         |        0 ± 0         | 0.05055 ± 0.05055  |         0 ± 0         |   0.1156 ± 0.05079   | 0 ± 0  | 0 ± 0  | 0.0006836 ± 0.0001746  |
+--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+--------+--------+------------------------+
