+--------+--------------------+----------------------+----------------------+-------------------+-----------------------+--------------------+--------+--------+------------------------+
| Bin#   |         ZZ         |         ttZ          |        Higgs         |        WZ         |         Other         |       Total        |  data  | Ratio  |          WWZ           |
|--------+--------------------+----------------------+----------------------+-------------------+-----------------------+--------------------+--------+--------+------------------------+
| Bin0   |       0 ± 0        |        0 ± 0         |        0 ± 0         |       0 ± 0       |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |       0 ± 0        |        0 ± 0         |        0 ± 0         |       0 ± 0       |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin2   |       0 ± 0        |        0 ± 0         |        0 ± 0         |       0 ± 0       |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin3   |  15.53 ± 0.07533   |  0.07755 ± 0.01492   |  -0.07755 ± 0.09993  |  0.191 ± 0.06908  |   0.0462 ± 0.03487    |   15.77 ± 0.1479   | 0 ± 0  | 0 ± 0  |     0.218 ± 0.0455     |
| Bin4   |  15.94 ± 0.07583   |   0.08186 ± 0.0158   |   0.1866 ± 0.1975    | 0.1227 ± 0.07923  |  0.009487 ± 0.005031  |   16.34 ± 0.2265   | 0 ± 0  | 0 ± 0  |    0.3476 ± 0.07872    |
| Bin5   |  12.53 ± 0.06708   |  0.07899 ± 0.01324   |   0.109 ± 0.09882    | 0.0324 ± 0.02415  |   0.04027 ± 0.03456   |   12.79 ± 0.1274   | 0 ± 0  | 0 ± 0  |    0.2135 ± 0.06427    |
| Bin6   |  8.155 ± 0.05425   |  0.06463 ± 0.01193   |  0.09854 ± 0.09882   |  0.0216 ± 0.0216  |  0.002372 ± 0.002372  |   8.342 ± 0.1154   | 0 ± 0  | 0 ± 0  |    0.1178 ± 0.04545    |
| Bin7   |  5.587 ± 0.04504   |  0.06175 ± 0.01103   | 0.005248 ± 0.005248  |    0 ± 0.01527    | -0.001186 ± 0.001186  |  5.653 ± 0.04912   | 0 ± 0  | 0 ± 0  |    0.1364 ± 0.06425    |
| Bin8   |  3.461 ± 0.03561   |  0.02872 ± 0.009307  |  0.005248 ± 0.00909  |    0 ± 0.01527    | -0.002372 ± 0.001677  |  3.492 ± 0.04091   | 0 ± 0  | 0 ± 0  |    0.1206 ± 0.06425    |
| Bin9   |  2.143 ± 0.02817   |  0.01149 ± 0.007599  |        0 ± 0         |       0 ± 0       |  0.001186 ± 0.001186  |   2.156 ± 0.0292   | 0 ± 0  | 0 ± 0  |   0.06455 ± 0.04543    |
| Bin10  |   1.409 ± 0.0229   |  0.02154 ± 0.006887  |        0 ± 0         |       0 ± 0       |     0 ± 0.001677      |   1.43 ± 0.02397   | 0 ± 0  | 0 ± 0  |   0.05846 ± 0.04543    |
| Bin11  |  0.9614 ± 0.01898  |  0.02298 ± 0.006736  |        0 ± 0         |  0.0108 ± 0.0108  |         0 ± 0         |  0.9952 ± 0.02285  | 0 ± 0  | 0 ± 0  |  0.007503 ± 0.0004972  |
| Bin12  |  0.744 ± 0.01674   | 0.008617 ± 0.004541  |        0 ± 0         |  0.0108 ± 0.0108  |         0 ± 0         |  0.7634 ± 0.02044  | 0 ± 0  | 0 ± 0  |   0.05145 ± 0.04543    |
| Bin13  |  0.5162 ± 0.01398  |     0 ± 0.002872     |        0 ± 0         |       0 ± 0       |         0 ± 0         |  0.5162 ± 0.01427  | 0 ± 0  | 0 ± 0  |   0.003987 ± 0.00037   |
| Bin14  |  0.4094 ± 0.01247  | 0.001436 ± 0.003211  |        0 ± 0         |       0 ± 0       |         0 ± 0         |  0.4108 ± 0.01287  | 0 ± 0  | 0 ± 0  |   0.04911 ± 0.04543    |
| Bin15  |  0.2995 ± 0.01067  | 0.002872 ± 0.004062  |        0 ± 0         |       0 ± 0       |         0 ± 0         |  0.3024 ± 0.01142  | 0 ± 0  | 0 ± 0  |  0.001893 ± 0.0002614  |
| Bin16  | 0.2495 ± 0.009754  | 0.005745 ± 0.002872  | 0.005248 ± 0.005248  |       0 ± 0       |         0 ± 0         |  0.2605 ± 0.01144  | 0 ± 0  | 0 ± 0  |  0.001209 ± 0.0001913  |
| Bin17  | 0.2032 ± 0.008832  | 0.002872 ± 0.002031  |        0 ± 0         |       0 ± 0       |         0 ± 0         |  0.206 ± 0.009063  | 0 ± 0  | 0 ± 0  |  0.001087 ± 0.000216   |
| Bin18  |  0.154 ± 0.007702  | 0.004308 ± 0.002487  |        0 ± 0         |       0 ± 0       |         0 ± 0         | 0.1583 ± 0.008093  | 0 ± 0  | 0 ± 0  | 0.0008738 ± 0.0001812  |
| Bin19  |  0.1333 ± 0.00719  |     0 ± 0.002031     |        0 ± 0         |       0 ± 0       |         0 ± 0         | 0.1333 ± 0.007472  | 0 ± 0  | 0 ± 0  | 0.0005927 ± 8.294e-05  |
| Bin20  | 0.1139 ± 0.006634  |        0 ± 0         |        0 ± 0         |       0 ± 0       |         0 ± 0         | 0.1139 ± 0.006634  | 0 ± 0  | 0 ± 0  | 0.0003474 ± 0.0001247  |
| Bin21  |  0.7664 ± 0.01742  | 0.001436 ± 0.002487  |        0 ± 0         |       0 ± 0       |         0 ± 0         |  0.7678 ± 0.0176   | 0 ± 0  | 0 ± 0  |   0.001443 ± 0.06424   |
+--------+--------------------+----------------------+----------------------+-------------------+-----------------------+--------------------+--------+--------+------------------------+
