+--------+------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
| Bin#   |        ZZ        |          ttZ          |         Higgs         |         WZ         |         Other         |      Total       |  data  | Ratio  |          WWZ           |
|--------+------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
| Bin0   | 15.43 ± 0.07612  |   0.08617 ± 0.0165    |    0.1195 ± 0.1005    |  0.2126 ± 0.06908  |  0.008301 ± 0.005929  |  15.85 ± 0.1448  | 0 ± 0  | 0 ± 0  |    0.7452 ± 0.04566    |
| Bin1   | 1.593 ± 0.02404  |  0.02011 ± 0.006093   |   0.09854 ± 0.09854   |  0.0108 ± 0.01871  |  0.002372 ± 0.002905  |  1.725 ± 0.1034  | 0 ± 0  | 0 ± 0  |  0.02293 ± 0.0007889   |
| Bin2   | 1.862 ± 0.02588  |  0.01436 ± 0.005374   |  -0.09329 ± 0.09868   |  0.0216 ± 0.01527  |   0.06987 ± 0.04861   |  1.874 ± 0.1142  | 0 ± 0  | 0 ± 0  |    0.0191 ± 0.00076    |
| Bin3   |  2.23 ± 0.0283   |   0.0158 ± 0.005178   |   0.0105 ± 0.007422   |  0.0216 ± 0.01527  |  0.004743 ± 0.002905  | 2.282 ± 0.03353  | 0 ± 0  | 0 ± 0  |  0.01471 ± 0.0006766   |
| Bin4   | 2.677 ± 0.03081  |  0.01293 ± 0.005921   | -0.005248 ± 0.005248  | -0.0216 ± 0.01527  |  0.003558 ± 0.002652  | 2.667 ± 0.03539  | 0 ± 0  | 0 ± 0  |  0.01091 ± 0.0004777   |
| Bin5   |  3.566 ± 0.0355  |  0.01149 ± 0.004975   |         0 ± 0         |  0.0108 ± 0.0108   |         0 ± 0         | 3.588 ± 0.03744  | 0 ± 0  | 0 ± 0  |  0.007408 ± 0.0003932  |
| Bin6   | 5.125 ± 0.04245  |  0.01723 ± 0.005745   |  -0.09329 ± 0.09868   |  0.0216 ± 0.0216   |  0.003558 ± 0.002054  |  5.074 ± 0.1097  | 0 ± 0  | 0 ± 0  |   0.05221 ± 0.04543    |
| Bin7   | 8.166 ± 0.05351  |  0.007181 ± 0.004763  |         0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  | 8.174 ± 0.05373  | 0 ± 0  | 0 ± 0  |   0.003952 ± 0.06424   |
| Bin8   |  0.67 ± 0.01531  |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.67 ± 0.01531  | 0 ± 0  | 0 ± 0  | 0.0004264 ± 0.0001669  |
| Bin9   |      0 ± 0       |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin10  |      0 ± 0       |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin11  |      0 ± 0       |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin12  |      0 ± 0       |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin13  |      0 ± 0       |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin14  |  1.638 ± 0.024   |  0.004308 ± 0.002487  |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  | 1.641 ± 0.02416  | 0 ± 0  | 0 ± 0  | 0.0002237 ± 5.001e-05  |
| Bin15  |  4.57 ± 0.04022  |  0.01293 ± 0.005562   |     0 ± 0.007422      |  0.0108 ± 0.0108   | -0.001186 ± 0.001186  | 4.593 ± 0.04268  | 0 ± 0  | 0 ± 0  |  0.001154 ± 0.0002183  |
| Bin16  | 3.014 ± 0.03278  |  0.01293 ± 0.005562   | -0.005248 ± 0.005248  |       0 ± 0        |     0 ± 0.001677      | 3.021 ± 0.03371  | 0 ± 0  | 0 ± 0  | 0.0009073 ± 0.0001823  |
| Bin17  | 2.147 ± 0.02777  |  0.007181 ± 0.003211  |         0 ± 0         |  0.1011 ± 0.07149  |  0.002372 ± 0.001677  | 2.257 ± 0.07678  | 0 ± 0  | 0 ± 0  | 0.0007612 ± 0.0001412  |
| Bin18  |  1.673 ± 0.0246  |  0.008617 ± 0.004062  |         0 ± 0         |  -0.0108 ± 0.0108  |         0 ± 0         | 1.671 ± 0.02717  | 0 ± 0  | 0 ± 0  |  0.001144 ± 0.0002423  |
| Bin19  | 1.304 ± 0.02176  |  0.01005 ± 0.004308   |         0 ± 0         |       0 ± 0        |         0 ± 0         | 1.314 ± 0.02219  | 0 ± 0  | 0 ± 0  |    0.0462 ± 0.04543    |
| Bin20  | 1.118 ± 0.02015  | -0.004308 ± 0.004763  |         0 ± 0         |  -0.0108 ± 0.0108  |  0.001186 ± 0.002054  | 1.104 ± 0.02344  | 0 ± 0  | 0 ± 0  |  0.000671 ± 8.806e-05  |
| Bin21  | 12.53 ± 0.06887  |   0.2398 ± 0.02483    |    0.3009 ± 0.1709    |  0.0216 ± 0.03055  |  0.001186 ± 0.003137  |  13.09 ± 0.1885  | 0 ± 0  | 0 ± 0  |    0.4685 ± 0.1574     |
+--------+------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
