+--------+------------------+----------------------+----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
| Bin#   |        ZZ        |         ttZ          |        Higgs         |         WZ         |         Other         |      Total       |  data  | Ratio  |          WWZ           |
|--------+------------------+----------------------+----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin2   |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin3   | 2.227 ± 0.02931  | 0.004308 ± 0.004308  | 0.005248 ± 0.005248  |  0.0216 ± 0.01527  |         0 ± 0         | 2.258 ± 0.03374  | 0 ± 0  | 0 ± 0  |   0.07392 ± 0.001493   |
| Bin4   | 1.696 ± 0.02553  |  0.01293 ± 0.004308  | 0.005248 ± 0.005248  |       0 ± 0        |  0.002372 ± 0.001677  | 1.716 ± 0.02647  | 0 ± 0  | 0 ± 0  |   0.09461 ± 0.00172    |
| Bin5   | 1.439 ± 0.02338  | 0.004308 ± 0.005178  |  0.08804 ± 0.09882   |  0.0324 ± 0.01871  | -0.002372 ± 0.002372  |  1.562 ± 0.1034  | 0 ± 0  | 0 ± 0  |    0.103 ± 0.001788    |
| Bin6   | 1.433 ± 0.02323  |  0.0158 ± 0.005921   | 0.005248 ± 0.005248  |  0.06135 ± 0.0539  |  0.002372 ± 0.001677  | 1.517 ± 0.05925  | 0 ± 0  | 0 ± 0  |   0.1005 ± 0.001714    |
| Bin7   |  1.558 ± 0.0242  | 0.005745 ± 0.004975  |   -0.0105 ± 0.0105   | 0.06481 ± 0.02646  |     0 ± 0.001677      | 1.618 ± 0.03773  | 0 ± 0  | 0 ± 0  |   0.09938 ± 0.001803   |
| Bin8   | 1.948 ± 0.02696  |  0.01293 ± 0.006581  |        0 ± 0         |  0.0108 ± 0.0108   | -0.001186 ± 0.002652  | 1.971 ± 0.02989  | 0 ± 0  | 0 ± 0  |   0.0899 ± 0.001621    |
| Bin9   | 2.435 ± 0.03004  | 0.008617 ± 0.005745  |  0.01574 ± 0.00909   |  0.0108 ± 0.01871  |  0.003558 ± 0.003137  | 2.473 ± 0.03712  | 0 ± 0  | 0 ± 0  |    0.1235 ± 0.04545    |
| Bin10  | 2.691 ± 0.03134  |  0.02154 ± 0.008496  |  0.0105 ± 0.007422   |  0.0108 ± 0.0108   |  0.003558 ± 0.002054  | 2.738 ± 0.03508  | 0 ± 0  | 0 ± 0  |   0.06032 ± 0.001331   |
| Bin11  | 3.455 ± 0.03532  |  0.03447 ± 0.008124  |  0.005248 ± 0.1395   |  0.0324 ± 0.02415  |   0.07224 ± 0.04869   |  3.599 ± 0.154   | 0 ± 0  | 0 ± 0  |   0.04203 ± 0.001095   |
| Bin12  | 4.907 ± 0.04184  |  0.02872 ± 0.007866  |  0.005248 ± 0.00909  |     0 ± 0.0216     |  0.008301 ± 0.003933  | 4.949 ± 0.04875  | 0 ± 0  | 0 ± 0  |  0.02562 ± 0.0008283   |
| Bin13  | 8.691 ± 0.05534  |  0.02872 ± 0.007599  |  -0.09329 ± 0.09868  |  0.0324 ± 0.02415  |  0.003558 ± 0.002054  |  8.662 ± 0.116   | 0 ± 0  | 0 ± 0  |   0.05962 ± 0.04543    |
| Bin14  | 8.836 ± 0.05565  | 0.007181 ± 0.004763  |        0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  | 8.844 ± 0.05587  | 0 ± 0  | 0 ± 0  |   0.004379 ± 0.06424   |
| Bin15  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin16  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin17  |  1.638 ± 0.024   | 0.004308 ± 0.002487  |        0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  | 1.641 ± 0.02416  | 0 ± 0  | 0 ± 0  | 0.0002237 ± 5.001e-05  |
| Bin18  | 7.584 ± 0.05189  |  0.02585 ± 0.007866  | -0.005248 ± 0.00909  |  0.0108 ± 0.0108   | -0.001186 ± 0.002054  | 7.614 ± 0.05439  | 0 ± 0  | 0 ± 0  |  0.002061 ± 0.0002844  |
| Bin19  |  3.82 ± 0.0371   |  0.0158 ± 0.005178   |        0 ± 0         |  0.0903 ± 0.0723   |  0.002372 ± 0.001677  | 3.928 ± 0.08144  | 0 ± 0  | 0 ± 0  |  0.001905 ± 0.0002804  |
| Bin20  | 2.421 ± 0.02966  | 0.005745 ± 0.006423  |        0 ± 0         |  -0.0108 ± 0.0108  |  0.001186 ± 0.002054  | 2.417 ± 0.03228  | 0 ± 0  | 0 ± 0  |   0.04687 ± 0.04543    |
| Bin21  | 12.53 ± 0.06887  |   0.2398 ± 0.02483   |   0.3009 ± 0.1709    |  0.0216 ± 0.03055  |  0.001186 ± 0.003137  |  13.09 ± 0.1885  | 0 ± 0  | 0 ± 0  |    0.4685 ± 0.1574     |
+--------+------------------+----------------------+----------------------+--------------------+-----------------------+------------------+--------+--------+------------------------+
