+--------+------------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |         ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  | Ratio  |          WWZ           |
|--------+------------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   | 0.0009958 ± 0.0007042  |        0 ± 0         |        0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.01459 ± 0.01361   | 0 ± 0  | 0 ± 0  | 0.0002929 ± 6.244e-05  |
| Bin2   |  0.001705 ± 0.000888   |  0.006905 ± 0.00598  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.008611 ± 0.006046  | 0 ± 0  | 0 ± 0  |  0.007864 ± 0.0004813  |
| Bin3   |   0.01661 ± 0.002764   |  0.03453 ± 0.01064   |        0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.06473 ± 0.01748   | 0 ± 0  | 0 ± 0  |    0.1572 ± 0.07563    |
| Bin4   |   0.02074 ± 0.003033   |  0.03453 ± 0.01424   |  0.01239 ± 0.008764  |  0.02718 ± 0.01922  |  0.001469 ± 0.001469  |  0.09631 ± 0.02569   | 0 ± 0  | 0 ± 0  |    0.2156 ± 0.08734    |
| Bin5   |   0.02831 ± 0.003535   |  0.07769 ± 0.01455   |        0 ± 0         |  0.01359 ± 0.03039  |  0.002937 ± 0.002077  |   0.1225 ± 0.03394   | 0 ± 0  | 0 ± 0  |    0.1004 ± 0.04369    |
| Bin6   |   0.02768 ± 0.003577   |  0.06215 ± 0.01337   | 0.006197 ± 0.006197  |  0.02718 ± 0.01922  |  0.001469 ± 0.002544  |   0.1247 ± 0.02461   | 0 ± 0  | 0 ± 0  |    0.1436 ± 0.08734    |
| Bin7   |   0.02864 ± 0.003598   |  0.06388 ± 0.01434   |  0.07944 ± 0.08586   |  0.06795 ± 0.03039  |  0.001469 ± 0.001469  |   0.2414 ± 0.09228   | 0 ± 0  | 0 ± 0  |   0.09982 ± 0.04368    |
| Bin8   |   0.03481 ± 0.004038   |  0.04661 ± 0.01257   |  0.01239 ± 0.008764  |  0.02718 ± 0.02718  | -0.004406 ± 0.002544  |   0.1166 ± 0.03157   | 0 ± 0  | 0 ± 0  |    0.1389 ± 0.06176    |
| Bin9   |   0.03197 ± 0.00383    |   0.0656 ± 0.01196   |   0.1651 ± 0.1216    |  0.04077 ± 0.03039  |   0.08962 ± 0.06558   |    0.393 ± 0.142     | 0 ± 0  | 0 ± 0  |   0.09384 ± 0.04368    |
| Bin10  |   0.03365 ± 0.003912   |   0.03971 ± 0.0105   | 0.006197 ± 0.006197  |  0.04077 ± 0.02354  |  0.004406 ± 0.003885  |   0.1247 ± 0.02708   | 0 ± 0  | 0 ± 0  |   0.04743 ± 0.06176    |
| Bin11  |   0.04825 ± 0.004744   |  0.01726 ± 0.008097  | 0.006197 ± 0.006197  | -0.01359 ± 0.03039  |   0.04922 ± 0.04633   |   0.1073 ± 0.05653   | 0 ± 0  | 0 ± 0  |  0.04435 ± 0.0009359   |
| Bin12  |   0.03856 ± 0.004165   |   0.05352 ± 0.0105   | 0.006197 ± 0.006197  |  0.05436 ± 0.02718  | -0.001469 ± 0.001469  |   0.1512 ± 0.03012   | 0 ± 0  | 0 ± 0  |    0.1308 ± 0.06176    |
| Bin13  |   0.03109 ± 0.003791   |  0.01726 ± 0.00772   | 0.006197 ± 0.006197  |  0.01359 ± 0.02354  |  0.001469 ± 0.001469  |  0.06961 ± 0.02586   | 0 ± 0  | 0 ± 0  |   0.07881 ± 0.04367    |
| Bin14  |   0.01164 ± 0.002365   |  0.01208 ± 0.005179  | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |   0.09256 ± 0.06545   |   0.1361 ± 0.06737   | 0 ± 0  | 0 ± 0  |  0.01215 ± 0.0004878   |
| Bin15  |  0.004174 ± 0.001368   | 0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.005901 ± 0.002203  | 0 ± 0  | 0 ± 0  |  0.003903 ± 0.0002898  |
| Bin16  |         0 ± 0          | 0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.001726 ± 0.001726  | 0 ± 0  | 0 ± 0  | 0.0008661 ± 0.0001482  |
| Bin17  |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |  0.0001065 ± 4.21e-05  |
| Bin18  |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin19  |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin20  |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin21  |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
+--------+------------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+------------------------+
