+--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ          |         Other         |         Total         |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |  0.003908 ± 0.001351   |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.003908 ± 0.001351  | 0 ± 0  |  0 ± 0  | 0.0009726 ± 0.0001517  |
| Bin2   |  0.009576 ± 0.002107   |  0.01899 ± 0.006686   | 0.006197 ± 0.006197  |  0.05436 ± 0.03329  |         0 ± 0         |   0.08913 ± 0.03458   | 0 ± 0  |  0 ± 0  |   0.01302 ± 0.000618   |
| Bin3   |   0.02169 ± 0.003225   |  0.02244 ± 0.007525   |        0 ± 0         |  0.02718 ± 0.02718  |  0.004406 ± 0.002544  |   0.07572 ± 0.0285    | 0 ± 0  |  0 ± 0  |   0.03943 ± 0.001043   |
| Bin4   |   0.03112 ± 0.003807   |  0.03798 ± 0.009135   | -0.006197 ± 0.01073  |  0.02718 ± 0.01922  |  0.004406 ± 0.002544  |   0.09449 ± 0.02427   | 0 ± 0  |  0 ± 0  |    0.0159 ± 0.04368    |
| Bin5   |   0.03687 ± 0.004035   |   0.06388 ± 0.01105   |  0.08563 ± 0.08563   |  0.01359 ± 0.02354  | -0.002937 ± 0.002937  |    0.197 ± 0.08963    | 0 ± 0  |  0 ± 0  |    0.1983 ± 0.07564    |
| Bin6   |   0.03865 ± 0.004239   |   0.04143 ± 0.01092   | 0.006197 ± 0.006197  |  0.02718 ± 0.01922  |     0 ± 0.002077      |   0.1135 ± 0.02344    | 0 ± 0  |  0 ± 0  |    0.1557 ± 0.06176    |
| Bin7   |   0.03825 ± 0.004126   |   0.02417 ± 0.01145   | 0.006197 ± 0.006197  |  0.01359 ± 0.03039  | -0.002937 ± 0.003597  |   0.07927 ± 0.03351   | 0 ± 0  |  0 ± 0  |    0.1014 ± 0.04368    |
| Bin8   |   0.03052 ± 0.003769   |   0.06905 ± 0.01359   |        0 ± 0         |  0.02718 ± 0.01922  |   0.04628 ± 0.04637   |    0.173 ± 0.05214    | 0 ± 0  |  0 ± 0  |   0.09028 ± 0.04368    |
| Bin9   |   0.02344 ± 0.003275   |  0.03107 ± 0.009456   |   0.1775 ± 0.1213    |  0.04077 ± 0.02354  |   0.04922 ± 0.04633   |    0.322 ± 0.1323     | 0 ± 0  |  0 ± 0  |    0.1245 ± 0.06176    |
| Bin10  |   0.01908 ± 0.002948   |   0.04143 ± 0.01007   |        0 ± 0         |  0.01359 ± 0.02354  |   0.04334 ± 0.04633   |   0.1174 ± 0.05301    | 0 ± 0  |  0 ± 0  |    0.2044 ± 0.08733    |
| Bin11  |   0.01457 ± 0.002473   |   0.03971 ± 0.01105   | 0.006197 ± 0.006197  |        0 ± 0        |  0.002937 ± 0.002077  |   0.06341 ± 0.01308   | 0 ± 0  |  0 ± 0  |    0.1093 ± 0.06176    |
| Bin12  |   0.01651 ± 0.002757   |   0.02762 ± 0.01092   | 0.006197 ± 0.006197  |        0 ± 0        |   0.04628 ± 0.04628   |   0.0966 ± 0.04803    | 0 ± 0  |  0 ± 0  |  0.01684 ± 0.0007651   |
| Bin13  |   0.01404 ± 0.002553   |   0.01899 ± 0.00897   |        0 ± 0         | -0.01359 ± 0.01359  |   0.04775 ± 0.0463    |   0.06718 ± 0.04915   | 0 ± 0  |  0 ± 0  |   -0.02873 ± 0.04367   |
| Bin14  |  0.008601 ± 0.002025   |   0.0259 ± 0.008279   |  0.006197 ± 0.01073  |  0.02718 ± 0.01922  |         0 ± 0         |   0.06787 ± 0.02361   | 0 ± 0  |  0 ± 0  |   0.05436 ± 0.04367    |
| Bin15  |  0.007717 ± 0.001893   |  0.01381 ± 0.006905   |        0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |   0.03512 ± 0.01536   | 0 ± 0  |  0 ± 0  |   0.09544 ± 0.06175    |
| Bin16  |  0.007605 ± 0.001899   |  0.003453 ± 0.006459  | 0.006197 ± 0.006197  |  0.05436 ± 0.02718  |         0 ± 0         |   0.07162 ± 0.02868   | 0 ± 0  |  0 ± 0  |  0.007408 ± 0.0006031  |
| Bin17  |  0.006609 ± 0.001763   |  0.01208 ± 0.005726   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01869 ± 0.005991   | 0 ± 0  |  0 ± 0  |  0.005726 ± 0.0005184  |
| Bin18  |  0.004618 ± 0.001455   |  0.001726 ± 0.004568  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.006344 ± 0.004794  | 0 ± 0  |  0 ± 0  |  0.003652 ± 0.0003366  |
| Bin19  |  0.003908 ± 0.001351   |  0.006905 ± 0.004229  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01081 ± 0.004439   | 0 ± 0  |  0 ± 0  |  0.004246 ± 0.0004681  |
