+--------+----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs         |         WZ          |        Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin2   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin3   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin4   | 0.004249 ± 0.001425  | 0.003453 ± 0.002441  |        0 ± 0         | -0.01359 ± 0.01359  |        0 ± 0         | -0.005889 ± 0.01388  | 0 ± 0  | -0 ± 0  | 0.004049 ± 0.0002925  |
| Bin5   |  0.01543 ± 0.002636  | 0.006905 ± 0.004883  |        0 ± 0         |  0.02718 ± 0.01922  |        0 ± 0         |  0.04952 ± 0.02001   | 0 ± 0  |  0 ± 0  |  0.01234 ± 0.0004385  |
| Bin6   |  0.02054 ± 0.003096  |  0.01726 ± 0.006905  |        0 ± 0         |  0.04077 ± 0.02354  | 0.002937 ± 0.002077  |  0.08152 ± 0.02481   | 0 ± 0  |  0 ± 0  |   0.07132 ± 0.04367   |
| Bin7   |  0.03215 ± 0.00382   |  0.03971 ± 0.009297  |  0.01859 ± 0.01073   |  0.04077 ± 0.02354  |   0.1344 ± 0.08022   |   0.2657 ± 0.08489   | 0 ± 0  |  0 ± 0  |   0.09439 ± 0.04367   |
| Bin8   |  0.04457 ± 0.004576  |  0.04834 ± 0.01119   |   0.09183 ± 0.0863   |  0.02718 ± 0.01922  |  0.08962 ± 0.06548   |   0.3015 ± 0.1107    | 0 ± 0  |  0 ± 0  |   0.09875 ± 0.07563   |
| Bin9   |  0.03173 ± 0.003808  |  0.04834 ± 0.01245   |        0 ± 0         |  0.04077 ± 0.03596  | 0.001469 ± 0.003284  |   0.1223 ± 0.03838   | 0 ± 0  |  0 ± 0  |   0.09623 ± 0.04368   |
| Bin10  |  0.03216 ± 0.003816  |  0.02762 ± 0.009456  |  0.09183 ± 0.08586   |  0.01359 ± 0.02354  | 0.001469 ± 0.001469  |   0.1667 ± 0.08962   | 0 ± 0  |  0 ± 0  |   0.09011 ± 0.04368   |
| Bin11  |  0.02366 ± 0.00324   |  0.03971 ± 0.01078   | 0.006197 ± 0.006197  |  0.05436 ± 0.02718  |     0 ± 0.002077     |   0.1239 ± 0.03014   | 0 ± 0  |  0 ± 0  |   0.1266 ± 0.06176    |
| Bin12  |  0.02353 ± 0.003328  |  0.03453 ± 0.01007   | -0.01239 ± 0.008764  |        0 ± 0        |        0 ± 0         |  0.04566 ± 0.01376   | 0 ± 0  |  0 ± 0  |  -0.009438 ± 0.04368  |
| Bin13  |  0.02506 ± 0.003416  |  0.04143 ± 0.009766  |  0.09183 ± 0.08586   |     0 ± 0.01922     | 0.002937 ± 0.002937  |   0.1613 ± 0.08864   | 0 ± 0  |  0 ± 0  |   0.07193 ± 0.04367   |
| Bin14  |  0.01221 ± 0.002352  |  0.02244 ± 0.009297  |        0 ± 0         |        0 ± 0        | 0.001469 ± 0.001469  |  0.03612 ± 0.009702  | 0 ± 0  |  0 ± 0  |   0.0703 ± 0.04367    |
| Bin15  | 0.008354 ± 0.001927  |  0.02072 ± 0.009766  |        0 ± 0         | -0.01359 ± 0.02354  |        0 ± 0         |  0.01548 ± 0.02556   | 0 ± 0  |  0 ± 0  |   0.02389 ± 0.00104   |
| Bin16  |  0.01026 ± 0.002203  |  0.02244 ± 0.008632  |        0 ± 0         |  0.02718 ± 0.01922  | 0.001469 ± 0.002544  |  0.06135 ± 0.02134   | 0 ± 0  |  0 ± 0  |   0.06306 ± 0.04367   |
| Bin17  |  0.007141 ± 0.00179  |  0.0259 ± 0.007911   | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |     0 ± 0.002077     |  0.05282 ± 0.01712   | 0 ± 0  |  0 ± 0  |   0.05861 ± 0.04367   |
| Bin18  | 0.009422 ± 0.002091  | 0.006905 ± 0.006459  |        0 ± 0         |  0.01359 ± 0.01359  |        0 ± 0         |  0.02992 ± 0.01519   | 0 ± 0  |  0 ± 0  |   0.01333 ± 0.00074   |
| Bin19  | 0.005859 ± 0.001583  |  0.01899 ± 0.007525  |        0 ± 0         |  0.01359 ± 0.01359  |        0 ± 0         |  0.03844 ± 0.01562   | 0 ± 0  |  0 ± 0  |  0.01078 ± 0.0006641  |
| Bin20  |  0.00446 ± 0.001441  | 0.003453 ± 0.006905  |        0 ± 0         |        0 ± 0        | 0.001469 ± 0.001469  | 0.009382 ± 0.007205  | 0 ± 0  |  0 ± 0  |   0.05303 ± 0.04367   |
| Bin21  |  0.04806 ± 0.004654  |   0.107 ± 0.01777    |  0.01239 ± 0.008764  |  0.05436 ± 0.03329  | 0.001469 ± 0.001469  |   0.2233 ± 0.03905   | 0 ± 0  |  0 ± 0  |    0.3266 ± 0.107     |
+--------+----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
