+--------+------------------------+-----------------------+----------------------+--------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ         |        Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+------------------------+-----------------------+----------------------+--------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin2   |         0 ± 0          |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin3   |   0.06204 ± 0.005351   |   0.08459 ± 0.0137    |  0.006197 ± 0.01073  | 0.04077 ± 0.03039  |   0.1403 ± 0.08022   |   0.3339 ± 0.0877    | 0 ± 0  |  0 ± 0  |   0.1527 ± 0.06176    |
| Bin4   |   0.07388 ± 0.00582    |   0.07941 ± 0.01505   |   0.1042 ± 0.0863    | 0.08154 ± 0.04708  | 0.001469 ± 0.003885  |   0.3405 ± 0.0997    | 0 ± 0  |  0 ± 0  |   0.2234 ± 0.07564    |
| Bin5   |   0.07485 ± 0.005849   |   0.1053 ± 0.01647    |  0.01859 ± 0.01073   | 0.02718 ± 0.03329  |     0 ± 0.003597     |   0.2259 ± 0.03927   | 0 ± 0  |  0 ± 0  |   0.1434 ± 0.04369    |
| Bin6   |   0.05611 ± 0.005075   |   0.06388 ± 0.01392   |  0.08563 ± 0.08608   | 0.06795 ± 0.03596  |  0.05068 ± 0.04639   |   0.3242 ± 0.1052    | 0 ± 0  |  0 ± 0  |   0.1277 ± 0.09764    |
| Bin7   |   0.02759 ± 0.003532   |   0.06733 ± 0.01475   |  0.07944 ± 0.08586   | 0.04077 ± 0.03039  |  0.04334 ± 0.04637   |   0.2585 ± 0.1033    | 0 ± 0  |  0 ± 0  |   0.09739 ± 0.04368   |
| Bin8   |   0.01647 ± 0.002785   |    0.0328 ± 0.0105    |        0 ± 0         | 0.01359 ± 0.01359  |        0 ± 0         |   0.06286 ± 0.0174   | 0 ± 0  |  0 ± 0  |   0.07684 ± 0.04368   |
| Bin9   |   0.01108 ± 0.002208   |  0.02417 ± 0.008457   | 0.006197 ± 0.006197  | 0.01359 ± 0.01359  | 0.001469 ± 0.001469  |  0.05651 ± 0.01737   | 0 ± 0  |  0 ± 0  |   0.1107 ± 0.06176    |
| Bin10  |  0.009706 ± 0.002145   |   0.0259 ± 0.008632   |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.0356 ± 0.008894   | 0 ± 0  |  0 ± 0  |   0.06341 ± 0.04367   |
| Bin11  |  0.008315 ± 0.001974   |  0.006905 ± 0.00772   |        0 ± 0         | 0.01359 ± 0.01359  |        0 ± 0         |  0.02881 ± 0.01575   | 0 ± 0  |  0 ± 0  |  0.01551 ± 0.0008696  |
| Bin12  |  0.003601 ± 0.001211   |  0.01208 ± 0.006224   |        0 ± 0         | 0.01359 ± 0.01359  | 0.001469 ± 0.001469  |  0.03074 ± 0.01507   | 0 ± 0  |  0 ± 0  |  0.01031 ± 0.0006594  |
| Bin13  |  0.003124 ± 0.001172   |  0.001726 ± 0.006224  | 0.006197 ± 0.006197  |       0 ± 0        |        0 ± 0         |  0.01105 ± 0.008861  | 0 ± 0  |  0 ± 0  |   0.1375 ± 0.07563    |
| Bin14  |  0.001207 ± 0.0007352  |  0.001726 ± 0.005179  |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.002934 ± 0.005231  | 0 ± 0  |  0 ± 0  |   0.04944 ± 0.04367   |
| Bin15  |   0.00341 ± 0.001256   |     0 ± 0.003453      |        0 ± 0         |       0 ± 0        |        0 ± 0         |  0.00341 ± 0.003674  | 0 ± 0  |  0 ± 0  | 0.004267 ± 0.0003854  |
| Bin16  |  0.001207 ± 0.0007352  | -0.003453 ± 0.002441  |        0 ± 0         |       0 ± 0        |        0 ± 0         | -0.002245 ± 0.00255  | 0 ± 0  | -0 ± 0  | 0.003963 ± 0.0004184  |
| Bin17  | 0.0009209 ± 0.0005808  |  0.006905 ± 0.004883  |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.007826 ± 0.004917  | 0 ± 0  |  0 ± 0  |   0.04697 ± 0.04366   |
| Bin18  | 0.0009958 ± 0.0007042  |  0.008632 ± 0.00386   |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.009628 ± 0.003924  | 0 ± 0  |  0 ± 0  | 0.002161 ± 0.0002999  |
| Bin19  | 0.0002115 ± 0.0002115  |  0.003453 ± 0.002441  |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.003664 ± 0.002451  | 0 ± 0  |  0 ± 0  |  0.00192 ± 0.000258   |
| Bin20  |  0.001494 ± 0.0008624  |  0.001726 ± 0.00299   |        0 ± 0         | 0.01359 ± 0.01359  |        0 ± 0         |  0.01681 ± 0.01394   | 0 ± 0  |  0 ± 0  | 0.001252 ± 0.0001646  |
| Bin21  |  0.002626 ± 0.001061   |  0.01208 ± 0.006224   |        0 ± 0         | 0.01359 ± 0.01359  |        0 ± 0         |   0.0283 ± 0.01499   | 0 ± 0  |  0 ± 0  | 0.007078 ± 0.0004688  |
+--------+------------------------+-----------------------+----------------------+--------------------+----------------------+----------------------+--------+---------+-----------------------+
