+--------+------------------------+----------------------+-----------------------+--------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin#   |           ZZ           |         ttZ          |         Higgs         |         WZ         |         Other         |        Total         |  data  | Ratio  |          WWZ          |
|--------+------------------------+----------------------+-----------------------+--------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |   0.0871 ± 0.006329    |   0.1278 ± 0.02043   |   0.01239 ± 0.01239   | 0.08154 ± 0.03844  |   0.04481 ± 0.04635   |   0.3536 ± 0.06509   | 0 ± 0  | 0 ± 0  |    0.4044 ± 0.107     |
| Bin2   |   0.05639 ± 0.005096   |   0.1139 ± 0.01891   |    0.1775 ± 0.1213    | 0.08154 ± 0.03844  |  0.005874 ± 0.004154  |   0.4352 ± 0.1288    | 0 ± 0  | 0 ± 0  |   0.1918 ± 0.08734    |
| Bin3   |   0.03441 ± 0.00395    |  0.06905 ± 0.01381   |   0.01859 ± 0.01073   | 0.05436 ± 0.03329  | -0.002937 ± 0.003597  |   0.1735 ± 0.03798   | 0 ± 0  | 0 ± 0  |   0.2006 ± 0.07564    |
| Bin4   |   0.02681 ± 0.003534   |  0.03107 ± 0.01119   |     0 ± 0.008764      | 0.04077 ± 0.03039  |  0.004406 ± 0.003284  |   0.1031 ± 0.03389   | 0 ± 0  | 0 ± 0  |   0.1341 ± 0.06176    |
| Bin5   |   0.02003 ± 0.002985   |  0.0328 ± 0.009612   |         0 ± 0         | 0.01359 ± 0.02354  |   0.05068 ± 0.04635   |   0.1171 ± 0.05295   | 0 ± 0  | 0 ± 0  |  0.03319 ± 0.001022   |
| Bin6   |   0.01526 ± 0.002598   |  0.04143 ± 0.009766  |  0.006197 ± 0.006197  |    0 ± 0.01922     |         0 ± 0         |  0.06289 ± 0.02258   | 0 ± 0  | 0 ± 0  |  0.02435 ± 0.0008543  |
| Bin7   |   0.01249 ± 0.002402   |  0.01899 ± 0.008279  |  0.01239 ± 0.008764   | 0.01359 ± 0.01359  |         0 ± 0         |  0.05746 ± 0.01833   | 0 ± 0  | 0 ± 0  |  0.01863 ± 0.0007201  |
| Bin8   |   0.01465 ± 0.002549   | 0.008632 ± 0.005179  |         0 ± 0         | 0.01359 ± 0.01359  |   0.04628 ± 0.04628   |  0.08315 ± 0.04858   | 0 ± 0  | 0 ± 0  |  0.01593 ± 0.0007428  |
| Bin9   |   0.0102 ± 0.002202    |  0.02072 ± 0.006459  |         0 ± 0         | 0.01359 ± 0.01359  | -0.002937 ± 0.002077  |  0.04157 ± 0.01535   | 0 ± 0  | 0 ± 0  |   0.05718 ± 0.04367   |
| Bin10  |  0.008137 ± 0.001924   | 0.008632 ± 0.006224  |   0.08563 ± 0.08563   | 0.01359 ± 0.01359  |         0 ± 0         |   0.116 ± 0.08695    | 0 ± 0  | 0 ± 0  |  -0.03424 ± 0.04367   |
| Bin11  |  0.009788 ± 0.002118   | 0.008632 ± 0.004568  |         0 ± 0         |       0 ± 0        |   0.04628 ± 0.04628   |   0.0647 ± 0.04655   | 0 ± 0  | 0 ± 0  | 0.008782 ± 0.0004824  |
| Bin12  |  0.007536 ± 0.001848   | 0.003453 ± 0.002441  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.01099 ± 0.003062  | 0 ± 0  | 0 ± 0  |   0.09367 ± 0.06175   |
| Bin13  |  0.007585 ± 0.001857   | 0.005179 ± 0.004568  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.01276 ± 0.004931  | 0 ± 0  | 0 ± 0  | 0.006306 ± 0.0004557  |
| Bin14  |  0.004391 ± 0.001373   | 0.006905 ± 0.004229  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.0113 ± 0.004446   | 0 ± 0  | 0 ± 0  |   0.04795 ± 0.04366   |
| Bin15  |  0.006145 ± 0.001646   | 0.003453 ± 0.002441  |         0 ± 0         | 0.01359 ± 0.01359  |         0 ± 0         |  0.02319 ± 0.01391   | 0 ± 0  | 0 ± 0  | 0.003838 ± 0.0003224  |
| Bin16  |   0.005245 ± 0.00159   |  0.005179 ± 0.00386  | -0.006197 ± 0.006197  |       0 ± 0        |         0 ± 0         | 0.004227 ± 0.007472  | 0 ± 0  | 0 ± 0  | 0.002998 ± 0.0002876  |
| Bin17  |  0.001917 ± 0.0009128  | 0.003453 ± 0.004229  |         0 ± 0         |       0 ± 0        | -0.001469 ± 0.001469  | 0.003901 ± 0.004569  | 0 ± 0  | 0 ± 0  |   0.04635 ± 0.04366   |
| Bin18  | 0.0004979 ± 0.0004979  | 0.003453 ± 0.002441  |         0 ± 0         |       0 ± 0        |         0 ± 0         | 0.003951 ± 0.002492  | 0 ± 0  | 0 ± 0  | 0.002172 ± 0.0002461  |
| Bin19  |   0.00341 ± 0.001256   |        0 ± 0         |         0 ± 0         |       0 ± 0        |   0.04628 ± 0.04628   |   0.04969 ± 0.0463   | 0 ± 0  | 0 ± 0  | 0.002092 ± 0.0002215  |
