+--------+----------------------+---------------------+-----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin#   |          ZZ          |         ttZ         |         Higgs         |         WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ          |
|--------+----------------------+---------------------+-----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin2   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin3   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin4   |  0.0434 ± 0.004442   | 0.01899 ± 0.006686  |   0.08563 ± 0.08563   |  0.04077 ± 0.02354  |   0.04334 ± 0.04633   |   0.2321 ± 0.1005   | 0 ± 0  | 0 ± 0  |  0.04882 ± 0.001116   |
| Bin5   |  0.04634 ± 0.004603  | 0.02072 ± 0.009456  |  0.01239 ± 0.008764   |     0 ± 0.03329     |   0.04775 ± 0.04649   |  0.1272 ± 0.05879   | 0 ± 0  | 0 ± 0  |  0.08241 ± 0.001411   |
| Bin6   |  0.05193 ± 0.00489   |  0.04316 ± 0.01078  |  0.006197 ± 0.006197  |  0.01359 ± 0.02354  |   0.05215 ± 0.04637   |   0.167 ± 0.05369   | 0 ± 0  | 0 ± 0  |  0.07808 ± 0.001388   |
| Bin7   |  0.03363 ± 0.003892  |  0.03107 ± 0.01221  |   0.01859 ± 0.01073   |  0.02718 ± 0.02718  | -0.001469 ± 0.003284  |   0.109 ± 0.03208   | 0 ± 0  | 0 ± 0  |   0.2827 ± 0.09764    |
| Bin8   |  0.02783 ± 0.003556  |  0.04661 ± 0.01132  |   0.07324 ± 0.08608   |  0.02718 ± 0.01922  | -0.001469 ± 0.001469  |  0.1734 ± 0.08901   | 0 ± 0  | 0 ± 0  |   0.09569 ± 0.04368   |
| Bin9   |  0.02395 ± 0.003229  |  0.03107 ± 0.01119  |         0 ± 0         |  0.04077 ± 0.03039  |  0.001469 ± 0.001469  |  0.09727 ± 0.03258  | 0 ± 0  | 0 ± 0  |   0.08581 ± 0.04368   |
| Bin10  |  0.02011 ± 0.003051  |  0.05524 ± 0.01245  |         0 ± 0         |  0.04077 ± 0.02354  |  0.002937 ± 0.002077  |  0.1191 ± 0.02688   | 0 ± 0  | 0 ± 0  |   0.07669 ± 0.04368   |
| Bin11  |  0.01824 ± 0.002913  | 0.03798 ± 0.009766  |  0.01239 ± 0.008764   |  0.04077 ± 0.02354  |     0 ± 0.002077      |  0.1094 ± 0.02719   | 0 ± 0  | 0 ± 0  |   0.06943 ± 0.04367   |
| Bin12  |  0.01813 ± 0.002911  | 0.02762 ± 0.009766  |   0.09183 ± 0.08586   | -0.01359 ± 0.02354  |   0.04775 ± 0.0463    |   0.1717 ± 0.1009   | 0 ± 0  | 0 ± 0  |   0.06336 ± 0.04367   |
| Bin13  |  0.01354 ± 0.002497  | 0.02072 ± 0.009135  |         0 ± 0         |  0.01359 ± 0.01359  |  0.001469 ± 0.001469  |  0.04932 ± 0.01663  | 0 ± 0  | 0 ± 0  |   0.1037 ± 0.06175    |
| Bin14  |  0.0109 ± 0.002226   | 0.02762 ± 0.009135  |         0 ± 0         |  0.02718 ± 0.01922  |   0.04628 ± 0.04628   |   0.112 ± 0.05099   | 0 ± 0  | 0 ± 0  |   0.05667 ± 0.04367   |
| Bin15  | 0.004809 ± 0.001417  |  0.03625 ± 0.00897  | -0.006197 ± 0.006197  |  0.01359 ± 0.01359  |         0 ± 0         |  0.04846 ± 0.01748  | 0 ± 0  | 0 ± 0  |   0.05363 ± 0.04367   |
| Bin16  | 0.006274 ± 0.001694  | 0.02072 ± 0.006905  |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         | 0.03319 ± 0.009432  | 0 ± 0  | 0 ± 0  | 0.007801 ± 0.0005272  |
| Bin17  | 0.006037 ± 0.001644  | 0.01899 ± 0.007525  |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.03862 ± 0.01562  | 0 ± 0  | 0 ± 0  | 0.007556 ± 0.0006201  |
| Bin18  | 0.002701 ± 0.001133  | 0.01208 ± 0.006686  |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         | 0.02098 ± 0.009186  | 0 ± 0  | 0 ± 0  |  -0.03898 ± 0.04367   |
| Bin19  |  0.00249 ± 0.001113  | 0.01208 ± 0.005726  |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.02816 ± 0.01479  | 0 ± 0  | 0 ± 0  | 0.004965 ± 0.0004879  |
| Bin20  |  0.005245 ± 0.00159  | 0.01726 ± 0.005459  |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.0361 ± 0.01473   | 0 ± 0  | 0 ± 0  |  0.00324 ± 0.0003246  |
