+--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  | Ratio  |          WWZ          |
|--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |  0.05029 ± 0.004777  |   0.1157 ± 0.0193    |     0 ± 0.01518      |  0.06795 ± 0.03596  |   0.1403 ± 0.08022    |   0.3742 ± 0.0914    | 0 ± 0  | 0 ± 0  |   0.2471 ± 0.09765    |
| Bin2   |  0.04149 ± 0.004368  |    0.1019 ± 0.017    |  0.01239 ± 0.008764  |  0.04077 ± 0.03596  |   0.04775 ± 0.0463    |   0.2443 ± 0.06182   | 0 ± 0  | 0 ± 0  |   0.2229 ± 0.09765    |
| Bin3   |  0.03408 ± 0.003982  |  0.05524 ± 0.01402   | 0.006197 ± 0.006197  |  0.04077 ± 0.03039  |  0.001469 ± 0.002544  |   0.1378 ± 0.03437   | 0 ± 0  | 0 ± 0  |   0.2891 ± 0.09764    |
| Bin4   |  0.03032 ± 0.003694  |   0.0656 ± 0.01269   | 0.006197 ± 0.006197  |  0.02718 ± 0.01922  |  0.002937 ± 0.002077  |   0.1322 ± 0.02422   | 0 ± 0  | 0 ± 0  |    0.139 ± 0.06176    |
| Bin5   |  0.02356 ± 0.00331   |  0.03453 ± 0.01064   | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |     0 ± 0.002077      |  0.07787 ± 0.01875   | 0 ± 0  | 0 ± 0  |  0.03688 ± 0.001065   |
| Bin6   |  0.01603 ± 0.00274   |  0.02417 ± 0.01036   |        0 ± 0         |        0 ± 0        |     0 ± 0.002077      |   0.0402 ± 0.01091   | 0 ± 0  | 0 ± 0  |  0.02933 ± 0.0009821  |
| Bin7   |  0.01916 ± 0.00297   |  0.01036 ± 0.007324  | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |         0 ± 0         |   0.04931 ± 0.0169   | 0 ± 0  | 0 ± 0  |   0.06599 ± 0.04367   |
| Bin8   |  0.01627 ± 0.00272   |  0.01381 ± 0.006905  |   0.1713 ± 0.1211    |  0.01359 ± 0.01359  |   0.04775 ± 0.0463    |   0.2627 ± 0.1306    | 0 ± 0  | 0 ± 0  |   0.06166 ± 0.04367   |
| Bin9   |  0.0135 ± 0.002441   | 0.005179 ± 0.004568  |        0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.03227 ± 0.01454   | 0 ± 0  | 0 ± 0  |  0.01389 ± 0.0006119  |
| Bin10  |  0.01053 ± 0.002151  |  0.01036 ± 0.005459  |        0 ± 0         |        0 ± 0        | -0.002937 ± 0.002077  |  0.01795 ± 0.006224  | 0 ± 0  | 0 ± 0  |   0.05494 ± 0.04367   |
| Bin11  |  0.01181 ± 0.002366  |  0.02244 ± 0.006224  | 0.006197 ± 0.006197  |        0 ± 0        | -0.001469 ± 0.001469  |  0.03898 ± 0.009214  | 0 ± 0  | 0 ± 0  |  0.01052 ± 0.000552   |
| Bin12  | 0.009992 ± 0.002192  | 0.008632 ± 0.005179  |        0 ± 0         |     0 ± 0.01922     |         0 ± 0         |  0.01862 ± 0.02003   | 0 ± 0  | 0 ± 0  | 0.008342 ± 0.0004759  |
| Bin13  | 0.005995 ± 0.001547  |  0.01208 ± 0.004568  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01808 ± 0.004822  | 0 ± 0  | 0 ± 0  | 0.007076 ± 0.0004329  |
| Bin14  | 0.008942 ± 0.002075  |  0.008632 ± 0.00386  |        0 ± 0         | -0.01359 ± 0.01359  |  0.001469 ± 0.001469  |  0.005451 ± 0.01436  | 0 ± 0  | 0 ± 0  | 0.005106 ± 0.0004067  |
| Bin15  | 0.007871 ± 0.001911  |  0.005179 ± 0.00299  |        0 ± 0         |  0.01359 ± 0.01359  |     0 ± 0.002077      |   0.02664 ± 0.0142   | 0 ± 0  | 0 ± 0  | 0.004866 ± 0.0004005  |
| Bin16  |  0.0059 ± 0.001678   | 0.008632 ± 0.004568  |        0 ± 0         |  0.02718 ± 0.01922  |         0 ± 0         |  0.04171 ± 0.01983   | 0 ± 0  | 0 ± 0  | 0.004105 ± 0.0003429  |
| Bin17  |  0.003307 ± 0.00124  | 0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.005034 ± 0.002126  | 0 ± 0  | 0 ± 0  | 0.003265 ± 0.0002925  |
| Bin18  | 0.002755 ± 0.001135  | 0.001726 ± 0.004568  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.004482 ± 0.004706  | 0 ± 0  | 0 ± 0  |   0.04669 ± 0.04366   |
| Bin19  | 0.003253 ± 0.001239  |  0.001726 ± 0.00386  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.00498 ± 0.004054  | 0 ± 0  | 0 ± 0  |  0.002652 ± 0.000258  |
