+--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ          |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |   0.1871 ± 0.009247    |    0.3712 ± 0.0328    |   0.2022 ± 0.1228    |  0.1767 ± 0.06518   |    0.191 ± 0.09272    |     1.128 ± 0.1706     | 0 ± 0  |  0 ± 0  |    0.8536 ± 0.1691     |
| Bin2   |   0.08926 ± 0.006388   |   0.1122 ± 0.01867    |  0.09803 ± 0.08608   |  0.08154 ± 0.03844  |  0.002937 ± 0.003597  |    0.384 ± 0.09638     | 0 ± 0  |  0 ± 0  |    0.2796 ± 0.08734    |
| Bin3   |   0.03925 ± 0.004241   |  0.02244 ± 0.009917   | 0.006197 ± 0.006197  | -0.01359 ± 0.01359  | -0.002937 ± 0.002077  |   0.05137 ± 0.01854    | 0 ± 0  |  0 ± 0  |   0.07521 ± 0.04367    |
| Bin4   |   0.01695 ± 0.002795   |  0.006905 ± 0.007324  |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.02386 ± 0.00784    | 0 ± 0  |  0 ± 0  |  0.01136 ± 0.0005837   |
| Bin5   |  0.008689 ± 0.001988   |  0.008632 ± 0.00386   |        0 ± 0         |  0.02718 ± 0.01922  |   0.04628 ± 0.04633   |   0.09078 ± 0.05034    | 0 ± 0  |  0 ± 0  |   0.04822 ± 0.04366    |
| Bin6   |  0.003485 ± 0.001317   |  0.005179 ± 0.00299   |        0 ± 0         |  0.02718 ± 0.01922  |  0.001469 ± 0.001469  |   0.03731 ± 0.01955    | 0 ± 0  |  0 ± 0  |  0.002144 ± 0.0001992  |
| Bin7   |  0.002469 ± 0.001041   |     0 ± 0.002441      |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002469 ± 0.002654   | 0 ± 0  |  0 ± 0  |  0.001547 ± 0.0002293  |
| Bin8   | 0.0009753 ± 0.0005834  |  0.005179 ± 0.00299   |        0 ± 0         |        0 ± 0        |  0.001469 ± 0.001469  |  0.007623 ± 0.003382   | 0 ± 0  |  0 ± 0  |  0.001254 ± 0.0002174  |
| Bin9   |  0.001992 ± 0.0009958  |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.001992 ± 0.0009958  | 0 ± 0  |  0 ± 0  | 0.0006664 ± 0.0001389  |
| Bin10  |  0.001992 ± 0.0009958  |  0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.003718 ± 0.001993   | 0 ± 0  |  0 ± 0  | 0.0004393 ± 8.314e-05  |
| Bin11  |  0.001207 ± 0.0007352  |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.001207 ± 0.0007352  | 0 ± 0  |  0 ± 0  | 0.0005466 ± 0.0001317  |
| Bin12  | 0.0004979 ± 0.0004979  |         0 ± 0         |        0 ± 0         |        0 ± 0        |  0.001469 ± 0.001469  |  0.001966 ± 0.001551   | 0 ± 0  |  0 ± 0  | 0.0001864 ± 5.325e-05  |
| Bin13  |         0 ± 0          | -0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  -0.001726 ± 0.001726  | 0 ± 0  | -0 ± 0  | 9.319e-05 ± 3.994e-05  |
| Bin14  |  0.001207 ± 0.0007352  |         0 ± 0         |        0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |    0.0148 ± 0.01361    | 0 ± 0  |  0 ± 0  |  0.0001731 ± 4.8e-05   |
| Bin15  | 0.0004979 ± 0.0004979  |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.0004979 ± 0.0004979  | 0 ± 0  |  0 ± 0  | 0.0001464 ± 4.416e-05  |
| Bin16  |         0 ± 0          |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  | 7.988e-05 ± 3.261e-05  |
| Bin17  | 0.0004979 ± 0.0004979  |  0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002224 ± 0.001797   | 0 ± 0  |  0 ± 0  | 3.994e-05 ± 2.306e-05  |
| Bin18  | 0.0004979 ± 0.0004979  |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.0004979 ± 0.0004979  | 0 ± 0  |  0 ± 0  | 5.325e-05 ± 2.663e-05  |
| Bin19  |         0 ± 0          |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  | 2.663e-05 ± 2.663e-05  |
| Bin20  | 0.0004979 ± 0.0004979  |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.0004979 ± 0.0004979  | 0 ± 0  |  0 ± 0  | 1.331e-05 ± 1.331e-05  |
| Bin21  |  0.001759 ± 0.0008896  |  0.001726 ± 0.001726  |        0 ± 0         |  0.02718 ± 0.02718  | -0.002937 ± 0.002077  |   0.02773 ± 0.02733    | 0 ± 0  |  0 ± 0  | 0.0004667 ± 0.0001304  |
+--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
