+--------+------------------------+----------------------+----------------------+--------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |         ttZ          |        Higgs         |         WZ         |         Other         |         Total          |  data  | Ratio  |          WWZ           |
|--------+------------------------+----------------------+----------------------+--------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin2   |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin3   |   0.1239 ± 0.007515    |  0.06215 ± 0.01544   |   0.1104 ± 0.08697   |  0.09513 ± 0.049   |   0.0999 ± 0.06566    |    0.4915 ± 0.1207     | 0 ± 0  | 0 ± 0  |    0.2584 ± 0.06178    |
| Bin4   |   0.09098 ± 0.006462   |   0.1053 ± 0.01786   | 0.006197 ± 0.006197  | 0.05436 ± 0.04298  |   0.1388 ± 0.08026    |    0.3957 ± 0.09321    | 0 ± 0  | 0 ± 0  |    0.1371 ± 0.06178    |
| Bin5   |   0.0445 ± 0.004474    |  0.09668 ± 0.01709   |   0.1651 ± 0.1213    | 0.04077 ± 0.02354  | -0.001469 ± 0.002544  |    0.3455 ± 0.1248     | 0 ± 0  | 0 ± 0  |    0.2595 ± 0.08734    |
| Bin6   |   0.02701 ± 0.003548   |  0.07596 ± 0.01424   |  0.01239 ± 0.008764  | 0.06795 ± 0.03039  | -0.001469 ± 0.002544  |    0.1818 ± 0.03496    | 0 ± 0  | 0 ± 0  |    0.2687 ± 0.09764    |
| Bin7   |   0.02061 ± 0.003047   |  0.04143 ± 0.01221   |     0 ± 0.008764     | 0.02718 ± 0.02718  |  0.002937 ± 0.002077  |   0.09216 ± 0.03128    | 0 ± 0  | 0 ± 0  |   0.07304 ± 0.04367    |
| Bin8   |   0.01344 ± 0.002489   |  0.04316 ± 0.01021   | 0.006197 ± 0.006197  |    0 ± 0.01922     |         0 ± 0         |    0.0628 ± 0.02277    | 0 ± 0  | 0 ± 0  |   0.06341 ± 0.04367    |
| Bin9   |  0.009337 ± 0.002125   |  0.02935 ± 0.009297  |        0 ± 0         | 0.01359 ± 0.01359  |         0 ± 0         |    0.05228 ± 0.0166    | 0 ± 0  | 0 ± 0  |   0.05577 ± 0.04367    |
| Bin10  |  0.008526 ± 0.001986   |  0.02762 ± 0.008803  |        0 ± 0         | 0.01359 ± 0.01359  |         0 ± 0         |   0.04974 ± 0.01631    | 0 ± 0  | 0 ± 0  |  0.008674 ± 0.0006262  |
| Bin11  |  0.005542 ± 0.001558   |  0.01554 ± 0.005726  |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.02108 ± 0.005934   | 0 ± 0  | 0 ± 0  |   0.09301 ± 0.06175    |
| Bin12  |  0.004801 ± 0.001511   |  0.01036 ± 0.00598   |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.01516 ± 0.006168   | 0 ± 0  | 0 ± 0  |   0.004192 ± 0.06175   |
| Bin13  |  0.001494 ± 0.0008624  |  0.01208 ± 0.005726  |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.01358 ± 0.00579    | 0 ± 0  | 0 ± 0  |   0.04695 ± 0.04366    |
| Bin14  | 0.0009958 ± 0.0007042  | 0.003453 ± 0.004883  | 0.006197 ± 0.006197  |       0 ± 0        |         0 ± 0         |   0.01065 ± 0.007921   | 0 ± 0  | 0 ± 0  |  0.001587 ± 0.0002493  |
| Bin15  |  0.00105 ± 0.0007062   | 0.003453 ± 0.003453  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.004503 ± 0.003524   | 0 ± 0  | 0 ± 0  |  0.00116 ± 0.0002154   |
| Bin16  | 0.0009958 ± 0.0007042  | 0.003453 ± 0.002441  |        0 ± 0         | 0.01359 ± 0.01359  |         0 ± 0         |   0.01804 ± 0.01383    | 0 ± 0  | 0 ± 0  |  0.001013 ± 0.0001834  |
| Bin17  | 0.0009958 ± 0.0007042  |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.0009958 ± 0.0007042  | 0 ± 0  | 0 ± 0  |  0.000895 ± 0.0002285  |
| Bin18  | 0.0004979 ± 0.0004979  | 0.001726 ± 0.001726  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.002224 ± 0.001797   | 0 ± 0  | 0 ± 0  | 0.0005466 ± 0.0001317  |
| Bin19  |  0.001207 ± 0.0007352  |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.001207 ± 0.0007352  | 0 ± 0  | 0 ± 0  | 0.0005606 ± 0.0001672  |
| Bin20  |         0 ± 0          |        0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  | 0.0002936 ± 0.0001197  |
| Bin21  |  0.002913 ± 0.001153   | 0.003453 ± 0.003453  |        0 ± 0         | 0.01359 ± 0.01359  |         0 ± 0         |   0.01996 ± 0.01407    | 0 ± 0  | 0 ± 0  |  0.001052 ± 0.0001563  |
+--------+------------------------+----------------------+----------------------+--------------------+-----------------------+------------------------+--------+--------+------------------------+
