+--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |         Total         |  data  |  Ratio  |          WWZ           |
|--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+------------------------+
| Bin0   |  0.1698 ± 0.008795   |   0.08459 ± 0.01455   |  0.09803 ± 0.08697   |  0.1087 ± 0.04298   |   0.09549 ± 0.06561   |    0.5566 ± 0.1183    | 0 ± 0  |  0 ± 0  |    0.5144 ± 0.04382    |
| Bin1   |  0.01219 ± 0.002266  |  0.01036 ± 0.004883   |        0 ± 0         |        0 ± 0        |  0.002937 ± 0.002077  |   0.02548 ± 0.00577   | 0 ± 0  |  0 ± 0  |   0.05579 ± 0.04367    |
| Bin2   | 0.008799 ± 0.001927  |  0.008632 ± 0.005179  |  0.09183 ± 0.08586   |        0 ± 0        |  0.001469 ± 0.002544  |   0.1107 ± 0.08607    | 0 ± 0  |  0 ± 0  |    0.1393 ± 0.07563    |
| Bin3   |   0.01103 ± 0.0022   |  0.005179 ± 0.005179  | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |         0 ± 0         |    0.036 ± 0.01596    | 0 ± 0  |  0 ± 0  |  0.006185 ± 0.0004312  |
| Bin4   | 0.007822 ± 0.001902  |  0.01208 ± 0.007118   |        0 ± 0         |     0 ± 0.01922     |   0.04481 ± 0.0463    |   0.06472 ± 0.05067   | 0 ± 0  |  0 ± 0  |  0.004665 ± 0.0003676  |
| Bin5   |  0.006416 ± 0.00165  |  0.006905 ± 0.006905  |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01332 ± 0.0071    | 0 ± 0  |  0 ± 0  |  0.003331 ± 0.0002769  |
| Bin6   |  0.00832 ± 0.001966  |  0.01036 ± 0.004229   |        0 ± 0         | -0.01359 ± 0.01359  |     0 ± 0.002077      |  0.005088 ± 0.01452   | 0 ± 0  |  0 ± 0  |  0.002159 ± 0.000245   |
| Bin7   | 0.006458 ± 0.001742  |  0.003453 ± 0.004229  |  0.01239 ± 0.008764  |        0 ± 0        |         0 ± 0         |   0.0223 ± 0.009885   | 0 ± 0  |  0 ± 0  |  0.001854 ± 0.0002577  |
| Bin8   |  0.01011 ± 0.002122  |     0 ± 0.004229      |        0 ± 0         |        0 ± 0        |   0.04481 ± 0.0463    |   0.05492 ± 0.04654   | 0 ± 0  |  0 ± 0  |  0.001119 ± 0.000158   |
