+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |  0.001705 ± 0.000888   |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.001705 ± 0.000888   | 0 ± 0  |  0 ± 0  | 0.0002396 ± 5.648e-05  |
| Bin2   |  0.003178 ± 0.001173   |  0.006905 ± 0.003453  |  0.006197 ± 0.006197  |  0.02718 ± 0.02718  |         0 ± 0         |   0.04346 ± 0.02812    | 0 ± 0  |  0 ± 0  |  0.002666 ± 0.0002772  |
| Bin3   |  0.008601 ± 0.002025   |  0.01208 ± 0.005726   |         0 ± 0         |  0.02718 ± 0.01922  |         0 ± 0         |   0.04787 ± 0.02016    | 0 ± 0  |  0 ± 0  |   0.01109 ± 0.00057    |
| Bin4   |   0.01204 ± 0.002408   |  0.02244 ± 0.007118   |         0 ± 0         |  0.01359 ± 0.02354  |  0.002937 ± 0.002077  |    0.05101 ± 0.0248    | 0 ± 0  |  0 ± 0  |   0.0237 ± 0.0008377   |
| Bin5   |   0.01842 ± 0.002951   |  0.01726 ± 0.006459   |         0 ± 0         |  0.02718 ± 0.01922  |  0.002937 ± 0.002077  |    0.0658 ± 0.0206     | 0 ± 0  |  0 ± 0  |  0.03442 ± 0.0009312   |
| Bin6   |   0.02236 ± 0.003222   |  0.02072 ± 0.006905   |  -0.006197 ± 0.01073  |  0.01359 ± 0.01359  |  0.002937 ± 0.002077  |    0.0534 ± 0.01903    | 0 ± 0  |  0 ± 0  |  -0.002782 ± 0.04368   |
| Bin7   |   0.02545 ± 0.003301   |  0.04661 ± 0.009612   |   0.08563 ± 0.08563   |  0.01359 ± 0.02354  | -0.002937 ± 0.002077  |    0.1684 ± 0.08941    | 0 ± 0  |  0 ± 0  |    0.1316 ± 0.06176    |
| Bin8   |   0.02495 ± 0.003415   |  0.03971 ± 0.008279   |         0 ± 0         |  0.01359 ± 0.01359  |  0.001469 ± 0.002544  |   0.07972 ± 0.01647    | 0 ± 0  |  0 ± 0  |    0.1326 ± 0.06176    |
| Bin9   |   0.02511 ± 0.003421   |   0.01899 ± 0.00897   |  0.006197 ± 0.006197  |  0.01359 ± 0.01359  | -0.001469 ± 0.001469  |   0.06242 ± 0.01782    | 0 ± 0  |  0 ± 0  |   0.08972 ± 0.04368    |
| Bin10  |   0.02989 ± 0.003681   |  0.02417 ± 0.009766   |         0 ± 0         |  0.01359 ± 0.03039  | -0.001469 ± 0.002544  |   0.06619 ± 0.03223    | 0 ± 0  |  0 ± 0  |   0.08322 ± 0.04367    |
| Bin11  |   0.01893 ± 0.002894   |  0.02072 ± 0.009456   |  0.006197 ± 0.006197  |        0 ± 0        |   0.04481 ± 0.04635   |   0.09066 ± 0.04779    | 0 ± 0  |  0 ± 0  |   0.07851 ± 0.04367    |
| Bin12  |   0.01994 ± 0.00305    |   0.04834 ± 0.01145   |         0 ± 0         |  0.02718 ± 0.01922  |     0 ± 0.002937      |   0.09546 ± 0.02277    | 0 ± 0  |  0 ± 0  |  0.02994 ± 0.0009014   |
| Bin13  |   0.01856 ± 0.002926   |  0.02072 ± 0.007324   |   0.09183 ± 0.08586   |        0 ± 0        |   0.04775 ± 0.0463    |    0.1788 ± 0.09786    | 0 ± 0  |  0 ± 0  |    0.1123 ± 0.06176    |
| Bin14  |   0.01359 ± 0.002504   |  0.02762 ± 0.008097   |   0.08563 ± 0.08563   |  0.04077 ± 0.02354  |   0.04628 ± 0.04633   |    0.2139 ± 0.1005     | 0 ± 0  |  0 ± 0  |    0.1547 ± 0.07563    |
| Bin15  |   0.01037 ± 0.002141   |  0.02417 ± 0.008457   |         0 ± 0         |  0.01359 ± 0.02354  | -0.001469 ± 0.001469  |   0.04666 ± 0.02515    | 0 ± 0  |  0 ± 0  |   0.06184 ± 0.04367    |
| Bin16  |  0.009125 ± 0.001932   |   0.0259 ± 0.008632   |  0.006197 ± 0.006197  |        0 ± 0        |  0.002937 ± 0.002077  |    0.04415 ± 0.011     | 0 ± 0  |  0 ± 0  |    0.0588 ± 0.04367    |
| Bin17  |   0.01166 ± 0.002291   |  0.02417 ± 0.009766   |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         |   0.04203 ± 0.01179    | 0 ± 0  |  0 ± 0  |   0.05681 ± 0.04367    |
| Bin18  |   0.01029 ± 0.002176   |  0.01726 ± 0.008457   |         0 ± 0         |        0 ± 0        |   0.04628 ± 0.04628   |    0.07383 ± 0.0471    | 0 ± 0  |  0 ± 0  |  0.01052 ± 0.0006055   |
| Bin19  |   0.01036 ± 0.002212   |  0.02072 ± 0.007324   |         0 ± 0         | -0.01359 ± 0.01359  |   0.04775 ± 0.0463    |   0.06523 ± 0.04886    | 0 ± 0  |  0 ± 0  |   -0.03332 ± 0.04367   |
