+--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |         ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  | Ratio  |          WWZ           |
|--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |  0.006432 ± 0.001706   |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.006432 ± 0.001706   | 0 ± 0  | 0 ± 0  |  0.00048 ± 0.0001283   |
| Bin2   |    0.2226 ± 0.01001    |  0.01036 ± 0.004883  | -0.006197 ± 0.006197  |        0 ± 0        |  0.001469 ± 0.001469  |    0.2283 ± 0.01283    | 0 ± 0  | 0 ± 0  |    0.1432 ± 0.07563    |
| Bin3   |    0.8031 ± 0.01903    |  0.05006 ± 0.01303   |         0 ± 0         | -0.01359 ± 0.01359  |         0 ± 0         |    0.8395 ± 0.02677    | 0 ± 0  | 0 ± 0  |   0.08891 ± 0.04368    |
| Bin4   |    1.666 ± 0.02742     |  0.07941 ± 0.01563   |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         |    1.752 ± 0.03217     | 0 ± 0  | 0 ± 0  |    0.2969 ± 0.09765    |
| Bin5   |    2.686 ± 0.03475     |  0.07251 ± 0.01544   |  0.006197 ± 0.006197  |  0.06968 ± 0.05771  |     0 ± 0.002077      |    2.834 ± 0.06942     | 0 ± 0  | 0 ± 0  |    0.1911 ± 0.06179    |
| Bin6   |    3.859 ± 0.04143     |   0.107 ± 0.01544    |  -0.07944 ± 0.08586   |  0.05609 ± 0.05609  |  0.004406 ± 0.002544  |     3.947 ± 0.1117     | 0 ± 0  | 0 ± 0  |    0.3265 ± 0.09766    |
| Bin7   |    5.383 ± 0.04878     |  0.07078 ± 0.01392   |    0.1713 ± 0.1214    |  0.04329 ± 0.06363  | -0.001469 ± 0.003284  |     5.667 ± 0.1462     | 0 ± 0  | 0 ± 0  |    0.1392 ± 0.0437     |
| Bin8   |    7.276 ± 0.05673     |   0.0587 ± 0.01245   |         0 ± 0         |  0.02718 ± 0.01922  |  0.002937 ± 0.002937  |    7.365 ± 0.06125     | 0 ± 0  | 0 ± 0  |    0.1767 ± 0.06177    |
| Bin9   |    8.599 ± 0.06169     |  0.06733 ± 0.01303   |   0.1104 ± 0.08652    |  0.1376 ± 0.06522   | -0.002937 ± 0.002937  |     8.911 ± 0.1254     | 0 ± 0  | 0 ± 0  |    0.2128 ± 0.09764    |
| Bin10  |    9.781 ± 0.06586     |  0.02762 ± 0.01145   |  -0.09183 ± 0.08586   |  0.05436 ± 0.02718  |  0.004406 ± 0.003885  |     9.775 ± 0.1122     | 0 ± 0  | 0 ± 0  |    0.1178 ± 0.04368    |
| Bin11  |    10.72 ± 0.06897     | 0.006905 ± 0.009766  |   0.02479 ± 0.01239   |  0.08154 ± 0.03844  |   0.04775 ± 0.0463    |    10.88 ± 0.09288     | 0 ± 0  | 0 ± 0  |    0.1548 ± 0.06176    |
| Bin12  |     11.6 ± 0.07156     |  0.01899 ± 0.009297  |  0.006197 ± 0.006197  | -0.01359 ± 0.01359  |   0.05068 ± 0.04639   |    11.66 ± 0.08708     | 0 ± 0  | 0 ± 0  |    0.1049 ± 0.04368    |
| Bin13  |    9.799 ± 0.06541     |  0.01899 ± 0.007118  |      0 ± 0.01239      |  0.09513 ± 0.03596  |  0.002937 ± 0.002937  |    9.916 ± 0.07606     | 0 ± 0  | 0 ± 0  |    0.181 ± 0.07563     |
| Bin14  |    2.964 ± 0.03564     | 0.006905 ± 0.004883  |   0.09183 ± 0.08586   |        0 ± 0        |   0.09256 ± 0.06548   |     3.155 ± 0.1138     | 0 ± 0  | 0 ± 0  |   0.05983 ± 0.04367    |
| Bin15  |    0.9124 ± 0.01948    |  0.001726 ± 0.00299  |         0 ± 0         |  0.01359 ± 0.01359  | -0.001469 ± 0.001469  |    0.9262 ± 0.02398    | 0 ± 0  | 0 ± 0  |  0.004873 ± 0.0002629  |
| Bin16  |    0.2586 ± 0.01033    | 0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |    0.2604 ± 0.01047    | 0 ± 0  | 0 ± 0  |  0.001665 ± 0.0001815  |
| Bin17  |   0.03121 ± 0.003461   |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.03121 ± 0.003461   | 0 ± 0  | 0 ± 0  | 0.0001864 ± 4.981e-05  |
| Bin18  | 5.423e-05 ± 5.423e-05  |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         | 5.423e-05 ± 5.423e-05  | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin19  |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin20  |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin21  |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
+--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
