+--------+------------------------+----------------------+----------------------+----------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |         ttZ          |        Higgs         |          WZ          |         Other         |        Total         |  data  | Ratio  |          WWZ           |
|--------+------------------------+----------------------+----------------------+----------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0         |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |    10.43 ± 0.06796     | 0.003453 ± 0.003453  |        0 ± 0         |        0 ± 0         | -0.001469 ± 0.001469  |   10.43 ± 0.06806    | 0 ± 0  | 0 ± 0  |    0.1083 ± 0.06175    |
| Bin2   |    21.99 ± 0.09862     |  0.01899 ± 0.006686  | -0.006197 ± 0.01386  |   0.1801 ± 0.08494   | -0.001469 ± 0.002544  |    22.19 ± 0.1311    | 0 ± 0  | 0 ± 0  |   0.05886 ± 0.06176    |
| Bin3   |     19.7 ± 0.09319     |  0.04143 ± 0.01064   |  -0.07944 ± 0.08586  |  0.04077 ± 0.03039   | -0.001469 ± 0.002544  |    19.71 ± 0.1308    | 0 ± 0  | 0 ± 0  |    0.2628 ± 0.08734    |
| Bin4   |     12.49 ± 0.0742     |  0.02935 ± 0.009917  |  -0.006197 ± 0.1213  |  0.05609 ± 0.06233   |   0.04628 ± 0.04628   |    12.62 ± 0.1623    | 0 ± 0  | 0 ± 0  |   0.1056 ± 0.001692    |
| Bin5   |    6.515 ± 0.05357     |  0.03453 ± 0.01064   |   0.1042 ± 0.0863    |  0.06795 ± 0.03039   | -0.001469 ± 0.003885  |    6.72 ± 0.1066     | 0 ± 0  | 0 ± 0  |    0.1949 ± 0.06177    |
| Bin6   |    2.953 ± 0.03608     |   0.06733 ± 0.0128   |  0.01859 ± 0.01073   | 0.0007926 ± 0.02679  |  0.001469 ± 0.002544  |   3.042 ± 0.04801    | 0 ± 0  | 0 ± 0  |    0.2296 ± 0.07565    |
| Bin7   |    1.285 ± 0.02383     |  0.04661 ± 0.01257   |  0.09183 ± 0.08586   |  0.05436 ± 0.03329   |   0.09843 ± 0.06555   |    1.577 ± 0.1162    | 0 ± 0  | 0 ± 0  |    0.2596 ± 0.08734    |
| Bin8   |     0.54 ± 0.01554     |  0.05006 ± 0.01132   | 0.006197 ± 0.006197  |  0.02718 ± 0.01922   |   0.04922 ± 0.04637   |   0.6726 ± 0.05411   | 0 ± 0  | 0 ± 0  |    0.1993 ± 0.07564    |
| Bin9   |    0.2436 ± 0.01043    |  0.05006 ± 0.01184   |  0.01239 ± 0.008764  |  0.05609 ± 0.05609   |  0.004406 ± 0.002544  |   0.3666 ± 0.05897   | 0 ± 0  | 0 ± 0  |   0.09729 ± 0.04368    |
| Bin10  |   0.1147 ± 0.007149    |  0.04316 ± 0.01158   |  0.006197 ± 0.01073  |  0.05436 ± 0.02718   |  0.002937 ± 0.002077  |   0.2213 ± 0.0323    | 0 ± 0  | 0 ± 0  |   0.0427 ± 0.001234    |
| Bin11  |   0.0826 ± 0.006056    |  0.02417 ± 0.009456  |        0 ± 0         |        0 ± 0         |  0.002937 ± 0.002077  |   0.1097 ± 0.01142   | 0 ± 0  | 0 ± 0  |   0.03426 ± 0.001174   |
| Bin12  |   0.04173 ± 0.004334   |  0.02935 ± 0.009917  |        0 ± 0         |        0 ± 0         |     0 ± 0.002077      |  0.07107 ± 0.01102   | 0 ± 0  | 0 ± 0  |    0.1112 ± 0.06176    |
| Bin13  |   0.03532 ± 0.003972   |  0.01381 ± 0.008803  |        0 ± 0         |        0 ± 0         |         0 ± 0         |  0.04913 ± 0.009658  | 0 ± 0  | 0 ± 0  |    0.1083 ± 0.06176    |
| Bin14  |   0.02903 ± 0.003602   |  0.03107 ± 0.009456  |        0 ± 0         |        0 ± 0         |         0 ± 0         |   0.0601 ± 0.01012   | 0 ± 0  | 0 ± 0  |  0.01564 ± 0.0008177   |
| Bin15  |   0.01734 ± 0.002838   |  0.0328 ± 0.008632   |  0.08563 ± 0.08563   |        0 ± 0         | -0.001469 ± 0.001469  |   0.1343 ± 0.08613   | 0 ± 0  | 0 ± 0  |   0.05543 ± 0.04367    |
| Bin16  |   0.01251 ± 0.002278   | 0.006905 ± 0.007324  |        0 ± 0         |        0 ± 0         |         0 ± 0         |  0.01941 ± 0.00767   | 0 ± 0  | 0 ± 0  |  0.008631 ± 0.0005906  |
| Bin17  |    0.0145 ± 0.00263    |  0.01036 ± 0.005459  |        0 ± 0         |        0 ± 0         |         0 ± 0         |  0.02486 ± 0.00606   | 0 ± 0  | 0 ± 0  |  0.007927 ± 0.0006005  |
| Bin18  |   0.01002 ± 0.002165   |  0.01036 ± 0.006459  | 0.006197 ± 0.006197  |        0 ± 0         |  0.001469 ± 0.001469  |  0.02804 ± 0.009326  | 0 ± 0  | 0 ± 0  |  0.005734 ± 0.0004465  |
| Bin19  |   0.00985 ± 0.002053   |  0.01726 ± 0.005459  |        0 ± 0         |        0 ± 0         |         0 ± 0         |  0.02711 ± 0.005832  | 0 ± 0  | 0 ± 0  |  0.005549 ± 0.0004655  |
