+--------+---------------------+-----------------------+-----------------------+----------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin#   |         ZZ          |          ttZ          |         Higgs         |          WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ           |
|--------+---------------------+-----------------------+-----------------------+----------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |         0 ± 0         |        0 ± 0         |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |   6.334 ± 0.05493   |         0 ± 0         |         0 ± 0         |  0.01359 ± 0.01359   |         0 ± 0         |   6.348 ± 0.05658   | 0 ± 0  | 0 ± 0  |  0.004998 ± 0.0003754  |
| Bin2   |   10.67 ± 0.0707    |  0.001726 ± 0.004568  |         0 ± 0         |        0 ± 0         | -0.001469 ± 0.001469  |   10.67 ± 0.07086   | 0 ± 0  | 0 ± 0  |  0.01474 ± 0.0006291   |
| Bin3   |   9.398 ± 0.06564   |  0.003453 ± 0.003453  |         0 ± 0         |     0 ± 0.01922      |         0 ± 0         |   9.402 ± 0.06848   | 0 ± 0  | 0 ± 0  |  0.02325 ± 0.0007741   |
| Bin4   |   7.779 ± 0.05909   |  0.005179 ± 0.00386   |     0 ± 0.008764      |  0.02718 ± 0.01922   |   0.04628 ± 0.04628   |   7.857 ± 0.07806   | 0 ± 0  | 0 ± 0  |   0.0304 ± 0.0008088   |
| Bin5   |   6.214 ± 0.05228   |  0.01381 ± 0.005459   |         0 ± 0         |     0 ± 0.01922      |  0.001469 ± 0.001469  |   6.229 ± 0.05599   | 0 ± 0  | 0 ± 0  |  0.03881 ± 0.0009343   |
| Bin6   |   5.059 ± 0.0469    |  0.01726 ± 0.006905   |         0 ± 0         |  0.02718 ± 0.01922   |     0 ± 0.002077      |   5.103 ± 0.0512    | 0 ± 0  | 0 ± 0  |   0.04425 ± 0.001029   |
| Bin7   |   4.191 ± 0.04234   |  0.005179 ± 0.005179  |  0.01239 ± 0.008764   |  0.02718 ± 0.01922   |   0.04628 ± 0.04628   |   4.282 ± 0.06639   | 0 ± 0  | 0 ± 0  |    0.1332 ± 0.06176    |
| Bin8   |   3.437 ± 0.03815   |  0.01381 ± 0.006459   |         0 ± 0         |  0.06968 ± 0.05771   |  0.001469 ± 0.002544  |   3.522 ± 0.06952   | 0 ± 0  | 0 ± 0  |   0.04971 ± 0.06176    |
| Bin9   |   2.855 ± 0.03449   |  0.01381 ± 0.006905   |   0.08563 ± 0.08563   |  0.02718 ± 0.01922   |  0.004406 ± 0.003284  |   2.986 ± 0.09461   | 0 ± 0  | 0 ± 0  |    0.1379 ± 0.06176    |
| Bin10  |   2.449 ± 0.03188   |  0.003453 ± 0.00598   |         0 ± 0         |  0.08327 ± 0.06233   |  0.002937 ± 0.002077  |   2.539 ± 0.07029   | 0 ± 0  | 0 ± 0  |   0.05046 ± 0.001186   |
| Bin11  |   2.082 ± 0.02928   |  0.006905 ± 0.004883  |  0.006197 ± 0.006197  |     0 ± 0.01922      | -0.001469 ± 0.002544  |   2.094 ± 0.03599   | 0 ± 0  | 0 ± 0  |   0.04796 ± 0.001109   |
| Bin12  |   1.775 ± 0.0269    |  0.008632 ± 0.007911  |     0 ± 0.008764      |  0.02718 ± 0.01922   |     0 ± 0.002077      |   1.811 ± 0.03517   | 0 ± 0  | 0 ± 0  |   0.08827 ± 0.04368    |
| Bin13  |   1.532 ± 0.02492   |  0.02244 ± 0.008279   |         0 ± 0         |  0.01359 ± 0.01359   |   0.04628 ± 0.04633   |   1.615 ± 0.05496   | 0 ± 0  | 0 ± 0  |    0.1274 ± 0.06176    |
| Bin14  |   1.351 ± 0.02325   |   0.0259 ± 0.007525   |         0 ± 0         |  0.06968 ± 0.05771   |  0.002937 ± 0.002937  |   1.449 ± 0.06274   | 0 ± 0  | 0 ± 0  |    0.1264 ± 0.06176    |
| Bin15  |   1.203 ± 0.02207   |   0.02072 ± 0.00772   |         0 ± 0         |  0.01359 ± 0.01359   |     0 ± 0.002077      |   1.238 ± 0.02713   | 0 ± 0  | 0 ± 0  |   0.07693 ± 0.04367    |
| Bin16  |   1.082 ± 0.02086   |  0.02417 ± 0.007324   |         0 ± 0         |        0 ± 0         |  0.001469 ± 0.001469  |   1.107 ± 0.02215   | 0 ± 0  | 0 ± 0  |    0.1174 ± 0.06176    |
| Bin17  |  0.8842 ± 0.01879   |  0.01036 ± 0.006905   |   0.08563 ± 0.08563   |  0.01359 ± 0.01359   |   0.04628 ± 0.04628   |    1.04 ± 0.1003    | 0 ± 0  | 0 ± 0  |  0.02717 ± 0.0009635   |
| Bin18  |  0.7985 ± 0.01802   |  0.01726 ± 0.006459   |  0.006197 ± 0.006197  |  0.01359 ± 0.01359   | -0.001469 ± 0.002544  |  0.8341 ± 0.02441   | 0 ± 0  | 0 ± 0  |  0.02377 ± 0.0008812   |
| Bin19  |   0.7126 ± 0.017    |  0.01726 ± 0.007324   |         0 ± 0         |  0.02718 ± 0.01922   |     0 ± 0.002077      |   0.757 ± 0.02676   | 0 ± 0  | 0 ± 0  |  0.02082 ± 0.0008052   |
