+--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ         |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |    8.432 ± 0.06175     |     0 ± 0.002441      |  -0.08563 ± 0.08563   |       0 ± 0        |         0 ± 0         |     8.347 ± 0.1056     | 0 ± 0  |  0 ± 0  |   0.05371 ± 0.04367    |
| Bin2   |    17.09 ± 0.08744     |  0.008632 ± 0.005726  |         0 ± 0         | 0.05609 ± 0.05609  |  0.001469 ± 0.001469  |     17.15 ± 0.104      | 0 ± 0  |  0 ± 0  |    0.1593 ± 0.07563    |
| Bin3   |    16.26 ± 0.08472     |  0.008632 ± 0.005726  |      0 ± 0.01239      |       0 ± 0        |         0 ± 0         |    16.26 ± 0.08581     | 0 ± 0  |  0 ± 0  |   0.04464 ± 0.06176    |
| Bin4   |     12.46 ± 0.0739     |  0.02935 ± 0.008632   |   0.09183 ± 0.08586   | 0.08327 ± 0.06233  | -0.001469 ± 0.001469  |     12.67 ± 0.1296     | 0 ± 0  |  0 ± 0  |    0.1036 ± 0.04368    |
| Bin5   |    8.436 ± 0.06058     |  0.02935 ± 0.008279   |  0.01239 ± 0.008764   | 0.06795 ± 0.03039  |   0.08815 ± 0.0655    |    8.634 ± 0.09502     | 0 ± 0  |  0 ± 0  |   0.06909 ± 0.001345   |
| Bin6   |    5.321 ± 0.04806     |   0.03625 ± 0.00897   |  -0.09183 ± 0.08586   | 0.01359 ± 0.01359  |  0.002937 ± 0.002077  |    5.282 ± 0.09975     | 0 ± 0  |  0 ± 0  |    0.1618 ± 0.06177    |
| Bin7   |    3.315 ± 0.03789     |  0.02417 ± 0.008457   |   0.09183 ± 0.08586   | 0.05688 ± 0.06216  |  0.001469 ± 0.002544  |     3.489 ± 0.1129     | 0 ± 0  |  0 ± 0  |    0.1602 ± 0.06176    |
| Bin8   |    1.968 ± 0.02918     |  0.01899 ± 0.009297   |   0.08563 ± 0.08563   |  0.1512 ± 0.06662  |  0.001469 ± 0.003284  |     2.226 ± 0.1128     | 0 ± 0  |  0 ± 0  |    0.2009 ± 0.07564    |
| Bin9   |    1.225 ± 0.02316     |   0.02244 ± 0.01021   |  0.01239 ± 0.008764   |    0 ± 0.01922     |   0.04481 ± 0.04635   |    1.305 ± 0.05688     | 0 ± 0  |  0 ± 0  |    0.1516 ± 0.06176    |
| Bin10  |    0.7402 ± 0.01803    |  0.04316 ± 0.009917   |  0.006197 ± 0.006197  |    0 ± 0.02718     |   0.04628 ± 0.04633   |    0.8358 ± 0.05785    | 0 ± 0  |  0 ± 0  |    0.1023 ± 0.04368    |
| Bin11  |    0.4192 ± 0.01359    |   0.04316 ± 0.01021   |     0 ± 0.008764      | 0.02718 ± 0.01922  |  0.002937 ± 0.002077  |    0.4925 ± 0.02719    | 0 ± 0  |  0 ± 0  |   0.09331 ± 0.04368    |
| Bin12  |    0.2463 ± 0.01032    |   0.04489 ± 0.01119   |         0 ± 0         | 0.02718 ± 0.01922  |  0.004406 ± 0.002544  |    0.3228 ± 0.02465    | 0 ± 0  |  0 ± 0  |   0.08424 ± 0.04368    |
| Bin13  |   0.1729 ± 0.008724    |  0.02072 ± 0.008097   |  0.006197 ± 0.006197  | 0.04077 ± 0.02354  |     0 ± 0.002077      |    0.2406 ± 0.02718    | 0 ± 0  |  0 ± 0  |   0.07958 ± 0.04368    |
| Bin14  |   0.0998 ± 0.006596    |  0.02762 ± 0.009135   |   0.01859 ± 0.01073   | 0.01359 ± 0.01359  |  0.001469 ± 0.001469  |    0.1611 ± 0.02071    | 0 ± 0  |  0 ± 0  |   0.07441 ± 0.04368    |
| Bin15  |   0.08078 ± 0.006049   |  0.02072 ± 0.008803   | -0.006197 ± 0.006197  |       0 ± 0        |  0.001469 ± 0.002544  |   0.09677 ± 0.01261    | 0 ± 0  |  0 ± 0  |   0.02693 ± 0.001007   |
| Bin16  |   0.0582 ± 0.005123    |   0.0328 ± 0.008632   |  0.006197 ± 0.006197  |       0 ± 0        |  0.001469 ± 0.001469  |   0.09867 ± 0.01189    | 0 ± 0  |  0 ± 0  |  0.02185 ± 0.0009299   |
| Bin17  |   0.03861 ± 0.004223   |  0.01726 ± 0.008803   |         0 ± 0         |       0 ± 0        |  0.001469 ± 0.001469  |   0.05735 ± 0.009873   | 0 ± 0  |  0 ± 0  |   0.06155 ± 0.04367    |
| Bin18  |   0.03271 ± 0.003845   |  0.02762 ± 0.008457   |         0 ± 0         |       0 ± 0        | -0.001469 ± 0.001469  |   0.05887 ± 0.009406   | 0 ± 0  |  0 ± 0  |   0.05961 ± 0.04367    |
| Bin19  |   0.02421 ± 0.003315   |  0.006905 ± 0.00598   |         0 ± 0         |       0 ± 0        |  0.002937 ± 0.002077  |   0.03405 ± 0.007146   | 0 ± 0  |  0 ± 0  |  0.01352 ± 0.0007793   |
