+--------+----------------------+-----------------------+-----------------------+---------------------+----------------------+----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ          |        Other         |        Total         |  data  | Ratio  |          WWZ           |
|--------+----------------------+-----------------------+-----------------------+---------------------+----------------------+----------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |    53.73 ± 0.154     |   0.4005 ± 0.03538    |    0.3921 ± 0.173     |  0.2753 ± 0.09616   |   0.1447 ± 0.0804    |    54.94 ± 0.2657    | 0 ± 0  | 0 ± 0  |     1.508 ± 0.1953     |
| Bin2   |   14.51 ± 0.08002    |   0.1243 ± 0.01953    |   -0.1527 ± 0.1216    |  0.1656 ± 0.07308   |  0.04775 ± 0.04653   |    14.69 ± 0.1705    | 0 ± 0  | 0 ± 0  |     0.4738 ± 0.131     |
| Bin3   |    4.435 ± 0.0443    |  0.04316 ± 0.009297   | -0.006197 ± 0.006197  | -0.02718 ± 0.01922  | 0.004406 ± 0.003284  |   4.449 ± 0.04967    | 0 ± 0  | 0 ± 0  |   0.09249 ± 0.04368    |
| Bin4   |   1.719 ± 0.02761    |  0.008632 ± 0.006686  |         0 ± 0         |  0.02718 ± 0.01922  |     0 ± 0.002077     |   1.755 ± 0.03436    | 0 ± 0  | 0 ± 0  |  0.01837 ± 0.0007666   |
| Bin5   |   0.7781 ± 0.01858   |  0.01554 ± 0.006224   |  0.006197 ± 0.006197  |  0.06968 ± 0.05771  | 0.001469 ± 0.001469  |   0.871 ± 0.06128    | 0 ± 0  | 0 ± 0  |  0.007998 ± 0.0004931  |
| Bin6   |   0.4602 ± 0.0144    |  0.006905 ± 0.003453  |         0 ± 0         |        0 ± 0        | 0.001469 ± 0.001469  |   0.4685 ± 0.01488   | 0 ± 0  | 0 ± 0  |  0.00349 ± 0.0002851   |
| Bin7   |   0.2546 ± 0.01076   | -0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.2529 ± 0.01089   | 0 ± 0  | 0 ± 0  |   0.04625 ± 0.04366    |
| Bin8   |  0.1642 ± 0.008564   |         0 ± 0         |         0 ± 0         |        0 ± 0        | 0.001469 ± 0.001469  |  0.1657 ± 0.008689   | 0 ± 0  | 0 ± 0  |  0.001666 ± 0.0002066  |
| Bin9   |  0.1088 ± 0.006979   |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.1105 ± 0.007189   | 0 ± 0  | 0 ± 0  |  0.001092 ± 0.0001614  |
| Bin10  |  0.07872 ± 0.005902  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.08044 ± 0.006149  | 0 ± 0  | 0 ± 0  |  0.0008136 ± 0.00018   |
| Bin11  |  0.0679 ± 0.005546   |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.0679 ± 0.005546   | 0 ± 0  | 0 ± 0  |   0.04396 ± 0.04366    |
| Bin12  |  0.04455 ± 0.004523  |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.04455 ± 0.00514   | 0 ± 0  | 0 ± 0  | 0.0004933 ± 0.0001317  |
| Bin13  |  0.03019 ± 0.003727  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.03019 ± 0.003727  | 0 ± 0  | 0 ± 0  | 0.0003336 ± 0.0001234  |
| Bin14  |  0.02428 ± 0.003337  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.02428 ± 0.003337  | 0 ± 0  | 0 ± 0  | 0.0001598 ± 4.612e-05  |
| Bin15  |  0.01547 ± 0.002598  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01547 ± 0.002598  | 0 ± 0  | 0 ± 0  | 0.0001464 ± 5.156e-05  |
| Bin16  |  0.01371 ± 0.002441  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01371 ± 0.002441  | 0 ± 0  | 0 ± 0  | 0.0001464 ± 4.416e-05  |
| Bin17  |  0.01567 ± 0.002718  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01567 ± 0.002718  | 0 ± 0  | 0 ± 0  | 2.663e-05 ± 1.883e-05  |
| Bin18  |  0.01384 ± 0.002525  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01384 ± 0.002525  | 0 ± 0  | 0 ± 0  | 9.319e-05 ± 3.522e-05  |
| Bin19  | 0.007705 ± 0.001841  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         | 0.007705 ± 0.001841  | 0 ± 0  | 0 ± 0  | 3.994e-05 ± 2.306e-05  |
| Bin20  |  0.00417 ± 0.001272  |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.00417 ± 0.001272  | 0 ± 0  | 0 ± 0  | 9.319e-05 ± 3.522e-05  |
| Bin21  |  0.09561 ± 0.006496  | -0.001726 ± 0.001726  |         0 ± 0         |  0.04077 ± 0.02354  |        0 ± 0         |   0.1347 ± 0.02448   | 0 ± 0  | 0 ± 0  |   0.001 ± 0.0001829    |
+--------+----------------------+-----------------------+-----------------------+---------------------+----------------------+----------------------+--------+--------+------------------------+
