+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+-----------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  |  Ratio  |          WWZ          |
|--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+-----------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |   0.01971 ± 0.003194   | -0.004773 ± 0.002756  |         0 ± 0         |  0.02693 ± 0.02693  |         0 ± 0         |   0.04187 ± 0.02726    | 0 ± 0  |  0 ± 0  |   0.04621 ± 0.04245   |
| Bin2   |   0.03984 ± 0.004524   |  0.003182 ± 0.003898  |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.04302 ± 0.005971   | 0 ± 0  |  0 ± 0  |  0.01403 ± 0.0006525  |
| Bin3   |   0.0506 ± 0.005089    |  0.009547 ± 0.005954  |  0.006836 ± 0.006836  |        0 ± 0        |         0 ± 0         |    0.06698 ± 0.0104    | 0 ± 0  |  0 ± 0  |  0.02229 ± 0.0007947  |
| Bin4   |   0.05606 ± 0.005369   |  0.01114 ± 0.004773   |  0.006836 ± 0.006836  |  0.08078 ± 0.04664  |         0 ± 0         |    0.1548 ± 0.04768    | 0 ± 0  |  0 ± 0  |  0.03216 ± 0.0009526  |
| Bin5   |   0.05468 ± 0.00526    |  0.01909 ± 0.006365   |  0.006836 ± 0.006836  |        0 ± 0        |   0.03525 ± 0.03529   |    0.1159 ± 0.03688    | 0 ± 0  |  0 ± 0  |  0.03944 ± 0.0009375  |
| Bin6   |   0.05832 ± 0.00555    |  0.01591 ± 0.005512   |         0 ± 0         |  0.02693 ± 0.02693  |     0 ± 0.001726      |    0.1012 ± 0.02809    | 0 ± 0  |  0 ± 0  |   0.04774 ± 0.06005   |
| Bin7   |   0.04352 ± 0.004713   |  0.007956 ± 0.006936  |         0 ± 0         |  0.05386 ± 0.03808  |  0.003661 ± 0.002113  |    0.109 ± 0.03905     | 0 ± 0  |  0 ± 0  |   0.1397 ± 0.06005    |
| Bin8   |   0.04415 ± 0.004769   |  0.03023 ± 0.008268   |         0 ± 0         |  0.02693 ± 0.02693  |  0.00122 ± 0.002113   |    0.1025 ± 0.02865    | 0 ± 0  |  0 ± 0  |   0.1037 ± 0.04247    |
| Bin9   |   0.03514 ± 0.004257   |  0.01909 ± 0.007795   |         0 ± 0         |  0.02693 ± 0.02693  |  0.00341 ± 0.003044   |   0.08457 ± 0.02852    | 0 ± 0  |  0 ± 0  |   0.1905 ± 0.07354    |
| Bin10  |   0.03315 ± 0.004109   |  0.02387 ± 0.007956   |  0.006836 ± 0.006836  |  0.02693 ± 0.02693  |   0.00244 ± 0.00244   |   0.09322 ± 0.02929    | 0 ± 0  |  0 ± 0  |   0.1451 ± 0.08491    |
| Bin11  |   0.03115 ± 0.003983   |  0.03182 ± 0.009809   | -0.006836 ± 0.006836  | -0.02693 ± 0.04664  |  -0.00122 ± 0.002728  |   0.02798 ± 0.04839    | 0 ± 0  |  0 ± 0  |   0.1461 ± 0.06005    |
| Bin12  |   0.02296 ± 0.003422   |  0.03547 ± 0.009787   | -0.006836 ± 0.006836  |  0.02693 ± 0.02693  |   0.04135 ± 0.03539   |    0.1199 ± 0.04617    | 0 ± 0  |  0 ± 0  |   0.1836 ± 0.07354    |
| Bin13  |   0.02776 ± 0.003765   |  0.03023 ± 0.008268   |  0.006836 ± 0.006836  |   0.1739 ± 0.1259   |   0.03403 ± 0.03527   |    0.2728 ± 0.1313     | 0 ± 0  |  0 ± 0  |   0.09668 ± 0.04247   |
| Bin14  |   0.02391 ± 0.003484   |   0.02705 ± 0.00914   |         0 ± 0         |  0.05386 ± 0.03808  |  0.004881 ± 0.00244   |    0.1097 ± 0.03939    | 0 ± 0  |  0 ± 0  |   0.2187 ± 0.08491    |
| Bin15  |   0.02177 ± 0.003335   |  0.03341 ± 0.009679   |         0 ± 0         |        0 ± 0        |     0 ± 0.001726      |   0.05518 ± 0.01038    | 0 ± 0  |  0 ± 0  |   0.1702 ± 0.07354    |
| Bin16  |   0.0177 ± 0.003006    |   0.03023 ± 0.01114   |         0 ± 0         |     0 ± 0.03808     |   0.00244 ± 0.00244   |   0.05037 ± 0.03987    | 0 ± 0  |  0 ± 0  |   0.1247 ± 0.06005    |
| Bin17  |    0.0149 ± 0.00278    |   0.02387 ± 0.01019   |  0.01367 ± 0.009668   |  0.02693 ± 0.04664  |  0.00244 ± 0.001726   |   0.08181 ± 0.04882    | 0 ± 0  |  0 ± 0  |   0.07754 ± 0.04247   |
| Bin18  |   0.01791 ± 0.003001   |  0.04137 ± 0.009809   |  0.006836 ± 0.006836  |        0 ± 0        |     0 ± 0.001726      |   0.06611 ± 0.01245    | 0 ± 0  |  0 ± 0  |   0.1158 ± 0.06005    |
| Bin19  |   0.0172 ± 0.002982    |  0.03023 ± 0.008859   | -0.006836 ± 0.006836  |        0 ± 0        |     0 ± 0.001726      |    0.0406 ± 0.01171    | 0 ± 0  |  0 ± 0  |  0.02871 ± 0.001063   |
