+--------+------------------------+-----------------------+-----------------------+---------------------+----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |        Other         |         Total          |  data  |  Ratio  |          WWZ           |
|--------+------------------------+-----------------------+-----------------------+---------------------+----------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |   0.01773 ± 0.003028   |         0 ± 0         |         0 ± 0         | -0.02693 ± 0.02693  |        0 ± 0         |   -0.009193 ± 0.0271   | 0 ± 0  | -0 ± 0  |  0.008031 ± 0.0005015  |
| Bin2   |   0.04437 ± 0.004787   |   0.0175 ± 0.006936   |         0 ± 0         |  0.02693 ± 0.02693  |        0 ± 0         |    0.0888 ± 0.02822    | 0 ± 0  |  0 ± 0  |   0.06701 ± 0.04246    |
| Bin3   |   0.0585 ± 0.005503    |   0.01432 ± 0.00656   |         0 ± 0         |  0.1077 ± 0.05386   |  0.00122 ± 0.00122   |    0.1818 ± 0.05455    | 0 ± 0  |  0 ± 0  |    0.1266 ± 0.06005    |
| Bin4   |   0.07637 ± 0.006275   |  0.02115 ± 0.009391   |         0 ± 0         |        0 ± 0        |  0.03525 ± 0.03529   |    0.1328 ± 0.03705    | 0 ± 0  |  0 ± 0  |    0.1446 ± 0.06005    |
| Bin5   |   0.0529 ± 0.005186    |  0.01591 ± 0.008715   |         0 ± 0         |  0.06619 ± 0.1259   | 0.004881 ± 0.002989  |    0.1399 ± 0.1264     | 0 ± 0  |  0 ± 0  |    0.1162 ± 0.04247    |
| Bin6   |   0.05381 ± 0.00531    |   0.0366 ± 0.01019    |         0 ± 0         |        0 ± 0        |  -0.00244 ± 0.00244  |   0.08797 ± 0.01175    | 0 ± 0  |  0 ± 0  |    0.211 ± 0.09494     |
| Bin7   |   0.04813 ± 0.004973   |   0.04296 ± 0.0118    | -0.006836 ± 0.006836  |  0.1077 ± 0.05386   | 0.004881 ± 0.003451  |    0.1969 ± 0.05588    | 0 ± 0  |  0 ± 0  |    0.2619 ± 0.08492    |
| Bin8   |   0.05785 ± 0.005447   |   0.0541 ± 0.01232    |  0.006836 ± 0.006836  |  0.05386 ± 0.03808  | 0.006101 ± 0.003228  |    0.1787 ± 0.0411     | 0 ± 0  |  0 ± 0  |    0.3032 ± 0.09494    |
| Bin9   |   0.04626 ± 0.004885   |   0.04455 ± 0.01212   |  0.01367 ± 0.009668   |  0.02693 ± 0.04664  |  0.00244 ± 0.00244   |    0.1339 ± 0.04945    | 0 ± 0  |  0 ± 0  |    0.1692 ± 0.06006    |
| Bin10  |   0.04391 ± 0.004749   |   0.06205 ± 0.01322   |         0 ± 0         |  0.02693 ± 0.02693  |  0.07171 ± 0.04989   |    0.2046 ± 0.05841    | 0 ± 0  |  0 ± 0  |    0.1624 ± 0.06006    |
| Bin11  |   0.03801 ± 0.004426   |   0.03501 ± 0.01253   |     0 ± 0.009668      |  0.05386 ± 0.03808  | 0.006101 ± 0.002728  |    0.133 ± 0.04157     | 0 ± 0  |  0 ± 0  |    0.1091 ± 0.04248    |
| Bin12  |   0.03838 ± 0.004425   |   0.05728 ± 0.01212   |  0.01367 ± 0.009668   |        0 ± 0        |  0.03647 ± 0.03535   |    0.1458 ± 0.03885    | 0 ± 0  |  0 ± 0  |   0.09814 ± 0.04247    |
| Bin13  |   0.02371 ± 0.003444   |   0.03501 ± 0.01125   |         0 ± 0         |        0 ± 0        |  0.00219 ± 0.002788  |   0.06091 ± 0.01209    | 0 ± 0  |  0 ± 0  |   0.04729 ± 0.001248   |
| Bin14  |   0.02784 ± 0.003755   |   0.03501 ± 0.01191   |  0.006836 ± 0.006836  |  0.05386 ± 0.03808  |     0 ± 0.00244      |    0.1235 ± 0.04073    | 0 ± 0  |  0 ± 0  |    0.1693 ± 0.07354    |
| Bin15  |   0.02085 ± 0.003256   |   0.04933 ± 0.01067   | -0.006836 ± 0.006836  |  0.02693 ± 0.02693  |  0.00097 ± 0.003044  |   0.09124 ± 0.03009    | 0 ± 0  |  0 ± 0  |    0.1187 ± 0.06005    |
| Bin16  |   0.01933 ± 0.003134   |   0.03341 ± 0.0118    |         0 ± 0         |        0 ± 0        | 0.004881 ± 0.003451  |   0.05762 ± 0.01269    | 0 ± 0  |  0 ± 0  |    0.031 ± 0.001149    |
| Bin17  |   0.02273 ± 0.003395   |   0.02864 ± 0.01125   |  0.006836 ± 0.006836  |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   0.08635 ± 0.03024    | 0 ± 0  |  0 ± 0  |   0.02553 ± 0.06005    |
| Bin18  |   0.01657 ± 0.002907   |  0.01273 ± 0.009001   |  0.01367 ± 0.009668   |        0 ± 0        |  0.00122 ± 0.00122   |   0.04419 ± 0.01358    | 0 ± 0  |  0 ± 0  |  0.01959 ± 0.0008981   |
| Bin19  |   0.01408 ± 0.002712   |   0.03819 ± 0.01031   |  0.006836 ± 0.006836  |    0.12 ± 0.1259    |  0.00122 ± 0.00122   |    0.1804 ± 0.1266     | 0 ± 0  |  0 ± 0  |   0.06073 ± 0.04246    |
