+--------+----------------------+----------------------+-----------------------+--------------------+----------------------+---------------------+--------+--------+----------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ         |        Other         |        Total        |  data  | Ratio  |         WWZ          |
|--------+----------------------+----------------------+-----------------------+--------------------+----------------------+---------------------+--------+--------+----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin1   |        0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin2   |        0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin3   |        0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin4   |  0.00552 ± 0.001669  |  0.003182 ± 0.00225  |  0.006836 ± 0.006836  | 0.05386 ± 0.03808  |  0.03525 ± 0.03525   |  0.1046 ± 0.05241   | 0 ± 0  | 0 ± 0  | 0.00797 ± 0.0003577  |
| Bin5   |  0.02556 ± 0.003631  | 0.006829 ± 0.007087  |         0 ± 0         |       0 ± 0        |  0.00244 ± 0.001726  | 0.03483 ± 0.008148  | 0 ± 0  | 0 ± 0  |  0.06953 ± 0.04246   |
| Bin6   |  0.05376 ± 0.00523   |  0.03182 ± 0.009547  |         0 ± 0         | 0.02693 ± 0.04664  | -0.00097 ± 0.003499  |  0.1115 ± 0.04802   | 0 ± 0  | 0 ± 0  |   0.0989 ± 0.04247   |
| Bin7   |  0.09629 ± 0.007025  |  0.06842 ± 0.01341   |  0.01367 ± 0.009668   | 0.02693 ± 0.04664  |  0.00244 ± 0.00244   |  0.2077 ± 0.05004   | 0 ± 0  | 0 ± 0  |   0.2728 ± 0.08492   |
| Bin8   |  0.08953 ± 0.006825  |   0.07478 ± 0.0145   | -0.006836 ± 0.006836  |   0.12 ± 0.1259    |  0.07903 ± 0.05001   |   0.3566 ± 0.1366   | 0 ± 0  | 0 ± 0  |   0.2413 ± 0.07355   |
| Bin9   |  0.07649 ± 0.006308  |  0.07797 ± 0.01599   |  -0.01367 ± 0.009668  | 0.05386 ± 0.03808  |  0.03647 ± 0.03544   |  0.2311 ± 0.05563   | 0 ± 0  | 0 ± 0  |   0.2744 ± 0.08492   |
| Bin10  |  0.06732 ± 0.005887  |  0.06524 ± 0.01414   |  0.01367 ± 0.009668   | 0.08078 ± 0.04664  | 0.005851 ± 0.004266  |  0.2329 ± 0.05022   | 0 ± 0  | 0 ± 0  |    0.2632 ± 0.104    |
| Bin11  |  0.05936 ± 0.005526  |  0.07001 ± 0.01591   |  0.01367 ± 0.009668   | 0.02693 ± 0.02693  |  0.00244 ± 0.00244   |  0.1724 ± 0.03329   | 0 ± 0  | 0 ± 0  |   0.207 ± 0.07354    |
| Bin12  |  0.05186 ± 0.005158  |  0.04614 ± 0.01359   |  0.006836 ± 0.006836  |    0 ± 0.03808     | 0.004881 ± 0.002989  |  0.1097 ± 0.04144   | 0 ± 0  | 0 ± 0  |   0.1577 ± 0.06006   |
| Bin13  |  0.04485 ± 0.00476   |  0.05251 ± 0.01222   |  0.006836 ± 0.006836  | 0.02693 ± 0.04664  | 0.005851 ± 0.003499  |   0.137 ± 0.04905   | 0 ± 0  | 0 ± 0  |   0.1898 ± 0.09494   |
| Bin14  |  0.03344 ± 0.004165  |  0.01273 ± 0.01125   |  0.006836 ± 0.006836  | 0.08078 ± 0.04664  | 0.003661 ± 0.002728  |  0.1374 ± 0.04872   | 0 ± 0  | 0 ± 0  |   0.182 ± 0.07355    |
| Bin15  |  0.02856 ± 0.003823  |   0.04614 ± 0.0118   |     0 ± 0.009668      |       0 ± 0        |  0.00122 ± 0.00122   |  0.07592 ± 0.01577  | 0 ± 0  | 0 ± 0  |  0.08724 ± 0.04247   |
| Bin16  |  0.02961 ± 0.00387   |  0.03501 ± 0.01102   |         0 ± 0         | 0.02693 ± 0.04664  |     0 ± 0.001726     |  0.09154 ± 0.04811  | 0 ± 0  | 0 ± 0  |   0.1238 ± 0.06005   |
| Bin17  |  0.0241 ± 0.003514   |  0.03023 ± 0.01019   |         0 ± 0         |       0 ± 0        |  0.00244 ± 0.001726  |  0.05677 ± 0.01091  | 0 ± 0  | 0 ± 0  |   0.2022 ± 0.08491   |
| Bin18  |  0.01176 ± 0.002446  |  0.03023 ± 0.008569  |         0 ± 0         |       0 ± 0        |  0.03525 ± 0.03533   |  0.07723 ± 0.03644  | 0 ± 0  | 0 ± 0  |  0.02951 ± 0.001202  |
| Bin19  |  0.01361 ± 0.002635  |  0.03341 ± 0.009679  |  0.006836 ± 0.006836  |       0 ± 0        |        0 ± 0         |  0.05387 ± 0.01214  | 0 ± 0  | 0 ± 0  |   0.1082 ± 0.06005   |
| Bin20  | 0.009986 ± 0.002249  |  0.01909 ± 0.008715  |         0 ± 0         |       0 ± 0        |     0 ± 0.001726     | 0.02908 ± 0.009165  | 0 ± 0  | 0 ± 0  |  0.06104 ± 0.04246   |
