+--------+-----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ           |         ttZ          |        Higgs         |         WZ          |        Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+-----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |         0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |         0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin2   |         0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin3   |   0.1495 ± 0.008756   |  0.08274 ± 0.01714   |  0.03418 ± 0.01529   |     0 ± 0.05386     |  0.04135 ± 0.03548   |   0.3078 ± 0.06902   | 0 ± 0  |  0 ± 0  |    0.3861 ± 0.104     |
| Bin4   |   0.1822 ± 0.009675   |   0.1639 ± 0.02105   |  0.02051 ± 0.01184   |  0.1616 ± 0.07616   |  0.04501 ± 0.03558   |    0.5731 ± 0.088    | 0 ± 0  |  0 ± 0  |    0.6123 ± 0.1343    |
| Bin5   |   0.1599 ± 0.009114   |   0.1707 ± 0.02288   | -0.01367 ± 0.009668  |   0.2547 ± 0.1343   |  0.04282 ± 0.03565   |   0.6144 ± 0.1414    | 0 ± 0  |  0 ± 0  |    0.5427 ± 0.1343    |
| Bin6   |   0.1461 ± 0.008662   |   0.1209 ± 0.01896   | -0.006836 ± 0.01184  |  0.02693 ± 0.04664  |  0.07878 ± 0.05006   |   0.3659 ± 0.0725    | 0 ± 0  |  0 ± 0  |    0.8518 ± 0.1698    |
| Bin7   |   0.05476 ± 0.00527   |  0.08274 ± 0.01699   |  0.02051 ± 0.01184   |  0.02693 ± 0.02693  | 0.004881 ± 0.004227  |   0.1898 ± 0.03463   | 0 ± 0  |  0 ± 0  |   0.06341 ± 0.0425    |
| Bin8   |   0.0378 ± 0.004402   |   0.0541 ± 0.01575   |        0 ± 0         |  0.02693 ± 0.02693  |  0.00097 ± 0.003044  |   0.1198 ± 0.03165   | 0 ± 0  |  0 ± 0  |   0.1585 ± 0.06006    |
| Bin9   |  0.02187 ± 0.003306   |  0.03819 ± 0.01169   |        0 ± 0         |  0.08078 ± 0.04664  |  0.00122 ± 0.002113  |   0.1421 ± 0.04824   | 0 ± 0  |  0 ± 0  |   0.1363 ± 0.06005    |
| Bin10  |  0.01777 ± 0.003018   |   0.03023 ± 0.0118   |        0 ± 0         | -0.02693 ± 0.02693  |  0.00122 ± 0.00122   |  0.02229 ± 0.02958   | 0 ± 0  |  0 ± 0  |    0.167 ± 0.07354    |
| Bin11  |  0.009184 ± 0.002147  |   0.0366 ± 0.01043   | 0.006836 ± 0.006836  |        0 ± 0        |        0 ± 0         |  0.05262 ± 0.01266   | 0 ± 0  |  0 ± 0  |   0.07309 ± 0.04247   |
| Bin12  |  0.009596 ± 0.002207  |  0.02228 ± 0.009001  |        0 ± 0         |     0.12 ± 0.12     |  0.00122 ± 0.00122   |   0.1531 ± 0.1204    | 0 ± 0  |  0 ± 0  |  0.02229 ± 0.001077   |
| Bin13  |  0.002154 ± 0.001029  |  0.0175 ± 0.007292   |        0 ± 0         | -0.02693 ± 0.02693  |        0 ± 0         | -0.007271 ± 0.02792  | 0 ± 0  | -0 ± 0  |  0.01856 ± 0.0009688  |
| Bin14  |  0.005624 ± 0.00167   |  0.02705 ± 0.007956  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.03267 ± 0.008129  | 0 ± 0  |  0 ± 0  |   0.05468 ± 0.04246   |
| Bin15  |  0.00302 ± 0.001236   |  0.01114 ± 0.005737  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01416 ± 0.005869  | 0 ± 0  |  0 ± 0  | 0.009304 ± 0.0006251  |
| Bin16  |  0.002649 ± 0.001185  | 0.006365 ± 0.003898  |        0 ± 0         |  0.02693 ± 0.02693  |        0 ± 0         |  0.03594 ± 0.02723   | 0 ± 0  |  0 ± 0  |   0.05017 ± 0.04246   |
| Bin17  |  0.003179 ± 0.001298  |  0.01114 ± 0.005737  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01432 ± 0.005882  | 0 ± 0  |  0 ± 0  |   0.04921 ± 0.04246   |
| Bin18  | 0.001702 ± 0.0009246  |  0.0175 ± 0.005737   | 0.006836 ± 0.006836  |        0 ± 0        |        0 ± 0         |  0.02604 ± 0.008972  | 0 ± 0  |  0 ± 0  | 0.004294 ± 0.0003929  |
| Bin19  |  0.002232 ± 0.001066  | 0.003182 ± 0.003182  |        0 ± 0         |        0 ± 0        |        0 ± 0         | 0.005414 ± 0.003356  | 0 ± 0  |  0 ± 0  | 0.004392 ± 0.0004786  |
| Bin20  |  0.00159 ± 0.0009177  |  0.006365 ± 0.0045   |        0 ± 0         |        0 ± 0        |        0 ± 0         | 0.007954 ± 0.004593  | 0 ± 0  |  0 ± 0  | 0.003124 ± 0.0003554  |
| Bin21  |  0.01028 ± 0.002303   | 0.006365 ± 0.005512  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01664 ± 0.005974  | 0 ± 0  |  0 ± 0  |   0.09984 ± 0.06004   |
+--------+-----------------------+----------------------+----------------------+---------------------+----------------------+----------------------+--------+---------+-----------------------+
