+--------+-----------------------+----------------------+-----------------------+--------------------+----------------------+----------------------+--------+--------+-----------------------+
| Bin#   |          ZZ           |         ttZ          |         Higgs         |         WZ         |        Other         |        Total         |  data  | Ratio  |          WWZ          |
|--------+-----------------------+----------------------+-----------------------+--------------------+----------------------+----------------------+--------+--------+-----------------------+
| Bin0   |         0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |   0.2145 ± 0.01046    |   0.3214 ± 0.03158   |   0.01367 ± 0.01675   |  0.1616 ± 0.1077   |  0.04501 ± 0.03579   |   0.7562 ± 0.1195    | 0 ± 0  | 0 ± 0  |    1.224 ± 0.1991     |
| Bin2   |   0.1582 ± 0.009036   |    0.218 ± 0.0258    |   0.02735 ± 0.01675   | 0.08078 ± 0.04664  |  0.04476 ± 0.03557   |   0.5291 ± 0.06684   | 0 ± 0  | 0 ± 0  |    0.8833 ± 0.1644    |
| Bin3   |  0.09685 ± 0.007054   |   0.1082 ± 0.01936   |  0.01367 ± 0.009668   |    0 ± 0.03808     |  0.03794 ± 0.03557   |   0.2567 ± 0.05686   | 0 ± 0  | 0 ± 0  |    0.4014 ± 0.1201    |
| Bin4   |  0.07017 ± 0.005969   |  0.08115 ± 0.01567   | -0.006836 ± 0.006836  | 0.02693 ± 0.02693  |  0.03891 ± 0.03531   |   0.2103 ± 0.04796   | 0 ± 0  | 0 ± 0  |   0.2206 ± 0.07355    |
| Bin5   |   0.0441 ± 0.004739   |  0.05934 ± 0.01301   |  0.006836 ± 0.006836  | 0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   0.1384 ± 0.03111   | 0 ± 0  | 0 ± 0  |   0.1921 ± 0.07354    |
| Bin6   |  0.03788 ± 0.004418   |  0.03023 ± 0.01091   |  0.006836 ± 0.006836  | 0.02693 ± 0.02693  | 0.007071 ± 0.003705  |    0.109 ± 0.0304    | 0 ± 0  | 0 ± 0  |   0.1314 ± 0.06005    |
| Bin7   |  0.03035 ± 0.003946   |  0.03501 ± 0.01102   |         0 ± 0         | 0.02693 ± 0.02693  |     0 ± 0.001726     |  0.09229 ± 0.02941   | 0 ± 0  | 0 ± 0  |   0.07533 ± 0.04246   |
| Bin8   |  0.04136 ± 0.004631   |  0.01432 ± 0.007956  |         0 ± 0         |    0.12 ± 0.12     |  0.00244 ± 0.001726  |   0.1782 ± 0.1204    | 0 ± 0  | 0 ± 0  |  0.02327 ± 0.0008412  |
| Bin9   |  0.02355 ± 0.003472   | 0.006365 ± 0.005032  |         0 ± 0         |       0 ± 0        |  0.03769 ± 0.03533   |   0.0676 ± 0.03586   | 0 ± 0  | 0 ± 0  |  0.01685 ± 0.0006895  |
| Bin10  |   0.01811 ± 0.00314   | 0.009547 ± 0.005032  |         0 ± 0         | 0.02693 ± 0.02693  |  0.00122 ± 0.00122   |   0.0558 ± 0.0276    | 0 ± 0  | 0 ± 0  |  0.01222 ± 0.000606   |
| Bin11  |  0.01615 ± 0.002887   |  0.007956 ± 0.00421  |         0 ± 0         |       0 ± 0        |  0.00122 ± 0.00122   |  0.02533 ± 0.005249  | 0 ± 0  | 0 ± 0  | 0.007988 ± 0.0004639  |
| Bin12  |   0.00681 ± 0.00189   |  0.003182 ± 0.0045   |         0 ± 0         |       0 ± 0        |        0 ± 0         | 0.009992 ± 0.004881  | 0 ± 0  | 0 ± 0  | 0.006552 ± 0.0004134  |
| Bin13  |  0.01044 ± 0.002337   | 0.003182 ± 0.003182  |         0 ± 0         | 0.02693 ± 0.02693  |        0 ± 0         |  0.04055 ± 0.02722   | 0 ± 0  | 0 ± 0  |   0.04646 ± 0.04245   |
| Bin14  |  0.009369 ± 0.002166  |  0.003182 ± 0.00225  |  0.006836 ± 0.006836  |       0 ± 0        |        0 ± 0         |  0.01939 ± 0.007516  | 0 ± 0  | 0 ± 0  | 0.003966 ± 0.0003343  |
| Bin15  |  0.008166 ± 0.002046  |  0.003182 ± 0.00225  |         0 ± 0         |       0 ± 0        |        0 ± 0         |  0.01135 ± 0.003041  | 0 ± 0  | 0 ± 0  | 0.002957 ± 0.0003345  |
| Bin16  |  0.005523 ± 0.001683  |     0 ± 0.00225      |         0 ± 0         |       0 ± 0        |        0 ± 0         |  0.005523 ± 0.00281  | 0 ± 0  | 0 ± 0  |  0.00232 ± 0.0003038  |
| Bin17  |  0.003021 ± 0.001237  |  0.003182 ± 0.00225  |         0 ± 0         |       0 ± 0        |        0 ± 0         | 0.006204 ± 0.002568  | 0 ± 0  | 0 ± 0  |   0.04401 ± 0.04245   |
| Bin18  |  0.003021 ± 0.001237  |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0         | 0.003021 ± 0.001237  | 0 ± 0  | 0 ± 0  | 0.001219 ± 0.0001675  |
| Bin19  |  0.002493 ± 0.001118  | 0.004773 ± 0.003558  |         0 ± 0         |       0 ± 0        |  0.00122 ± 0.00122   | 0.008487 ± 0.003924  | 0 ± 0  | 0 ± 0  | 0.001268 ± 0.0001702  |
