+--------+-----------------------+----------------------+-----------------------+--------------------+------------------------+------------------------+--------+---------+------------------------+
| Bin#   |          ZZ           |         ttZ          |         Higgs         |         WZ         |         Other          |         Total          |  data  |  Ratio  |          WWZ           |
|--------+-----------------------+----------------------+-----------------------+--------------------+------------------------+------------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |         0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin2   |         0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0          |         0 ± 0          | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin3   |   0.2809 ± 0.01198    |   0.1671 ± 0.02233   |   0.02051 ± 0.01184   |  0.1346 ± 0.08078  |    0.1326 ± 0.06149    |    0.7357 ± 0.1053     | 0 ± 0  |  0 ± 0  |    0.6872 ± 0.1201     |
| Bin4   |   0.2095 ± 0.01042    |   0.1623 ± 0.02228   |   0.01367 ± 0.01367   |  0.1739 ± 0.1422   |   0.07293 ± 0.05002    |    0.6323 ± 0.1533     | 0 ± 0  |  0 ± 0  |    0.4975 ± 0.09497    |
| Bin5   |   0.1239 ± 0.007981   |   0.113 ± 0.02031    |   0.01367 ± 0.01367   | 0.05386 ± 0.03808  | -0.0002502 ± 0.004437  |    0.3041 ± 0.04619    | 0 ± 0  |  0 ± 0  |    0.5966 ± 0.1471     |
| Bin6   |   0.06505 ± 0.00579   |   0.1639 ± 0.02006   | -0.006836 ± 0.006836  |  0.1077 ± 0.05386  |  0.004881 ± 0.003451   |    0.3347 ± 0.05827    | 0 ± 0  |  0 ± 0  |    0.5276 ± 0.1343     |
| Bin7   |   0.0398 ± 0.004509   |  0.06842 ± 0.01721   |   0.02051 ± 0.01184   | 0.02693 ± 0.02693  |   0.00244 ± 0.001726   |    0.1581 ± 0.03442    | 0 ± 0  |  0 ± 0  |     0.2323 ± 0.104     |
| Bin8   |  0.03022 ± 0.003935   |  0.06046 ± 0.01387   |         0 ± 0         |       0 ± 0        |   0.00122 ± 0.002113   |    0.0919 ± 0.01457    | 0 ± 0  |  0 ± 0  |    0.1271 ± 0.06005    |
| Bin9   |   0.014 ± 0.002669    |  0.04614 ± 0.01283   |         0 ± 0         |   0.12 ± 0.1259    |  0.003661 ± 0.002113   |    0.1838 ± 0.1266     | 0 ± 0  |  0 ± 0  |   0.07094 ± 0.04247    |
| Bin10  |  0.01745 ± 0.002937   |  0.05251 ± 0.01067   |  0.006836 ± 0.006836  |       0 ± 0        |         0 ± 0          |    0.0768 ± 0.01301    | 0 ± 0  |  0 ± 0  |    0.1018 ± 0.06004    |
| Bin11  |  0.009991 ± 0.00225   |  0.01273 ± 0.009547  |         0 ± 0         | 0.02693 ± 0.02693  |   0.00219 ± 0.00219    |   0.05184 ± 0.02874    | 0 ± 0  |  0 ± 0  |   0.05374 ± 0.04246    |
| Bin12  |  0.004994 ± 0.001597  |  0.01909 ± 0.006365  |         0 ± 0         |       0 ± 0        |         0 ± 0          |   0.02409 ± 0.006562   | 0 ± 0  |  0 ± 0  |  0.008252 ± 0.0006542  |
| Bin13  |  0.006017 ± 0.001726  | 0.009547 ± 0.006751  |  0.006836 ± 0.006836  |       0 ± 0        |   -0.00219 ± 0.00219   |     0.02021 ± 0.01     | 0 ± 0  |  0 ± 0  |    0.0905 ± 0.06004    |
| Bin14  |  0.003292 ± 0.001303  |  0.01478 ± 0.007263  |         0 ± 0         | 0.02693 ± 0.02693  |         0 ± 0          |    0.045 ± 0.02792     | 0 ± 0  |  0 ± 0  |   0.04767 ± 0.04246    |
| Bin15  |  0.002049 ± 0.001026  |  0.004773 ± 0.00421  | -0.006836 ± 0.006836  |       0 ± 0        |         0 ± 0          | -1.403e-05 ± 0.008094  | 0 ± 0  | -0 ± 0  |  0.002654 ± 0.0003475  |
| Bin16  |  0.00106 ± 0.0007493  | 0.003182 ± 0.003898  |         0 ± 0         |       0 ± 0        |         0 ± 0          |  0.004242 ± 0.003969   | 0 ± 0  |  0 ± 0  |   0.04436 ± 0.04245    |
| Bin17  |  0.00204 ± 0.001022   | 0.001591 ± 0.003558  |         0 ± 0         |       0 ± 0        |         0 ± 0          |  0.003631 ± 0.003702   | 0 ± 0  |  0 ± 0  |  0.00133 ± 0.0002339   |
| Bin18  |  0.002119 ± 0.00106   |  0.003182 ± 0.00225  |         0 ± 0         |       0 ± 0        |         0 ± 0          |  0.005302 ± 0.002487   | 0 ± 0  |  0 ± 0  |  0.00146 ± 0.0003035   |
| Bin19  | 0.001172 ± 0.0007577  | 0.003182 ± 0.003898  |         0 ± 0         |       0 ± 0        |         0 ± 0          |   0.004354 ± 0.00397   | 0 ± 0  |  0 ± 0  | 0.0005446 ± 8.394e-05  |
| Bin20  |         0 ± 0         | 0.001591 ± 0.001591  |         0 ± 0         |       0 ± 0        |         0 ± 0          |  0.001591 ± 0.001591   | 0 ± 0  |  0 ± 0  |   0.04317 ± 0.04245    |
| Bin21  |  0.00753 ± 0.001986   | 0.001591 ± 0.006162  |         0 ± 0         |       0 ± 0        |         0 ± 0          |  0.009121 ± 0.006475   | 0 ± 0  |  0 ± 0  |    0.1723 ± 0.0849     |
+--------+-----------------------+----------------------+-----------------------+--------------------+------------------------+------------------------+--------+---------+------------------------+
