+--------+----------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ         |        Other        |        Total        |  data  | Ratio  |          WWZ           |
|--------+----------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+------------------------+
| Bin0   |   0.3704 ± 0.01383   |   0.148 ± 0.02006    |   0.02735 ± 0.01675   | 0.08078 ± 0.08078  | 0.02196 ± 0.007115  |  0.6484 ± 0.08632   | 0 ± 0  | 0 ± 0  |     1.349 ± 0.1275     |
| Bin1   |  0.0365 ± 0.004312   |  0.01114 ± 0.006162  |         0 ± 0         |       0 ± 0        |     0 ± 0.00244     | 0.04764 ± 0.007907  | 0 ± 0  | 0 ± 0  |  0.02374 ± 0.0008579   |
| Bin2   |  0.0324 ± 0.004077   |  0.01273 ± 0.006365  |  0.006836 ± 0.006836  |       0 ± 0        |  0.00122 ± 0.00122  |  0.05318 ± 0.01026  | 0 ± 0  | 0 ± 0  |  0.01898 ± 0.0007926   |
| Bin3   |  0.0302 ± 0.003945   |  0.01432 ± 0.005277  |         0 ± 0         |       0 ± 0        |  0.03403 ± 0.03531  |  0.07854 ± 0.03592  | 0 ± 0  | 0 ± 0  |   0.05608 ± 0.04246    |
| Bin4   |  0.02875 ± 0.003854  |  0.02068 ± 0.007631  |  0.006836 ± 0.006836  |       0 ± 0        |  0.07512 ± 0.04992  |  0.1314 ± 0.05111   | 0 ± 0  | 0 ± 0  |   0.05249 ± 0.04246    |
| Bin5   |  0.02076 ± 0.003249  |  0.02068 ± 0.007292  |         0 ± 0         |       0 ± 0        | 0.00244 ± 0.001726  | 0.04389 ± 0.008167  | 0 ± 0  | 0 ± 0  |  0.006683 ± 0.0003664  |
| Bin6   |  0.01786 ± 0.003007  |  0.01114 ± 0.007292  |         0 ± 0         |   0.12 ± 0.1259    |  0.03891 ± 0.03535  |   0.1879 ± 0.131    | 0 ± 0  | 0 ± 0  |  0.004745 ± 0.000383   |
| Bin7   |  0.01796 ± 0.003007  |  0.02228 ± 0.007463  |         0 ± 0         | 0.02693 ± 0.02693  | -0.00122 ± 0.00122  |  0.06594 ± 0.02813  | 0 ± 0  | 0 ± 0  |  0.003805 ± 0.0003993  |
| Bin8   |  0.03127 ± 0.003978  |  0.02705 ± 0.008268  |         0 ± 0         | 0.02693 ± 0.02693  | 0.004881 ± 0.00244  |  0.09012 ± 0.02855  | 0 ± 0  | 0 ± 0  |   0.04472 ± 0.04245    |
| Bin9   |  0.01544 ± 0.002769  | 0.007956 ± 0.006936  |  0.006836 ± 0.006836  |    0 ± 0.03808     |        0 ± 0        |  0.03023 ± 0.0394   | 0 ± 0  | 0 ± 0  |   0.08669 ± 0.06004    |
| Bin10  |  0.0235 ± 0.003427   | 0.009547 ± 0.007463  |         0 ± 0         |       0 ± 0        |  0.00122 ± 0.00122  | 0.03427 ± 0.008303  | 0 ± 0  | 0 ± 0  |   -0.04103 ± 0.04245   |
| Bin11  |  0.02231 ± 0.003347  |  0.03341 ± 0.007956  |         0 ± 0         |       0 ± 0        | 0.00122 ± 0.002113  | 0.05695 ± 0.008886  | 0 ± 0  | 0 ± 0  |   0.04381 ± 0.04245    |
| Bin12  | 0.007769 ± 0.001945  | 0.006365 ± 0.005512  |         0 ± 0         | 0.02693 ± 0.02693  | -0.00122 ± 0.00122  |  0.03984 ± 0.02758  | 0 ± 0  | 0 ± 0  |   0.04371 ± 0.04245    |
| Bin13  | 0.009079 ± 0.002155  | 0.009547 ± 0.005954  |         0 ± 0         | 0.02693 ± 0.02693  |  0.00122 ± 0.00122  |  0.04677 ± 0.02769  | 0 ± 0  | 0 ± 0  | 0.0009838 ± 0.0001576  |
| Bin14  | 0.007641 ± 0.001939  |  0.02387 ± 0.007956  | -0.006836 ± 0.006836  |    0.12 ± 0.12     | 0.00122 ± 0.002113  |   0.1459 ± 0.1205   | 0 ± 0  | 0 ± 0  |   0.04389 ± 0.04245    |
| Bin15  | 0.009379 ± 0.002213  |  0.02705 ± 0.008268  |         0 ± 0         |       0 ± 0        |  0.03403 ± 0.03527  |  0.07045 ± 0.03629  | 0 ± 0  | 0 ± 0  |   0.08685 ± 0.06004    |
| Bin16  | 0.008285 ± 0.002061  | 0.006365 ± 0.007463  |  0.006836 ± 0.006836  | 0.02693 ± 0.02693  |        0 ± 0        |  0.04841 ± 0.02884  | 0 ± 0  | 0 ± 0  |   0.04424 ± 0.04245    |
| Bin17  | 0.007645 ± 0.001989  |  0.02705 ± 0.008268  |         0 ± 0         |       0 ± 0        |  0.00244 ± 0.00244  | 0.03714 ± 0.008847  | 0 ± 0  | 0 ± 0  |    0.1293 ± 0.07353    |
| Bin18  |  0.006426 ± 0.0018   |  0.0175 ± 0.006936   |         0 ± 0         |       0 ± 0        |    0 ± 0.001726     |  0.02393 ± 0.00737  | 0 ± 0  | 0 ± 0  |   0.04426 ± 0.04245    |
| Bin19  | 0.005861 ± 0.001739  |  0.01432 ± 0.005277  |         0 ± 0         |       0 ± 0        |        0 ± 0        | 0.02018 ± 0.005556  | 0 ± 0  | 0 ± 0  |   0.04409 ± 0.04245    |
| Bin20  |  0.004769 ± 0.00159  |  0.01273 ± 0.006365  | -0.006836 ± 0.006836  |       0 ± 0        |        0 ± 0        | 0.01066 ± 0.009475  | 0 ± 0  | 0 ± 0  |    0.1288 ± 0.07353    |
| Bin21  |  0.1069 ± 0.007459   |   0.4253 ± 0.03887   |   0.02735 ± 0.01675   |  0.2154 ± 0.08515  |    0 ± 0.003546     |  0.7749 ± 0.09545   | 0 ± 0  | 0 ± 0  |     1.091 ± 0.2206     |
+--------+----------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+------------------------+
