+--------+---------------------+-----------------------+-----------------------+---------------------+----------------------+---------------------+--------+---------+-----------------------+
| Bin#   |         ZZ          |          ttZ          |         Higgs         |         WZ          |        Other         |        Total        |  data  |  Ratio  |          WWZ          |
|--------+---------------------+-----------------------+-----------------------+---------------------+----------------------+---------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |   13.83 ± 0.0844    |  0.003182 ± 0.00225   |         0 ± 0         |        0 ± 0        |  0.00122 ± 0.00122   |   13.84 ± 0.08444   | 0 ± 0  |  0 ± 0  |   0.05175 ± 0.04246   |
| Bin2   |   22.95 ± 0.1081    |  0.007956 ± 0.00421   |         0 ± 0         |  0.02693 ± 0.02693  |  0.04257 ± 0.03537   |   23.02 ± 0.1169    | 0 ± 0  |  0 ± 0  |  0.0289 ± 0.0008825   |
| Bin3   |   20.41 ± 0.1012    |  0.009547 ± 0.005954  |   0.09213 ± 0.09213   |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   20.54 ± 0.1396    | 0 ± 0  |  0 ± 0  |  0.04754 ± 0.001205   |
| Bin4   |   16.68 ± 0.09086   |  0.004773 ± 0.005737  |         0 ± 0         |        0 ± 0        | -0.00244 ± 0.001726  |   16.68 ± 0.09106   | 0 ± 0  |  0 ± 0  |   0.1446 ± 0.06005    |
| Bin5   |   13.54 ± 0.08143   |  0.007956 ± 0.004773  |   0.09213 ± 0.09213   |  0.05386 ± 0.03808  |  0.04013 ± 0.03533   |   13.74 ± 0.1336    | 0 ± 0  |  0 ± 0  |   0.1189 ± 0.04248    |
| Bin6   |   10.94 ± 0.0728    |  0.01591 ± 0.006365   |  0.006836 ± 0.006836  |        0 ± 0        |  0.03525 ± 0.03533   |    11 ± 0.08145     | 0 ± 0  |  0 ± 0  |   0.1735 ± 0.06006    |
| Bin7   |   9.072 ± 0.06597   |  0.02546 ± 0.008113   |   0.09213 ± 0.09213   |  0.02693 ± 0.02693  |  0.03647 ± 0.03527   |    9.253 ± 0.122    | 0 ± 0  |  0 ± 0  |   0.1364 ± 0.04248    |
| Bin8   |   7.501 ± 0.05975   |   0.02546 ± 0.00842   |  -0.09897 ± 0.09239   |  0.05386 ± 0.03808  |  0.00097 ± 0.003044  |   7.483 ± 0.1168    | 0 ± 0  |  0 ± 0  |  0.09938 ± 0.001601   |
| Bin9   |   6.248 ± 0.0543    |   0.0175 ± 0.008268   |      0 ± 0.1303       |  0.02693 ± 0.04664  |  0.03525 ± 0.03537   |    6.328 ± 0.153    | 0 ± 0  |  0 ± 0  |   0.2323 ± 0.07355    |
| Bin10  |   5.322 ± 0.04993   |   0.02864 ± 0.00842   |   0.09897 ± 0.09239   |  0.02693 ± 0.02693  |     0 ± 0.002989     |   5.477 ± 0.1088    | 0 ± 0  |  0 ± 0  |   0.1407 ± 0.04248    |
| Bin11  |   4.476 ± 0.04565   |  0.02228 ± 0.009278   |    0.1843 ± 0.1303    |  0.05386 ± 0.03808  |  0.03769 ± 0.03537   |   4.774 ± 0.1478    | 0 ± 0  |  0 ± 0  |   0.3051 ± 0.09494    |
| Bin12  |   3.913 ± 0.04261   |   0.02751 ± 0.01134   |   0.09897 ± 0.09239   |  0.02693 ± 0.02693  |  0.03769 ± 0.03533   |   4.104 ± 0.1116    | 0 ± 0  |  0 ± 0  |   0.2155 ± 0.07355    |
| Bin13  |   3.378 ± 0.03946   |   0.0366 ± 0.01158    |         0 ± 0         |  0.1346 ± 0.06021   |     0 ± 0.003451     |    3.549 ± 0.073    | 0 ± 0  |  0 ± 0  |   0.1223 ± 0.04248    |
| Bin14  |   2.963 ± 0.0369    |   0.0366 ± 0.009937   |  0.01367 ± 0.009668   | -0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   2.987 ± 0.04779   | 0 ± 0  |  0 ± 0  |   0.1595 ± 0.06006    |
| Bin15  |   2.591 ± 0.0346    |  0.03341 ± 0.009679   |         0 ± 0         |  0.02693 ± 0.02693  | 0.003661 ± 0.003661  |   2.655 ± 0.04505   | 0 ± 0  |  0 ± 0  |   0.2791 ± 0.09494    |
| Bin16  |   2.237 ± 0.03207   |   0.03341 ± 0.01019   |  -0.09213 ± 0.09213   |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   2.206 ± 0.1017    | 0 ± 0  |  0 ± 0  |  0.05965 ± 0.001443   |
| Bin17  |   1.995 ± 0.03021   |   0.03023 ± 0.00914   |         0 ± 0         |  0.01224 ± 0.03067  | 0.003661 ± 0.002728  |   2.041 ± 0.0441    | 0 ± 0  |  0 ± 0  |   0.09689 ± 0.04248   |
| Bin18  |   1.728 ± 0.02822   |  0.02705 ± 0.007956   |         0 ± 0         |        0 ± 0        |  -0.00244 ± 0.00244  |   1.753 ± 0.02942   | 0 ± 0  |  0 ± 0  |    0.177 ± 0.07354    |
| Bin19  |   1.566 ± 0.02699   |  0.01591 ± 0.007795   |   0.09897 ± 0.09239   |        0 ± 0        |  0.04013 ± 0.03533   |   1.722 ± 0.1028    | 0 ± 0  |  0 ± 0  |    0.129 ± 0.06005    |
