+--------+----------------------+-----------------------+----------------------+---------------------+----------------------+-----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |        Other         |         Total         |  data  | Ratio  |          WWZ           |
|--------+----------------------+-----------------------+----------------------+---------------------+----------------------+-----------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |         0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |   16.06 ± 0.08929    |   0.006365 ± 0.0045   |        0 ± 0         |        0 ± 0        |  -0.00122 ± 0.00122  |    16.06 ± 0.08941    | 0 ± 0  | 0 ± 0  |   0.06132 ± 0.04246    |
| Bin2   |    33.99 ± 0.1294    |  0.01273 ± 0.005512   |      0 ± 0.1303      |  0.05386 ± 0.03808  |  0.00122 ± 0.002113  |    34.06 ± 0.1876     | 0 ± 0  | 0 ± 0  |   0.05535 ± 0.001264   |
| Bin3   |    34.47 ± 0.1298    |   0.0366 ± 0.009937   |  0.09897 ± 0.09239   |        0 ± 0        |  0.03525 ± 0.03533   |    34.64 ± 0.1635     | 0 ± 0  | 0 ± 0  |    0.2179 ± 0.07355    |
| Bin4   |    27.7 ± 0.1162     |   0.02228 ± 0.01006   |  0.09213 ± 0.09213   |  0.08078 ± 0.04664  |  0.00244 ± 0.002989  |     27.9 ± 0.1558     | 0 ± 0  | 0 ± 0  |    0.2022 ± 0.06006    |
| Bin5   |   19.64 ± 0.09767    |   0.0541 ± 0.01079    |  0.09897 ± 0.09239   |  0.02693 ± 0.04664  |  0.04135 ± 0.03535   |     19.86 ± 0.147     | 0 ± 0  | 0 ± 0  |    0.2185 ± 0.06007    |
| Bin6   |   13.14 ± 0.07988    |   0.04024 ± 0.01178   |   -0.1843 ± 0.1303   |  0.08078 ± 0.04664  |  0.07415 ± 0.04998   |    13.15 ± 0.1678     | 0 ± 0  | 0 ± 0  |    0.3174 ± 0.08493    |
| Bin7   |   8.256 ± 0.06335    |   0.02864 ± 0.01125   |   0.1911 ± 0.1305    |     0 ± 0.05386     |  0.0122 ± 0.003859   |    8.488 ± 0.1552     | 0 ± 0  | 0 ± 0  |    0.4435 ± 0.1123     |
| Bin8   |   4.956 ± 0.04903    |   0.04137 ± 0.01191   |  0.09897 ± 0.09239   |        0 ± 0        |  0.00244 ± 0.003451  |    5.099 ± 0.1053     | 0 ± 0  | 0 ± 0  |   0.1388 ± 0.002016    |
| Bin9   |   3.018 ± 0.03831    |   0.0366 ± 0.01114    |  -0.07162 ± 0.09289  |     0 ± 0.03808     | 0.006101 ± 0.004726  |    2.989 ± 0.1081     | 0 ± 0  | 0 ± 0  |    0.2147 ± 0.06007    |
| Bin10  |   1.798 ± 0.02957    |   0.04773 ± 0.01212   |   0.1774 ± 0.1305    |  0.0661 ± 0.06198   |    0.07634 ± 0.05    |    2.165 ± 0.1562     | 0 ± 0  | 0 ± 0  |    0.2411 ± 0.07355    |
| Bin11  |   1.055 ± 0.02267    |   0.04773 ± 0.01169   |   0.1126 ± 0.09289   |  0.08078 ± 0.04664  |  0.03159 ± 0.03544   |    1.328 ± 0.1127     | 0 ± 0  | 0 ± 0  |    0.2273 ± 0.07355    |
| Bin12  |   0.6426 ± 0.0177    |   0.05251 ± 0.01283   |        0 ± 0         |  0.05386 ± 0.03808  |  0.03647 ± 0.03539   |    0.7855 ± 0.0564    | 0 ± 0  | 0 ± 0  |   0.08583 ± 0.001742   |
| Bin13  |   0.3972 ± 0.01401   |   0.05092 ± 0.01312   |        0 ± 0         |  0.08078 ± 0.04664  | 0.003661 ± 0.002113  |   0.5326 ± 0.05048    | 0 ± 0  | 0 ± 0  |    0.2433 ± 0.08492    |
| Bin14  |   0.2629 ± 0.01139   |   0.02864 ± 0.01169   |   0.1058 ± 0.09264   | -0.02693 ± 0.02693  |  0.03281 ± 0.03537   |    0.4033 ± 0.104     | 0 ± 0  | 0 ± 0  |     0.361 ± 0.1123     |
| Bin15  |   0.164 ± 0.009024   |   0.03501 ± 0.01125   |  0.01367 ± 0.009668  |  0.08078 ± 0.04664  |     0 ± 0.00244      |   0.2935 ± 0.04983    | 0 ± 0  | 0 ± 0  |    0.137 ± 0.06005     |
| Bin16  |  0.1029 ± 0.007236   |   0.03023 ± 0.01067   | 0.006836 ± 0.006836  |  0.02693 ± 0.02693  |  0.03525 ± 0.03529   |   0.2021 ± 0.04673    | 0 ± 0  | 0 ± 0  |    0.1714 ± 0.07354    |
| Bin17  |  0.08433 ± 0.006468  |   0.04137 ± 0.01031   |        0 ± 0         |        0 ± 0        |  0.00244 ± 0.001726  |   0.1281 ± 0.01229    | 0 ± 0  | 0 ± 0  |    0.2057 ± 0.08491    |
| Bin18  |  0.07364 ± 0.00613   |  0.03819 ± 0.009809   |     0 ± 0.009668     |        0 ± 0        |        0 ± 0         |   0.1118 ± 0.01508    | 0 ± 0  | 0 ± 0  |   -0.01077 ± 0.04247   |
| Bin19  |  0.03006 ± 0.003947  |   0.03501 ± 0.01031   |        0 ± 0         |  0.02693 ± 0.02693  |  0.004881 ± 0.00244  |   0.09688 ± 0.02921   | 0 ± 0  | 0 ± 0  |   0.02755 ± 0.001119   |
