+--------+---------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+-----------------------+
| Bin#   |         ZZ          |         ttZ          |         Higgs         |         WZ         |        Other        |        Total        |  data  | Ratio  |          WWZ          |
|--------+---------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |        0 ± 0        |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin2   |        0 ± 0        |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin3   |    23.8 ± 0.1075    |   0.1384 ± 0.01994   |    0.04102 ± 0.185    |  0.0661 ± 0.09051  |  0.1189 ± 0.06129   |   24.16 ± 0.2411    | 0 ± 0  | 0 ± 0  |    0.7996 ± 0.1589    |
| Bin4   |   37.52 ± 0.1352    |   0.1564 ± 0.02049   |    0.4948 ± 0.2066    |  0.1346 ± 0.07124  |  0.08025 ± 0.05014  |   38.39 ± 0.2626    | 0 ± 0  | 0 ± 0  |    0.7151 ± 0.1343    |
| Bin5   |   42.32 ± 0.1439    |   0.1448 ± 0.02199   |   0.1058 ± 0.09314    |  0.1885 ± 0.07124  | 0.00219 ± 0.007444  |    42.76 ± 0.187    | 0 ± 0  | 0 ± 0  |    0.7313 ± 0.1343    |
| Bin6   |    34.1 ± 0.1293    |   0.1082 ± 0.01962   |    0.01367 ± 0.131    | 0.08078 ± 0.06021  |  0.1265 ± 0.06143   |   34.43 ± 0.2041    | 0 ± 0  | 0 ± 0  |    0.6564 ± 0.1408    |
| Bin7   |   13.67 ± 0.08201   |  0.09229 ± 0.01743   |  -0.07162 ± 0.09289   |  0.1739 ± 0.1316   | 0.00244 ± 0.002989  |   13.87 ± 0.1816    | 0 ± 0  | 0 ± 0  |    0.4345 ± 0.104     |
| Bin8   |   5.603 ± 0.05257   |   0.0366 ± 0.01378   |    0.1911 ± 0.1308    | 0.02693 ± 0.02693  | 0.00244 ± 0.001726  |   5.861 ± 0.1442    | 0 ± 0  | 0 ± 0  |    0.215 ± 0.06009    |
| Bin9   |   2.979 ± 0.03838   |  0.04137 ± 0.01212   |         0 ± 0         |       0 ± 0        |  0.03647 ± 0.03527  |   3.056 ± 0.05351   | 0 ± 0  | 0 ± 0  |   0.1784 ± 0.06007    |
| Bin10  |   1.791 ± 0.02975   |  0.01909 ± 0.01031   | -0.006836 ± 0.006836  | 0.02693 ± 0.02693  |    0 ± 0.001726     |   1.83 ± 0.04203    | 0 ± 0  | 0 ± 0  |    0.1185 ± 0.0425    |
| Bin11  |   1.155 ± 0.02396   |  0.02387 ± 0.01019   |         0 ± 0         |       0 ± 0        |    0 ± 0.001726     |   1.179 ± 0.0261    | 0 ± 0  | 0 ± 0  |   0.09622 ± 0.04248   |
| Bin12  |  0.8158 ± 0.02014   |  0.02387 ± 0.007956  |         0 ± 0         |       0 ± 0        |  0.03647 ± 0.03527  |  0.8762 ± 0.04138   | 0 ± 0  | 0 ± 0  |   0.08232 ± 0.04248   |
| Bin13  |  0.5478 ± 0.01648   |  0.02705 ± 0.008268  |         0 ± 0         | 0.02693 ± 0.02693  |  0.00122 ± 0.00122  |   0.603 ± 0.03266   | 0 ± 0  | 0 ± 0  |   0.1152 ± 0.06005    |
| Bin14  |  0.4071 ± 0.01418   |  0.01591 ± 0.007795  |         0 ± 0         |       0 ± 0        | -0.00122 ± 0.00122  |  0.4218 ± 0.01623   | 0 ± 0  | 0 ± 0  |   0.06582 ± 0.04247   |
| Bin15  |  0.3024 ± 0.01221   |  0.01273 ± 0.005512  |         0 ± 0         |       0 ± 0        |        0 ± 0        |   0.3151 ± 0.0134   | 0 ± 0  | 0 ± 0  |   0.06216 ± 0.04246   |
| Bin16  |  0.2313 ± 0.01071   | 0.001591 ± 0.005277  |         0 ± 0         |       0 ± 0        |        0 ± 0        |  0.2329 ± 0.01194   | 0 ± 0  | 0 ± 0  |   0.05501 ± 0.04246   |
| Bin17  |  0.1651 ± 0.009051  |  0.0175 ± 0.006936   |         0 ± 0         | 0.02693 ± 0.02693  |        0 ± 0        |  0.2096 ± 0.02924   | 0 ± 0  | 0 ± 0  |   0.05207 ± 0.04246   |
| Bin18  |  0.1255 ± 0.007839  | 0.009547 ± 0.005032  |         0 ± 0         |       0 ± 0        |        0 ± 0        |  0.135 ± 0.009315   | 0 ± 0  | 0 ± 0  |   0.05066 ± 0.04246   |
| Bin19  |  0.1054 ± 0.007202  | 0.003182 ± 0.003898  |         0 ± 0         |       0 ± 0        |        0 ± 0        |  0.1085 ± 0.008189  | 0 ± 0  | 0 ± 0  |   0.04833 ± 0.04245   |
| Bin20  | 0.07487 ± 0.006103  | 0.004773 ± 0.003558  |         0 ± 0         |       0 ± 0        |        0 ± 0        | 0.07964 ± 0.007065  | 0 ± 0  | 0 ± 0  | 0.005413 ± 0.0004785  |
| Bin21  |  0.3613 ± 0.01334   |  0.01273 ± 0.007116  |         0 ± 0         |       0 ± 0        |        0 ± 0        |   0.374 ± 0.01512   | 0 ± 0  | 0 ± 0  |   0.1515 ± 0.07354    |
+--------+---------------------+----------------------+-----------------------+--------------------+---------------------+---------------------+--------+--------+-----------------------+
