+--------+----------------------+-----------------------+---------------------+--------------------+---------------------+----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs        |         WZ         |        Other        |        Total         |  data  | Ratio  |          WWZ           |
|--------+----------------------+-----------------------+---------------------+--------------------+---------------------+----------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |    139.8 ± 0.2614    |    0.7542 ± 0.0492    |   0.7543 ± 0.3072   |   0.5239 ± 0.153   |  0.2092 ± 0.07965   |    142.1 ± 0.4415    | 0 ± 0  | 0 ± 0  |     3.902 ± 0.3234     |
| Bin2   |   18.74 ± 0.09591    |   0.08798 ± 0.01861   | -0.09213 ± 0.09264  |       0 ± 0        |  0.1563 ± 0.07076   |    18.89 ± 0.1521    | 0 ± 0  | 0 ± 0  |    0.5775 ± 0.1274     |
| Bin3   |   4.298 ± 0.04602    |  0.02864 ± 0.009809   |  0.09897 ± 0.09239  | 0.05386 ± 0.05386  | 0.00244 ± 0.002989  |    4.482 ± 0.1169    | 0 ± 0  | 0 ± 0  |    0.1262 ± 0.06005    |
| Bin4   |   1.468 ± 0.02694    |  0.01432 ± 0.005737   |  0.09897 ± 0.09239  |    0.12 ± 0.12     |  0.00122 ± 0.00122  |    1.703 ± 0.154     | 0 ± 0  | 0 ± 0  |  0.01266 ± 0.0006527   |
| Bin5   |   0.6425 ± 0.01787   |   0.009547 ± 0.0045   | -0.09213 ± 0.09213  | 0.02693 ± 0.02693  |        0 ± 0        |   0.5869 ± 0.09774   | 0 ± 0  | 0 ± 0  |  0.00581 ± 0.0004002   |
| Bin6   |   0.3485 ± 0.01318   |  0.001591 ± 0.002756  |        0 ± 0        |       0 ± 0        | 0.00244 ± 0.001726  |   0.3525 ± 0.01358   | 0 ± 0  | 0 ± 0  |  0.002432 ± 0.0002626  |
| Bin7   |    0.202 ± 0.0101    |  -0.003182 ± 0.00225  |        0 ± 0        |       0 ± 0        |        0 ± 0        |   0.1988 ± 0.01035   | 0 ± 0  | 0 ± 0  |  0.00151 ± 0.0001389   |
| Bin8   |  0.1206 ± 0.007732   | -0.001591 ± 0.001591  |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.1191 ± 0.007894   | 0 ± 0  | 0 ± 0  |  0.001126 ± 0.0001981  |
| Bin9   |  0.07977 ± 0.006232  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.07977 ± 0.006232  | 0 ± 0  | 0 ± 0  | 0.0008353 ± 0.0001506  |
| Bin10  |  0.06196 ± 0.005555  | -0.001591 ± 0.001591  |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.06037 ± 0.005778  | 0 ± 0  | 0 ± 0  | 0.0004084 ± 7.322e-05  |
| Bin11  |  0.05239 ± 0.00512   |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.05239 ± 0.00512   | 0 ± 0  | 0 ± 0  | 0.0004145 ± 0.0001345  |
| Bin12  |  0.04039 ± 0.004506  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.04039 ± 0.004506  | 0 ± 0  | 0 ± 0  | 0.0002723 ± 5.805e-05  |
| Bin13  |  0.02949 ± 0.003799  | -0.001591 ± 0.001591  |        0 ± 0        |       0 ± 0        |  0.03403 ± 0.03527  |  0.06192 ± 0.03551   | 0 ± 0  | 0 ± 0  | 0.0002784 ± 0.0001269  |
| Bin14  |  0.02501 ± 0.003564  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.02501 ± 0.003564  | 0 ± 0  | 0 ± 0  | 0.0002351 ± 5.395e-05  |
| Bin15  |  0.01559 ± 0.002768  |  0.001591 ± 0.001591  |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.01718 ± 0.003193  | 0 ± 0  | 0 ± 0  | 0.0003463 ± 0.0001702  |
| Bin16  |  0.01342 ± 0.002606  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.01342 ± 0.002606  | 0 ± 0  | 0 ± 0  | 0.0002412 ± 0.0001238  |
| Bin17  |  0.01121 ± 0.00233   |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.01121 ± 0.00233   | 0 ± 0  | 0 ± 0  | 9.901e-05 ± 3.914e-05  |
| Bin18  | 0.007912 ± 0.001981  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        | 0.007912 ± 0.001981  | 0 ± 0  | 0 ± 0  |   0.000167 ± 0.00012   |
| Bin19  | 0.008137 ± 0.001987  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        | 0.008137 ± 0.001987  | 0 ± 0  | 0 ± 0  | 7.426e-05 ± 3.032e-05  |
| Bin20  |  0.00602 ± 0.001726  |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |  0.00602 ± 0.001726  | 0 ± 0  | 0 ± 0  |  4.95e-05 ± 2.475e-05  |
| Bin21  |  0.09687 ± 0.00691   |         0 ± 0         |        0 ± 0        | 0.02693 ± 0.02693  |        0 ± 0        |   0.1238 ± 0.0278    | 0 ± 0  | 0 ± 0  | 0.0008166 ± 0.0001882  |
+--------+----------------------+-----------------------+---------------------+--------------------+---------------------+----------------------+--------+--------+------------------------+
