+--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   | 0.009044 ± 0.002619  | 0.009401 ± 0.004955  |         0 ± 0         |        0 ± 0        |     0 ± 0.001985      |  0.01845 ± 0.005946  | 0 ± 0  |  0 ± 0  | 0.003036 ± 0.0003139  |
| Bin2   |  0.02495 ± 0.004336  |   0.0235 ± 0.00927   |         0 ± 0         |  0.08172 ± 0.05779  | -0.001404 ± 0.003138  |   0.1288 ± 0.05877   | 0 ± 0  |  0 ± 0  |   0.04051 ± 0.06214   |
| Bin3   |  0.06429 ± 0.007013  |  0.03604 ± 0.01162   |         0 ± 0         |  0.04086 ± 0.04086  |  0.006367 ± 0.005628  |   0.1476 ± 0.04342   | 0 ± 0  |  0 ± 0  |   0.2084 ± 0.06215    |
| Bin4   |  0.1326 ± 0.009999   |  0.05327 ± 0.01401   |         0 ± 0         |     0 ± 0.05779     | -0.001404 ± 0.004211  |   0.1844 ± 0.06044   | 0 ± 0  |  0 ± 0  |    0.4933 ± 0.1163    |
| Bin5   |   0.1402 ± 0.01038   |  0.07678 ± 0.01651   |   0.1051 ± 0.09622    |        0 ± 0        |   0.1126 ± 0.06432    |   0.4347 ± 0.1174    | 0 ± 0  |  0 ± 0  |   0.3918 ± 0.08789    |
| Bin6   |   0.1482 ± 0.01063   |   0.1003 ± 0.01628   |   0.01874 ± 0.01325   |  0.1634 ± 0.08172   |   0.04408 ± 0.0373    |   0.4747 ± 0.09286   | 0 ± 0  |  0 ± 0  |   0.3462 ± 0.07612    |
| Bin7   |   0.1391 ± 0.01028   |  0.08645 ± 0.01729   |         0 ± 0         |  0.1634 ± 0.08172   |  0.007018 ± 0.005436  |   0.396 ± 0.08434    | 0 ± 0  |  0 ± 0  |   0.2822 ± 0.08789    |
| Bin8   |  0.1226 ± 0.009666   |  0.09558 ± 0.01636   |  0.009372 ± 0.01623   |  0.04086 ± 0.07077  |  0.01058 ± 0.004934   |   0.279 ± 0.07522    | 0 ± 0  |  0 ± 0  |   0.3858 ± 0.09826    |
| Bin9   |  0.09257 ± 0.00842   |   0.1175 ± 0.01738   |  -0.06765 ± 0.09713   |  0.1226 ± 0.07077   |  0.01123 ± 0.004438   |   0.2763 ± 0.1218    | 0 ± 0  |  0 ± 0  |    0.3127 ± 0.1076    |
| Bin10  |  0.08216 ± 0.007917  |  0.09245 ± 0.01695   |   0.02812 ± 0.02096   |  0.04086 ± 0.04086  |   0.03706 ± 0.03722   |    0.2806 ± 0.062    | 0 ± 0  |  0 ± 0  |    0.3716 ± 0.1076    |
| Bin11  |  0.04721 ± 0.005973  |  0.06424 ± 0.01559   |  0.009372 ± 0.009372  |        0 ± 0        |  0.001404 ± 0.004655  |   0.1222 ± 0.0197    | 0 ± 0  |  0 ± 0  |   0.2141 ± 0.07611    |
| Bin12  |  0.03754 ± 0.005313  |  0.06581 ± 0.01366   |  0.009372 ± 0.009372  |  0.04086 ± 0.04086  |  0.002156 ± 0.004058  |   0.1557 ± 0.0446    | 0 ± 0  |  0 ± 0  |   0.1965 ± 0.07611    |
| Bin13  |  0.03086 ± 0.004853  |   0.08461 ± 0.0147   |         0 ± 0         |  0.04086 ± 0.04086  |   0.03706 ± 0.03716   |   0.1934 ± 0.05736   | 0 ± 0  |  0 ± 0  |   0.1356 ± 0.06214    |
| Bin14  |  0.02468 ± 0.004333  |  0.05171 ± 0.01302   |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.07779 ± 0.01379   | 0 ± 0  |  0 ± 0  |  0.03788 ± 0.001137   |
| Bin15  |  0.02424 ± 0.004284  |  0.02977 ± 0.01204   |  0.009372 ± 0.009372  |        0 ± 0        | -0.001404 ± 0.001404  |  0.06198 ± 0.01591   | 0 ± 0  |  0 ± 0  |   0.1182 ± 0.06214    |
| Bin16  |  0.0234 ± 0.004251   |  0.04544 ± 0.01141   |  -0.09576 ± 0.09576   | -0.04086 ± 0.04086  |  0.001404 ± 0.001404  |  -0.06638 ± 0.1048   | 0 ± 0  | -0 ± 0  |   0.1993 ± 0.08787    |
| Bin17  |  0.01266 ± 0.003097  |  0.03917 ± 0.01097   |         0 ± 0         |        0 ± 0        |   0.03921 ± 0.03712   |  0.09105 ± 0.03883   | 0 ± 0  |  0 ± 0  |   0.1077 ± 0.06213    |
| Bin18  |  0.01261 ± 0.003153  |  0.04231 ± 0.01074   |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.05632 ± 0.01128   | 0 ± 0  |  0 ± 0  |   0.1033 ± 0.06213    |
| Bin19  |  0.01103 ± 0.002949  |  0.03917 ± 0.00927   |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.05161 ± 0.009828  | 0 ± 0  |  0 ± 0  |  0.01247 ± 0.0006357  |
