+--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin#   |           ZZ           |         ttZ          |         Higgs         |         WZ          |         Other         |         Total         |  data  |  Ratio  |          WWZ          |
|--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |   0.03096 ± 0.004889   | 0.001567 ± 0.001567  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.03252 ± 0.005134   | 0 ± 0  |  0 ± 0  | 0.008179 ± 0.0004925  |
| Bin2   |   0.06676 ± 0.007164   |  0.01254 ± 0.005428  |         0 ± 0         |        0 ± 0        |  0.002807 ± 0.002807  |  0.08211 ± 0.009416   | 0 ± 0  |  0 ± 0  |  0.02054 ± 0.0006888  |
| Bin3   |   0.07818 ± 0.007735   |  0.0141 ± 0.005197   |         0 ± 0         |        0 ± 0        |   0.03846 ± 0.03714   |   0.1307 ± 0.03829    | 0 ± 0  |  0 ± 0  |   0.08012 ± 0.04394   |
| Bin4   |   0.07231 ± 0.007392   | 0.006268 ± 0.005428  |  0.009372 ± 0.009372  |  0.04086 ± 0.07077  |  0.001404 ± 0.001404  |   0.1302 ± 0.07199    | 0 ± 0  |  0 ± 0  |   0.04967 ± 0.06214   |
| Bin5   |   0.09466 ± 0.008499   |  0.0141 ± 0.007515   |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.003138  |   0.1102 ± 0.01177    | 0 ± 0  |  0 ± 0  |   0.1086 ± 0.04395    |
| Bin6   |   0.08126 ± 0.007829   |  0.02977 ± 0.008724  |         0 ± 0         |        0 ± 0        |   0.04483 ± 0.03728   |   0.1559 ± 0.03908    | 0 ± 0  |  0 ± 0  |  0.07882 ± 0.001235   |
| Bin7   |   0.07444 ± 0.007528   |  0.0282 ± 0.009136   |  -0.09576 ± 0.09576   |  0.08172 ± 0.05779  |   0.0335 ± 0.03725    |    0.1221 ± 0.1185    | 0 ± 0  |  0 ± 0  |   0.1328 ± 0.04395    |
| Bin8   |   0.06514 ± 0.00703    |  0.02507 ± 0.009136  |  -0.01874 ± 0.01325   |  0.04086 ± 0.04086  |     0 ± 0.001985      |   0.1123 ± 0.04452    | 0 ± 0  |  0 ± 0  |    0.142 ± 0.04395    |
| Bin9   |    0.0535 ± 0.0064     |  0.02507 ± 0.01015   |         0 ± 0         |        0 ± 0        |  0.004963 ± 0.004058  |   0.08353 ± 0.01267   | 0 ± 0  |  0 ± 0  |   0.1464 ± 0.04396    |
| Bin10  |   0.05374 ± 0.006387   |  0.03761 ± 0.01063   |         0 ± 0         |        0 ± 0        |  0.004211 ± 0.003138  |   0.09556 ± 0.01279   | 0 ± 0  |  0 ± 0  |   0.1887 ± 0.06215    |
| Bin11  |   0.0549 ± 0.006441    |  0.04231 ± 0.01027   |         0 ± 0         |  0.04086 ± 0.04086  |  0.005614 ± 0.002807  |   0.1437 ± 0.04272    | 0 ± 0  |  0 ± 0  |   0.2287 ± 0.07611    |
| Bin12  |   0.02893 ± 0.004628   |  0.04074 ± 0.01063   |   0.02812 ± 0.01623   |  0.08172 ± 0.05779  |  0.002807 ± 0.002807  |    0.1823 ± 0.0612    | 0 ± 0  |  0 ± 0  |   0.2237 ± 0.07611    |
| Bin13  |   0.0456 ± 0.005851    |  0.05171 ± 0.01162   |  0.009372 ± 0.009372  |  0.08172 ± 0.05779  |  0.002156 ± 0.004058  |   0.1906 ± 0.06011    | 0 ± 0  |  0 ± 0  |   0.2198 ± 0.07611    |
| Bin14  |   0.03291 ± 0.004948   |  0.04231 ± 0.01183   |  0.009372 ± 0.009372  |  0.04086 ± 0.04086  |     0 ± 0.004438      |   0.1254 ± 0.04406    | 0 ± 0  |  0 ± 0  |  0.07976 ± 0.001395   |
| Bin15  |   0.03144 ± 0.004874   |  0.04701 ± 0.01173   |  0.009372 ± 0.009372  |  0.04086 ± 0.04086  |   0.03986 ± 0.03711   |   0.1685 ± 0.05741    | 0 ± 0  |  0 ± 0  |   0.1172 ± 0.04395    |
| Bin16  |   0.03271 ± 0.004958   |  0.04544 ± 0.01141   |  -0.09576 ± 0.09576   |        0 ± 0        |  0.002807 ± 0.00397   |  -0.01481 ± 0.09665   | 0 ± 0  | -0 ± 0  |   0.1069 ± 0.04395    |
| Bin17  |   0.02795 ± 0.004573   |  0.02534 ± 0.01201   |         0 ± 0         |     0 ± 0.05779     |     0 ± 0.001985      |   0.0533 ± 0.05923    | 0 ± 0  |  0 ± 0  |   0.1005 ± 0.04395    |
| Bin18  |   0.02857 ± 0.004656   |  0.03761 ± 0.00991   |         0 ± 0         |        0 ± 0        | 0.0007525 ± 0.003249  |   0.06693 ± 0.01142   | 0 ± 0  |  0 ± 0  |    0.3166 ± 0.1076    |
| Bin19  |   0.02823 ± 0.004633   |  0.04387 ± 0.01108   |         0 ± 0         |  0.04086 ± 0.04086  |  0.004211 ± 0.002431  |   0.1172 ± 0.04266    | 0 ± 0  |  0 ± 0  |   0.0887 ± 0.04395    |
