+--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |         Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |   0.3248 ± 0.0157    |   0.4857 ± 0.03655    |  0.03749 ± 0.02296   |   0.1634 ± 0.1001   |   0.1345 ± 0.06481    |    1.146 ± 0.1278     | 0 ± 0  |  0 ± 0  |    1.394 ± 0.2061     |
| Bin2   |   0.2134 ± 0.01269   |    0.2836 ± 0.0301    |   0.03749 ± 0.1367   |   0.286 ± 0.1226    |  0.007018 ± 0.00506   |    0.8275 ± 0.1866    | 0 ± 0  |  0 ± 0  |    1.007 ± 0.1644     |
| Bin3   |   0.1435 ± 0.01046   |   0.1614 ± 0.02287    |  0.01874 ± 0.01325   |  0.08172 ± 0.05779  |  0.002156 ± 0.006014  |   0.4075 ± 0.06468    | 0 ± 0  |  0 ± 0  |    0.7175 ± 0.1457    |
| Bin4   |  0.1015 ± 0.008767   |   0.1144 ± 0.01847    |     0 ± 0.01325      |  0.04086 ± 0.04086  |  0.006367 ± 0.006175  |   0.2631 ± 0.04797    | 0 ± 0  |  0 ± 0  |   0.2373 ± 0.08789    |
| Bin5   |  0.07885 ± 0.007765  |   0.07521 ± 0.01503   |     0 ± 0.01325      |  0.08172 ± 0.05779  |   0.04127 ± 0.03724   |   0.2771 ± 0.07203    | 0 ± 0  |  0 ± 0  |    0.4128 ± 0.1162    |
| Bin6   |  0.05235 ± 0.00635   |   0.04415 ± 0.01261   |  0.009372 ± 0.01623  |        0 ± 0        |   0.03565 ± 0.03719   |   0.1415 ± 0.04296    | 0 ± 0  |  0 ± 0  |   0.1169 ± 0.04395    |
| Bin7   |  0.06862 ± 0.00729   |   0.04857 ± 0.01162   | 0.009372 ± 0.009372  |        0 ± 0        |  0.00356 ± 0.003808   |   0.1301 ± 0.01704    | 0 ± 0  |  0 ± 0  |   0.1004 ± 0.04395    |
| Bin8   |  0.05013 ± 0.00617   |  0.01724 ± 0.007834   |  -0.09576 ± 0.09576  |  0.04086 ± 0.04086  |   0.03846 ± 0.03714   |    0.05092 ± 0.111    | 0 ± 0  |  0 ± 0  |    0.1729 ± 0.0761    |
| Bin9   |  0.04721 ± 0.006001  |   0.02664 ± 0.00718   |   0.1051 ± 0.09622   |        0 ± 0        |   0.03986 ± 0.03711   |    0.2188 ± 0.1036    | 0 ± 0  |  0 ± 0  |   0.1169 ± 0.06213    |
| Bin10  |  0.02456 ± 0.004327  |  0.007834 ± 0.005197  |        0 ± 0         |        0 ± 0        |  0.007018 ± 0.003138  |  0.03942 ± 0.007455   | 0 ± 0  |  0 ± 0  |  0.02231 ± 0.0007396  |
| Bin11  |  0.0259 ± 0.004487   |   0.0141 ± 0.00683    |        0 ± 0         | -0.04086 ± 0.04086  |     0 ± 0.001985      | -0.0008589 ± 0.04172  | 0 ± 0  | -0 ± 0  |   0.06086 ± 0.04394   |
| Bin12  |  0.02481 ± 0.004391  |  0.009401 ± 0.004955  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.03421 ± 0.006621   | 0 ± 0  |  0 ± 0  |   0.05595 ± 0.04394   |
| Bin13  |  0.01642 ± 0.003585  | -0.001567 ± 0.004146  |        0 ± 0         |        0 ± 0        | -0.001404 ± 0.001404  |  0.01345 ± 0.005657   | 0 ± 0  |  0 ± 0  |  0.00936 ± 0.0004638  |
| Bin14  |  0.01382 ± 0.00323   |  0.003134 ± 0.003134  |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01695 ± 0.0045    | 0 ± 0  |  0 ± 0  | 0.007398 ± 0.0004212  |
| Bin15  |  0.01332 ± 0.003165  |  0.007834 ± 0.004146  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.02115 ± 0.005216   | 0 ± 0  |  0 ± 0  | 0.005374 ± 0.0003752  |
| Bin16  |  0.009489 ± 0.0027   |  0.003134 ± 0.002216  |        0 ± 0         |        0 ± 0        | -0.002156 ± 0.002156  |  0.01047 ± 0.004104   | 0 ± 0  |  0 ± 0  |  0.004697 ± 0.000347  |
| Bin17  |  0.006331 ± 0.00219  | -0.001567 ± 0.003504  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.004765 ± 0.004132  | 0 ± 0  |  0 ± 0  |   0.04712 ± 0.04393   |
| Bin18  | 0.006171 ± 0.002185  |  0.001567 ± 0.001567  |        0 ± 0         |  0.04086 ± 0.04086  |  0.001404 ± 0.001404  |    0.05 ± 0.04097     | 0 ± 0  |  0 ± 0  | 0.002641 ± 0.0002273  |
| Bin19  |  0.004594 ± 0.00188  | -0.001567 ± 0.001567  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.003028 ± 0.002447  | 0 ± 0  |  0 ± 0  | 0.002241 ± 0.0002136  |
