+--------+----------------------+---------------------+-----------------------+--------------------+-----------------------+---------------------+--------+---------+--------------------+
| Bin#   |          ZZ          |         ttZ         |         Higgs         |         WZ         |         Other         |        Total        |  data  |  Ratio  |        WWZ         |
|--------+----------------------+---------------------+-----------------------+--------------------+-----------------------+---------------------+--------+---------+--------------------+
| Bin0   |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |       0 ± 0        |
| Bin1   |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |       0 ± 0        |
| Bin2   |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |       0 ± 0        |
| Bin3   |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |       0 ± 0        |
| Bin4   |   0.1399 ± 0.01039   | 0.01567 ± 0.009401  |  0.009372 ± 0.009372  |       0 ± 0        |   0.04969 ± 0.03735   |  0.2146 ± 0.04098   | 0 ± 0  |  0 ± 0  | 0.1542 ± 0.001768  |
| Bin5   |   0.2081 ± 0.01259   |  0.05484 ± 0.01393  |   0.09576 ± 0.09576   |  0.1226 ± 0.07077  |  0.01263 ± 0.005436   |   0.4939 ± 0.1207   | 0 ± 0  |  0 ± 0  |  0.4464 ± 0.0879   |
| Bin6   |   0.1553 ± 0.01084   |  0.1285 ± 0.01841   |   0.02812 ± 0.01623   | 0.04086 ± 0.04086  |   0.09106 ± 0.05281   |  0.4438 ± 0.07196   | 0 ± 0  |  0 ± 0  |  0.5198 ± 0.1076   |
| Bin7   |   0.1537 ± 0.01084   |  0.09715 ± 0.01731  |  0.009372 ± 0.01623   |  0.1634 ± 0.1001   | -0.002807 ± 0.005955  |   0.4208 ± 0.1036   | 0 ± 0  |  0 ± 0  |  0.4398 ± 0.09826  |
| Bin8   |  0.1024 ± 0.008859   |  0.1209 ± 0.01839   | -0.009372 ± 0.009372  |       0 ± 0        |   0.04688 ± 0.0374    |  0.2609 ± 0.04363   | 0 ± 0  |  0 ± 0  |  0.3571 ± 0.08789  |
| Bin9   |  0.07236 ± 0.007427  |  0.1426 ± 0.01766   |   0.1426 ± 0.09803    | 0.04086 ± 0.04086  | -0.002807 ± 0.004438  |   0.3956 ± 0.108    | 0 ± 0  |  0 ± 0  |  0.315 ± 0.08788   |
| Bin10  |  0.07429 ± 0.007494  |   0.105 ± 0.0178    |  -0.08639 ± 0.09622   |  0.1226 ± 0.07077  |   0.04127 ± 0.0373    |   0.2567 ± 0.1266   | 0 ± 0  |  0 ± 0  |  0.2463 ± 0.07611  |
| Bin11  |  0.05937 ± 0.006715  |  0.09401 ± 0.01628  |         0 ± 0         |    0 ± 0.05779     |   0.04558 ± 0.03726   |   0.199 ± 0.07098   | 0 ± 0  |  0 ± 0  |  0.135 ± 0.07611   |
| Bin12  |  0.04049 ± 0.005447  |  0.07678 ± 0.01495  |   0.02812 ± 0.01623   |       0 ± 0        |   0.03986 ± 0.03716   |  0.1853 ± 0.04356   | 0 ± 0  |  0 ± 0  |  0.2033 ± 0.07611  |
| Bin13  |  0.04385 ± 0.005761  |  0.05954 ± 0.01384  |   0.01874 ± 0.01325   | 0.04086 ± 0.04086  |  0.004963 ± 0.003539  |   0.168 ± 0.04563   | 0 ± 0  |  0 ± 0  |  0.1432 ± 0.08787  |
| Bin14  |  0.03675 ± 0.005283  |  0.06581 ± 0.01366  |         0 ± 0         |       0 ± 0        |  0.002156 ± 0.002931  |  0.1047 ± 0.01494   | 0 ± 0  |  0 ± 0  |  0.1313 ± 0.06214  |
| Bin15  |  0.02247 ± 0.004153  |  0.05798 ± 0.01339  |         0 ± 0         |       0 ± 0        | -0.004211 ± 0.002431  |  0.07623 ± 0.01423  | 0 ± 0  |  0 ± 0  |  0.123 ± 0.06214   |
| Bin16  |  0.01892 ± 0.003747  |  0.02507 ± 0.01039  |         0 ± 0         |       0 ± 0        | -0.001404 ± 0.001404  |  0.04258 ± 0.01114  | 0 ± 0  |  0 ± 0  | 0.07238 ± 0.04394  |
| Bin17  |  0.01785 ± 0.003726  |  0.03447 ± 0.01151  |  -0.09576 ± 0.09576   |       0 ± 0        |         0 ± 0         | -0.04344 ± 0.09652  | 0 ± 0  | -0 ± 0  |  0.1544 ± 0.0761   |
| Bin18  |  0.02342 ± 0.00423   |  0.0235 ± 0.009531  |         0 ± 0         | 0.04086 ± 0.04086  | -0.001404 ± 0.001404  |  0.08638 ± 0.04219  | 0 ± 0  |  0 ± 0  |  0.1487 ± 0.0761   |
| Bin19  | 0.006497 ± 0.002463  | 0.02037 ± 0.008724  |         0 ± 0         | 0.04086 ± 0.04086  | -0.001404 ± 0.001404  |  0.06632 ± 0.04188  | 0 ± 0  |  0 ± 0  | 0.05785 ± 0.04394  |
| Bin20  | 0.007286 ± 0.002333  | 0.02664 ± 0.008438  |         0 ± 0         |       0 ± 0        | -0.002156 ± 0.002156  | 0.03177 ± 0.009016  | 0 ± 0  |  0 ± 0  |  0.1431 ± 0.07609  |
