+--------+----------------------+-----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+-----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |   0.2362 ± 0.01345   |   0.3573 ± 0.03287    |   0.03749 ± 0.01874   |  0.04086 ± 0.04086  |   0.04483 ± 0.03787   |   0.7166 ± 0.06868   | 0 ± 0  |  0 ± 0  |    1.507 ± 0.2107     |
| Bin2   |   0.1987 ± 0.0123    |   0.2711 ± 0.02885    |   0.07497 ± 0.02964   |  0.08172 ± 0.05779  |   0.07973 ± 0.05271   |   0.7062 ± 0.08933   | 0 ± 0  |  0 ± 0  |    0.7214 ± 0.139     |
| Bin3   |   0.1458 ± 0.01054   |   0.1927 ± 0.02232    |   0.01874 ± 0.01325   |     0 ± 0.05779     |    0.035 ± 0.03736    |   0.3923 ± 0.0743    | 0 ± 0  |  0 ± 0  |    0.6438 ± 0.1318    |
| Bin4   |  0.1095 ± 0.009108   |    0.09245 ± 0.019    |      0 ± 0.01325      |  0.08172 ± 0.05779  |  0.006367 ± 0.005501  |   0.2901 ± 0.06316   | 0 ± 0  |  0 ± 0  |    0.4776 ± 0.1163    |
| Bin5   |  0.1081 ± 0.009098   |   0.08618 ± 0.0159    | -0.009372 ± 0.009372  |  0.04086 ± 0.04086  |  0.00777 ± 0.003539   |   0.2336 ± 0.04589   | 0 ± 0  |  0 ± 0  |   0.2092 ± 0.08788    |
| Bin6   |  0.07752 ± 0.007712  |   0.07364 ± 0.01511   |         0 ± 0         |  0.04086 ± 0.04086  |  0.002807 ± 0.00397   |   0.1948 ± 0.04442   | 0 ± 0  |  0 ± 0  |   0.1748 ± 0.08788    |
| Bin7   |  0.05079 ± 0.006186  |   0.04544 ± 0.01283   |   0.08639 ± 0.09622   |  0.04086 ± 0.04086  |  0.007018 ± 0.003713  |   0.2305 ± 0.1056    | 0 ± 0  |  0 ± 0  |   0.1527 ± 0.06214    |
| Bin8   |  0.05942 ± 0.006734  |   0.04544 ± 0.01051   |  -0.09576 ± 0.09576   |  0.04086 ± 0.04086  |  0.001404 ± 0.003138  |   0.05136 ± 0.1049   | 0 ± 0  |  0 ± 0  |   0.1364 ± 0.06214    |
| Bin9   |  0.03971 ± 0.005528  |   0.0282 ± 0.008582   |   0.09576 ± 0.09576   |  0.04086 ± 0.04086  | -0.001404 ± 0.002431  |   0.2031 ± 0.1046    | 0 ± 0  |  0 ± 0  |   0.08187 ± 0.04394   |
| Bin10  |  0.0394 ± 0.005507   |  0.02378 ± 0.007948   |         0 ± 0         |  0.04086 ± 0.04086  |   0.03986 ± 0.03716   |   0.1439 ± 0.05607   | 0 ± 0  |  0 ± 0  |   0.1158 ± 0.06213    |
| Bin11  |  0.03462 ± 0.005061  |  0.02507 ± 0.007676   |  -0.09576 ± 0.09576   |        0 ± 0        |   0.03986 ± 0.03711   |  0.003792 ± 0.1031   | 0 ± 0  |  0 ± 0  |   0.06598 ± 0.04394   |
| Bin12  |  0.02093 ± 0.00398   |   0.01097 ± 0.00646   |         0 ± 0         |        0 ± 0        | -0.001404 ± 0.002431  |  0.03049 ± 0.007968  | 0 ± 0  |  0 ± 0  |  0.01735 ± 0.0006642  |
| Bin13  |  0.02014 ± 0.003925  |  0.007834 ± 0.005197  |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.002431  |  0.02938 ± 0.006951  | 0 ± 0  |  0 ± 0  |   0.1007 ± 0.06213    |
| Bin14  |  0.01573 ± 0.003445  |   0.01097 ± 0.00683   |         0 ± 0         | -0.04086 ± 0.04086  |  0.002807 ± 0.001985  |  -0.01135 ± 0.04162  | 0 ± 0  | -0 ± 0  |  0.01011 ± 0.0004855  |
| Bin15  |  0.01016 ± 0.002778  |  0.001567 ± 0.002714  |         0 ± 0         |  0.04086 ± 0.04086  |  0.00356 ± 0.002573   |  0.05615 ± 0.04113   | 0 ± 0  |  0 ± 0  | 0.008218 ± 0.0004675  |
| Bin16  | 0.009184 ± 0.002657  | -0.001567 ± 0.003504  |         0 ± 0         | -0.04086 ± 0.04086  |  0.002807 ± 0.001985  |  -0.03044 ± 0.04115  | 0 ± 0  | -0 ± 0  | 0.006424 ± 0.0004442  |
| Bin17  | 0.006362 ± 0.002194  |  0.003134 ± 0.003134  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 0.009496 ± 0.003825  | 0 ± 0  |  0 ± 0  |  0.00559 ± 0.000409   |
| Bin18  | 0.009514 ± 0.002701  |  0.003134 ± 0.003134  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01265 ± 0.004137  | 0 ± 0  |  0 ± 0  |  0.003813 ± 0.000311  |
| Bin19  | 0.004729 ± 0.001931  |  0.004701 ± 0.003504  |  0.009372 ± 0.009372  |  0.04086 ± 0.04086  |  0.002807 ± 0.001985  |  0.06247 ± 0.04216   | 0 ± 0  |  0 ± 0  |  0.003632 ± 0.000297  |
