+--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |   0.5587 ± 0.02067   |   0.2209 ± 0.02432   |   0.1239 ± 0.09803    |  0.2043 ± 0.09137   |   0.05465 ± 0.03788   |    1.162 ± 0.1429    | 0 ± 0  |  0 ± 0  |    1.967 ± 0.1319     |
| Bin1   |  0.05296 ± 0.006353  |  0.03318 ± 0.008826  |  -0.09576 ± 0.09576   |        0 ± 0        |  0.004963 ± 0.002931  | -0.004659 ± 0.09642  | 0 ± 0  | -0 ± 0  |  0.03982 ± 0.001023   |
| Bin2   |  0.05059 ± 0.006263  |  0.01097 ± 0.00718   |         0 ± 0         |        0 ± 0        |  0.004211 ± 0.003713  |  0.06577 ± 0.01023   | 0 ± 0  |  0 ± 0  |   0.03069 ± 0.06214   |
| Bin3   |  0.04834 ± 0.006068  |  0.02507 ± 0.007349  |   0.09576 ± 0.09667   |     0 ± 0.05779     |  0.001404 ± 0.002431  |   0.1706 ± 0.1131    | 0 ± 0  |  0 ± 0  |   0.06692 ± 0.04394   |
| Bin4   |  0.04007 ± 0.005529  |  0.02194 ± 0.008291  |         0 ± 0         | -0.04086 ± 0.04086  |  0.002807 ± 0.004438  |  0.02396 ± 0.04229   | 0 ± 0  |  0 ± 0  |   0.05984 ± 0.04394   |
| Bin5   |  0.03186 ± 0.004903  |  0.01097 ± 0.00683   |         0 ± 0         |        0 ± 0        |  0.01123 ± 0.004438   |  0.05406 ± 0.009507  | 0 ± 0  |  0 ± 0  |   0.1002 ± 0.06213    |
| Bin6   |  0.02738 ± 0.004563  |  0.0282 ± 0.009136   |         0 ± 0         |        0 ± 0        |   0.07692 ± 0.05248   |   0.1325 ± 0.05347   | 0 ± 0  |  0 ± 0  |   0.1397 ± 0.07609    |
| Bin7   |  0.0403 ± 0.005476   |  0.03447 ± 0.00799   |         0 ± 0         |        0 ± 0        |  0.004211 ± 0.003138  |  0.07898 ± 0.01018   | 0 ± 0  |  0 ± 0  |   0.09298 ± 0.06213   |
| Bin8   |  0.03287 ± 0.004881  |  0.01097 ± 0.006069  |         0 ± 0         |        0 ± 0        |  0.004211 ± 0.003138  |  0.04805 ± 0.008397  | 0 ± 0  |  0 ± 0  |   0.09229 ± 0.06213   |
